[11.1.2021 | 21:29:2] [Agatka007]: 1572 

[11.1.2021 | 21:31:36] [Agatka007]: XDD 

[11.1.2021 | 21:32:42] [Agatka007]: /rzut reszka 

[11.1.2021 | 21:33:22] [Cichy]: Mała poprawka, teraz jest ustawione na /rzut. 

[11.1.2021 | 21:34:46] [Agatka007]: <@715496461781041154>  trzeba Łukasza zaprosic bedzie smiesznie jak on zacznie ciagle pisac /ship xD 

[11.1.2021 | 21:35:3] [Cichy]: To polecenie działa na oznaczaniu także. 

[11.1.2021 | 21:35:23] [Agatka007]: Aaaa dobra dziekii 

[11.1.2021 | 21:35:37] [Agatka007]: XDD 

[11.1.2021 | 21:36:23] [Agatka007]: xD 

[11.1.2021 | 21:38:54] [Agatka007]: Dostalam kod. Ale do czego? xD 

[11.1.2021 | 21:39:10] [Agatka007]: Jakby nie kapuje 

[11.1.2021 | 21:39:11] [Cichy]: Do niczego. 

[11.1.2021 | 21:39:16] [Cichy]: To wygenerowany kod. 

[11.1.2021 | 21:39:19] [Cichy]: Po prostu. 

[11.1.2021 | 21:39:23] [Agatka007]: Aa ok 

[11.1.2021 | 21:40:24] [Agatka007]: /kotonawirus 

[11.1.2021 | 21:40:38] [Cichy]: /d 

[11.1.2021 | 21:40:58] [Cichy]: /d 

[11.1.2021 | 21:41:4] [Cichy]: /ddd 

[11.1.2021 | 21:41:30] [Cichy]: /il 

[11.1.2021 | 21:42:42] [Agatka007]: Szczerze bardzo podoba mi sie ten bot. Ma bardzo dużo zaawansowanych funkcji. 

[11.1.2021 | 21:44:47] [Agatka007]: XD 

[11.1.2021 | 21:45:4] [Cichy]: \<:Godzina:792749176554389525> 

[11.1.2021 | 21:46:2] [Cichy]: Teraz godzina poprawnie. 

[11.1.2021 | 21:47:0] [Cichy]: Pl* 

[11.1.2021 | 21:47:26] [Agatka007]: Dzieki za pomoc 

[11.1.2021 | 21:47:48] [Cichy]: Przy błędzie, są zazwyczaj podane informacje, co zrobiłaś źle. 

[11.1.2021 | 21:48:12] [Cichy]: Lecz czasami może być to wina API. 

[11.1.2021 | 21:48:20] [Agatka007]: A ok 

[11.1.2021 | 21:49:31] [Cichy]: Rzucę okiem zaraz. 

[11.1.2021 | 21:49:42] [Agatka007]: Oki 

[11.1.2021 | 21:51:17] [Cichy]: Niektóre polecenia są bardzo wymagające i potrzebują nawet od 5 sekund, by mogły sie prawdiłodow załadować. 

[11.1.2021 | 21:51:42] [Agatka007]: A ok 

[11.1.2021 | 21:52:7] [Cichy]: Przykładowo /pokemon. 

[11.1.2021 | 21:52:57] [Cichy]: Jest tutaj aż 6 aplikacji API, co obciąża polecenie. 

[11.1.2021 | 21:53:30] [Agatka007]: Tak z ciekawosci ile robiles tego bota? 

[11.1.2021 | 21:54:39] [Cichy]: Ciężko mi stwierdzić dokładny czas. Co chwile coś dodaje, czasami gdy jestem w pracy, wrzucę pendrive do komputera, otworze notatnik i wrzucę pomysł, bym o nim pamiętał. W domu go realizuje, zrealizowany pomysł trafia do panelu help. 

[11.1.2021 | 21:56:1] [Agatka007]: Tak plus minus ktorego miesiaca zaczoles? 

[11.1.2021 | 21:59:52] [Cichy]: Bota robiłem jeszcze w momencie, gdy mieliście odpoczynek od szkoły - wakacje. Wtedy dopiero uczyłem się dokumentacji Discord.js, jeżeli potrafi się język programowania Java Script na ostatni guzik, każda dokumentacja wejdzie w błyskawicznym tempie do głowy. W połowie wakacji zacząłem prawdopodobnie programować bota, lecz była to wersja testowa, która posiadała maksymalnie 5 poleceń, które nie posiadały "zamożnego" kodu, nic szczególnego. Ciężko by mi to byłoby nazwać botem, możemy uznać, że od 2-3 miesięcy idzie mi to dość sprawnie i mogę swoją działalność prowadzić w sprawny sposób, czyli 2-3 miesiące, na oko. 

[11.1.2021 | 22:1:6] [Agatka007]: Dlugo 

[11.1.2021 | 22:1:39] [Agatka007]: Ale bot naprawde, bardzo dobracowany. 

[11.1.2021 | 22:2:8] [Cichy]: Nie zapominaj, że jestem osobą pracującą, która ma własne dzieci i nie ma czasu na "zabawę". Często moje konto jest online, lecz jestem kompletnie gdzie indziej - np. w serwerowni w pracy. 

[11.1.2021 | 22:2:57] [Agatka007]: A Ty pracujesz jakby w pracy, nie w domu tak? 

[11.1.2021 | 22:3:43] [Cichy]: Dzieci by mi zabrali, nie mogę ciągle pracować w pracy. Raz prowadzę swoją robotę w domu, raz w budynku pracy. 

[11.1.2021 | 22:4:16] [Agatka007]: A ile masz dzieci jak moge spytac? 

[11.1.2021 | 22:5:10] [Cichy]: Mam syna i córkę. 

[11.1.2021 | 22:5:48] [Agatka007]: A wiek? Jak nie chcesz to nie mow. 

[11.1.2021 | 22:9:38] [Cichy]: Dochodzenie jak na komisariacie. Zachowam tym razem dla siebie pewne informacje. 

[11.1.2021 | 22:10:9] [Agatka007]: Jasne, rozumiem 

[11.1.2021 | 22:10:14] [Agatka007]: Nie zmuszalam 

[11.1.2021 | 22:12:39] [Agatka007]: 8660 

[11.1.2021 | 22:13:32] [Cichy]: Akurat te polecenie ma działać w dwie strony, zmienna ustawiona na 1, 2. 

[11.1.2021 | 22:14:4] [Cichy]: Często wykonuje komendy w tym bocie z Waszych pomysłów. 

[11.1.2021 | 22:14:17] [Cichy]: Między innymi /amongus było pomysłem jednego z użytkowników. 

[11.1.2021 | 22:14:38] [Agatka007]: Takich mozna byloby zrobic wiecej 

[11.1.2021 | 22:14:39] [Cichy]: Jeżeli będziesz miała pomysl, możesz mi go wyjawić. 

[11.1.2021 | 22:14:49] [Cichy]: Takich poleceń? 

[11.1.2021 | 22:14:59] [Agatka007]: W stylu gier 

[11.1.2021 | 22:15:33] [Agatka007]: Typu : cs:go, lol, minecraft, fortnite, fifa nwm 

[11.1.2021 | 22:15:47] [Agatka007]: To akurat na szybko wymyslane 

[11.1.2021 | 22:15:54] [Cichy]: Na czym miałoby to polegać? 

[11.1.2021 | 22:16:42] [Agatka007]: Nwm, by np wiecej wlasnie tego typu dac. 

[11.1.2021 | 22:17:3] [Agatka007]: Tak jak te amongus 

[11.1.2021 | 22:17:22] [Cichy]: W porządku. 

[11.1.2021 | 22:17:34] [Agatka007]: Ale nwm to tak na szybko bylo rzucone 

[11.1.2021 | 22:18:15] [Agatka007]: Mozna potem to jakkolwiek zmodyfikowac 

[11.1.2021 | 22:19:24] [Cichy]: Przypomnisz mi, jakie zwierzęta były w grze Minecraft? 

