[7.1.2021 | 20:31:26] [GrubyDebil]: Ktos wbił na kompa? 

[8.1.2021 | 23:18:28] [KαcρεяεQ]: Chuj wie 

[8.1.2021 | 23:18:39] [KαcρεяεQ]: Ja tam się w to nie wpierdalam 

[9.1.2021 | 0:21:46] [Jebał Cię Pies]: Xd 

[9.1.2021 | 0:24:3] [KαcρεяεQ]: XD 

[9.1.2021 | 0:24:4] [KαcρεяεQ]: Eloelo 

[9.1.2021 | 0:24:18] [KαcρεяεQ]: Nie no 

[9.1.2021 | 0:24:23] [KαcρεяεQ]: Teraz to tu będzie rozpierdol 

[9.1.2021 | 0:24:27] [KαcρεяεQ]: Aktywności 

[9.1.2021 | 0:24:32] [KαcρεяεQ]: Jak Ty jesteś 

[9.1.2021 | 0:39:55] [MiniJave]: <@329600850387402752> y 

[14.1.2021 | 23:55:36] [GrubyDebil]: oooooooooooooooooo 

[16.1.2021 | 14:13:59] [KαcρεяεQ]: Co tam u was? 

[16.1.2021 | 16:7:8] [kunis]: Git 

[16.1.2021 | 16:7:10] [kunis]: A u Ciebie? 

[16.1.2021 | 17:18:4] [KαcρεяεQ]: Też gituwa 

[16.1.2021 | 17:18:19] [KαcρεяεQ]: Wstawać everyone 

[18.1.2021 | 21:56:56] [! = Złotóweczka = !]: z tym frejem to jest fake 

[19.1.2021 | 21:53:19] [mesik]: siema? 

[20.1.2021 | 0:0:19] [KαcρεяεQ]: Siema siema 

[20.1.2021 | 0:0:22] [KαcρεяεQ]: Co tam? 

[21.1.2021 | 18:55:8] [Gajos]: 80help 

[21.1.2021 | 18:55:18] [Gajos]: 80moderacyjne 

[21.1.2021 | 18:55:46] [Gajos]: 80ticket <@!709155828178878505>  xD 

[21.1.2021 | 18:56:21] [Gajos]: 80clear 4 

[25.1.2021 | 16:14:16] [mesik]: <@!589021390183596035> czemu bot off? 

[25.1.2021 | 16:32:47] [!Kuba]: R.I.P 

