[9.1.2021 | 1:0:58] [Agent Matke]: https://cdn.discordapp.com/attachments/744340479000182885/796048443121598534/received_477699276245441.mp4 

[9.1.2021 | 1:2:36] [Agent Matke]: https://cdn.discordapp.com/attachments/564410043232026660/794665730666266645/image0.png 

[9.1.2021 | 1:3:40] [Agent Matke]: https://cdn.discordapp.com/attachments/564410043232026660/792513263299592232/image0.png 

[9.1.2021 | 1:4:55] [Agent Matke]: https://cdn.discordapp.com/attachments/564410043232026660/789267582317625364/image0.png 

[9.1.2021 | 16:42:23] [iron death]: Mój ulubiony kanał ożył 

[9.1.2021 | 22:44:51][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797581677786038342/video-1610144057.mp4] 

[9.1.2021 | 22:45:42][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797581891192619028/video-1609766386.mp4] 

[9.1.2021 | 22:45:50][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797581927518306352/video-1609624133.mp4] 

[9.1.2021 | 22:46:7][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797581996964577300/video-1609512087.mp4] 

[9.1.2021 | 22:46:39][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797582132234289162/video-1609107017.mp4] 

[9.1.2021 | 22:46:54][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797582195173883914/video-1608936132.mp4] 

[9.1.2021 | 22:47:22][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797582312060747806/135427352_2915172322034651_4724897198290037021_n.png] 

[9.1.2021 | 22:47:31][Spizgany]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/797582350825160754/56828158_397818021052248_5213165002474651648_n.png] 

[12.1.2021 | 0:29:4] [Amarisia]: https://cdn.discordapp.com/attachments/628125757788651520/798174857421783050/d1dda4341cbebcf7f93329df8337e909.mp4 

[12.1.2021 | 0:30:14] [Amarisia]: https://www.youtube.com/watch?v=RwNbng4HSZI 

[14.1.2021 | 21:3:14] [Amarisia]: https://cdn.discordapp.com/attachments/627966753242218506/798422733636894750/sexy.mp4 

[14.1.2021 | 21:3:50] [Amarisia]: https://cdn.discordapp.com/attachments/627966753242218506/798964266283171860/SPOILER_SPOILER_video0_22.mp4 

[14.1.2021 | 21:4:6] [Cichy]: Sok pomarańczowy., 

[14.1.2021 | 21:5:11] [Amarisia]: XD 

[14.1.2021 | 21:5:21] [maz131]: smacznego 🙂 

[14.1.2021 | 21:6:7] [Amarisia]: XDDDD 

[14.1.2021 | 21:6:12] [Amarisia]: fuj Q_Q 

[14.1.2021 | 21:6:23] [maz131]: no co ? 🙂 

[14.1.2021 | 21:7:32] [Cichy]: Tak? 

[14.1.2021 | 21:11:35] [Amarisia]: zależy gdzie widzisz XD 

[14.1.2021 | 21:12:5] [Cichy]: Drugi film. 

[14.1.2021 | 21:12:8] [Cichy]: "Jajko" 

[14.1.2021 | 21:34:16] [Cichy]: Nie bądźcie tacy wulgarni, nie urośniecie. 

[17.1.2021 | 23:12:2] [Sushi]: Czemu to mazika mi się nie chce wczytać <@214808078372044801>  <@422504061959667725>  bardzo mi smutno z tego powodu :( 

[17.1.2021 | 23:12:28] [maz131]: https://cdn.boob.bot/boobs/8001728B.gif 

[17.1.2021 | 23:12:40] [maz131]: <@!615797971271024641> a teraz ? 

[17.1.2021 | 23:13:13] [Sushi]: Mi się teraz żadno zdjęcie nie wczytuje :( 

[17.1.2021 | 23:13:29] [maz131]: o nie najgorzej : ( 

[17.1.2021 | 23:14:52] [Sushi]: Ok pobrałem i widze że jest to satisfajing video 

[20.1.2021 | 13:27:4] [Amarisia]: https://cdn.discordapp.com/attachments/628125757788651520/801106907937898536/1cd0566d63a8fc2a9fa06a069c6d9887.mp4 

[20.1.2021 | 13:27:45] [Amarisia]: https://cdn.discordapp.com/attachments/628125757788651520/801164421853610014/04d7262fb41aada0ff87d0d8f66de57d.mp4 

[20.1.2021 | 13:32:37] [Amarisia]: https://cdn.discordapp.com/attachments/627966753242218506/801234166095937597/received_637981776997386.mp4 

[24.1.2021 | 13:8:2][qnik13]: undefined [Image Link:https://cdn.discordapp.com/attachments/727865525949956177/802872340375535648/received_238631247725481.jpeg] 

