[10.1.2021 | 13:2:11] [Cichy]: /23 

[10.1.2021 | 13:2:12] [Cichy]: 32 

[10.1.2021 | 13:2:16] [Cichy]: /54 

[10.1.2021 | 13:2:33] [Cichy]: 21 

[10.1.2021 | 13:2:40] [Cichy]: /123 

[10.1.2021 | 13:2:49] [Cichy]: /error2 

[10.1.2021 | 13:3:1] [Cichy]: /error12312 d23 

[10.1.2021 | 13:3:20] [Cichy]: /error12312 d23 

[10.1.2021 | 13:3:48] [Cichy]: /simulateerror 

[10.1.2021 | 13:3:50] [Cichy]: /simulateerror 

[10.1.2021 | 13:4:52] [Cichy]: /error 

[10.1.2021 | 13:4:54] [Cichy]: /error23 

[10.1.2021 | 13:5:0] [Cichy]: /error 

[10.1.2021 | 15:19:31] [Cichy]: 213 

[10.1.2021 | 15:19:33] [Cichy]: 213hu 

[10.1.2021 | 15:20:4] [Cichy]: /support-close 

[10.1.2021 | 18:56:33] [Cichy]: <@!749016976793272360> 

[10.1.2021 | 18:58:31] [Cichy]: /glosowanie 

[10.1.2021 | 18:58:33] [Cichy]: /vote 

[10.1.2021 | 18:59:1] [Cichy]: d 

[10.1.2021 | 18:59:47] [Cichy]: /awww 

[10.1.2021 | 19:2:16] [Cichy]: 21 

[10.1.2021 | 19:2:17] [Cichy]: 21 

[10.1.2021 | 19:2:17] [Cichy]: 12 

[10.1.2021 | 19:2:18] [Cichy]: 12 

[10.1.2021 | 19:2:18] [Cichy]: 12 

[10.1.2021 | 19:2:18] [Cichy]: 2 

[10.1.2021 | 19:2:19] [Cichy]: 21 

[10.1.2021 | 19:2:31] [Cichy]: /botinfo/botinfo 

[10.1.2021 | 19:2:33] [Cichy]: /botinfo/botinfo 

[10.1.2021 | 19:4:32] [Cichy]: 32 

[10.1.2021 | 19:31:41] [Cichy]: /antispam 

[10.1.2021 | 19:31:43] [Cichy]: /antispam 

[10.1.2021 | 19:31:43] [Cichy]: /antispam 

[10.1.2021 | 19:31:44] [Cichy]: /antispam 

[10.1.2021 | 19:31:44] [Cichy]: /antispam 

[10.1.2021 | 19:31:45] [Cichy]: /antispam 

[10.1.2021 | 19:31:45] [Cichy]: /antispam 

[10.1.2021 | 19:31:45] [Cichy]: /antispam 

[10.1.2021 | 19:39:6] [Cichy]: .hepl 

[10.1.2021 | 19:39:7] [Cichy]: .help 

[10.1.2021 | 19:39:10] [Cichy]: .help 

[10.1.2021 | 19:39:12] [Cichy]: 43 

[10.1.2021 | 19:39:25] [Cichy]: .szkola 

[10.1.2021 | 19:41:36] [Cichy]: \🎄 

[10.1.2021 | 19:41:39] [Cichy]: 🎄 

[10.1.2021 | 19:41:43] [Cichy]: 🎄 

[10.1.2021 | 19:41:47] [Cichy]: 🎄 

[10.1.2021 | 19:54:2] [Cichy]: \<a:Check:788816525104381952> 

[10.1.2021 | 19:54:5] [Cichy]: <a:Check:788816525104381952> 

[10.1.2021 | 19:59:8] [Cichy]: \<:Data:790199933692280843> 

[10.1.2021 | 20:41:30] [Cichy]: /helpo 

[10.1.2021 | 20:41:46] [Cichy]: .help 

[10.1.2021 | 20:42:9] [Cichy]: spoofingstatus 

[10.1.2021 | 20:45:12] [Cichy]: /el primi 

[10.1.2021 | 20:45:15] [Cichy]: /el primo 

[10.1.2021 | 20:45:31] [Cichy]: el primi 

[10.1.2021 | 20:45:35] [Cichy]: el primo 

[10.1.2021 | 20:52:28] [Cichy]: a 

[10.1.2021 | 20:52:47] [Cichy]: /images 

[10.1.2021 | 20:53:1] [Cichy]: /images 1 

[10.1.2021 | 20:53:5] [Cichy]: sd 

[10.1.2021 | 20:53:6] [Cichy]: fsd 

[10.1.2021 | 20:53:22][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/797916011575771166/1.png] 

[10.1.2021 | 21:0:44] [Cichy]: /status_bot 

[10.1.2021 | 21:0:48] [Cichy]: /status_bot 

[10.1.2021 | 21:3:4] [Cichy]: https://cdn.discordapp.com/attachments/574287173734498314/590861023171575836/tenor_2.gif 

[10.1.2021 | 21:35:38] [Cichy]: 123 

[10.1.2021 | 21:35:40] [Cichy]: 54 

[10.1.2021 | 21:36:48] [Cichy]: dwa 

[10.1.2021 | 21:37:0] [Cichy]: dwa 

[10.1.2021 | 21:37:0] [Cichy]: wad 

[10.1.2021 | 21:37:0] [Cichy]: wad 

[10.1.2021 | 21:37:1] [Cichy]: awd 

[10.1.2021 | 21:37:1] [Cichy]: faw 

[10.1.2021 | 21:37:1] [Cichy]: f 

[10.1.2021 | 21:37:2] [Cichy]: aw 

[10.1.2021 | 21:37:2] [Cichy]: 4 

[10.1.2021 | 21:37:3] [Cichy]: t3t43 

[10.1.2021 | 21:37:3] [Cichy]: t 

[10.1.2021 | 21:37:16] [Cichy]: 324 

[10.1.2021 | 21:37:17] [Cichy]: 234 

[10.1.2021 | 21:37:17] [Cichy]: 32 

[10.1.2021 | 21:37:17] [Cichy]: 43 

[10.1.2021 | 21:37:18] [Cichy]: 24 

[10.1.2021 | 21:37:19] [Cichy]: 2 

[10.1.2021 | 21:37:19] [Cichy]: 3 

[10.1.2021 | 21:37:19] [Cichy]: 4 

[10.1.2021 | 21:37:19] [Cichy]: 23 

[10.1.2021 | 21:37:20] [Cichy]: 423 

[10.1.2021 | 21:37:26] [Cichy]: 4 

[10.1.2021 | 21:37:27] [Cichy]: 32432 

[10.1.2021 | 21:37:32] [Cichy]: 123 

[10.1.2021 | 21:37:33] [Cichy]: 123 

[10.1.2021 | 21:37:33] [Cichy]: 23 

[10.1.2021 | 21:37:34] [Cichy]: 12 

[10.1.2021 | 21:37:34] [Cichy]: 1 

[10.1.2021 | 21:37:34] [Cichy]: 23 

[10.1.2021 | 21:37:37] [Cichy]: 423 

[10.1.2021 | 23:16:41] [Cichy]: 12312 

[10.1.2021 | 23:16:50] [Cichy]: 123 

[10.1.2021 | 23:16:52] [Cichy]: 13 

[11.1.2021 | 11:34:37] [Cichy]: 12312 

[11.1.2021 | 11:35:10] [Cichy]: 12312324 324 324 324 32 

[11.1.2021 | 11:36:39] [Cichy]: d 

[11.1.2021 | 11:37:4] [Cichy]: d231421 

[11.1.2021 | 11:43:23] [Cichy]: halo 

[11.1.2021 | 11:46:9] [Cichy]: /wecolemsg 

[11.1.2021 | 11:59:58] [Cichy]: \<:Data:790199933692280843> 

[11.1.2021 | 12:0:24] [Cichy]: \<:Godzina:792749176554389525> 

[11.1.2021 | 12:13:21] [Cichy]: <@&788151605358100501> 

[11.1.2021 | 12:16:54] [Cichy]: /mute/mute 

