[11.1.2021 | 18:25:44] [💚💙 кιηια 💚💙]: 😆 

[16.1.2021 | 23:40:55] [Cover]: /pikatchu 

[16.1.2021 | 23:41:16] [Cover]: Aha 

[16.1.2021 | 23:41:39] [NoOne]: Bot nie działa albo jestem głuchy <:PanShrug:753533268548124672> 

[16.1.2021 | 23:42:17] [Invejosa]: A zobacz moze przez url 

[16.1.2021 | 23:42:19] [Invejosa]: Strony 

[16.1.2021 | 23:42:20] [Invejosa]: Yt 

[16.1.2021 | 23:44:8] [NoOne]: Hmm 

[16.1.2021 | 23:44:10] [NoOne]: Może 

[16.1.2021 | 23:44:15] [NoOne]: Pójdzie 

[16.1.2021 | 23:44:41] [Invejosa]: Może za dużo fraz 

[16.1.2021 | 23:45:19] [NoOne]: Będąc głupim pomyliłem autora 

[16.1.2021 | 23:45:26] [NoOne]: :CH_starkfacepalm: 

[16.1.2021 | 23:45:45] [Invejosa]: Heh, nic się nie stało 

[16.1.2021 | 23:46:5] [NoOne]: Tylko potwierdziłem to jak głupi jestem 

[16.1.2021 | 23:46:16] [Invejosa]: Nie jesteś 

[16.1.2021 | 23:46:23] [Invejosa]: 🐼 

[16.1.2021 | 23:46:35] [Invejosa]: https://tenor.com/view/annoy-couple-revenge-irritate-bite-gif-16834570 

[16.1.2021 | 23:46:38] [NoOne]: Ale pomylić Łukasza Zagrobelnego z Mateuszem Ziółko :( 

[16.1.2021 | 23:46:57] [Invejosa]: https://tenor.com/view/panda-heart-cute-paper-draw-gif-12304871 

[16.1.2021 | 23:47:3] [NoOne]: Ja wiem, że słucham obu praktycznie ciągle, ale pomylić ich 

[16.1.2021 | 23:47:6] [NoOne]: Idę się załamać 

[16.1.2021 | 23:55:44] [Invejosa]: Nie! 

[16.1.2021 | 23:56:7] [Invejosa]: https://tenor.com/view/panda-hug-comfort-gif-12850129 

[16.1.2021 | 23:57:41] [NoOne]: Dlaczego :/ 

[17.1.2021 | 0:11:8] [Invejosa]: Bo jesteś wyjątkowy. Nie ma osób głupich. Są tylko osoby inteligentne, tylko nie kazde używają swojej inteligencji do właściwych celów lub nie wykorzystuje jej w pełni 

[17.1.2021 | 0:13:30] [NoOne]: <:3702_sad_cat_thumbsup:785352253414178827> 

