[9.1.2021 | 22:12:47] [kotek]: Ponawiam wniosek o śmierć <@!214808078372044801>, bo chcę zrobić imprezę z tej okazji. Proszę o szybką reakcję 

[9.1.2021 | 22:13:25] [Spizgany]: nie 🙃 

[9.1.2021 | 22:13:34] [kotek]: 😦 

[9.1.2021 | 22:13:39] [maz131]: oddalam tą propozycję 🙂 

[9.1.2021 | 22:13:56] [kotek]: 😭 

[9.1.2021 | 22:14:3] [Paweł gra se w gry]: jestem za zbanowainiem kotka 🙂 

[9.1.2021 | 22:14:26] [Spizgany]: +1 

[9.1.2021 | 22:22:6] [maz131]: on już sam siebie zbanował 🙂 XD 

[9.1.2021 | 22:22:41] [Spizgany]: dlatego wystarczy go wyrzucić 

[25.1.2021 | 13:22:13] [The Breather]: <@!214808078372044801> dnia 2021-01-25 napisał do pauliny, że nie wie kim jestem 

[25.1.2021 | 13:22:34] [maz131]: <@!702858219529306223> a bo se kurwa zmienisz nicki jak rękawiczki 

[25.1.2021 | 13:22:52] [The Breather]: Kiedy ostatnio go zmieniłem? 

[25.1.2021 | 13:22:55] [The Breather]: Dzisaij 

[25.1.2021 | 13:23:29] [maz131]: i się kurwa nie dziw ze nie da się cię rozpoznać jak zmieniasz nicki 

[25.1.2021 | 13:23:35] [The Breather]: Tak to cały czas był SCP-4999 albo Kotek, co łatwo da się domyślić, że to ja bo to jest kurwa KOT 

[25.1.2021 | 13:24:8] [maz131]: ale kurwa nie zmieniałeś awatarów 🙂 

[25.1.2021 | 13:24:13] [The Breather]: Zawsze możesz zobaczyć wspólne wiadomości 

[25.1.2021 | 13:24:34] [The Breather]: Zmieniałem, jak zmieniałem nick na kotek i z SCP- Kot na SCP - 4999 

[25.1.2021 | 13:24:46] [maz131]: a kto bo na to patszył XD 

[25.1.2021 | 13:25:44] [maz131]: a po chuj ty zmieniasz to 

[25.1.2021 | 13:26:3] [maz131]: powinieneś zostać Lolek_kot i tyle mam do powiedzenia 🙂 

[25.1.2021 | 13:26:32][The Breather]: undefined [Image Link:https://cdn.discordapp.com/attachments/724920644562845716/803239384492802048/2021-01-24_16-47-54.mp4] 

[25.1.2021 | 13:26:34] [maz131]: a nie nie wiadomo co ty se dajesz na awatar 

[25.1.2021 | 13:27:9] [The Breather]: A jakie gry z wami przechodziłem? 

[25.1.2021 | 13:27:16] [The Breather]: Konkretnie horrory 

[25.1.2021 | 13:27:50] [maz131]: a chuj wi 🙂 

[25.1.2021 | 13:28:54] [The Breather]: Welcome o the Game 2 i Outlast 

[25.1.2021 | 13:29:21] [The Breather]: Teraz przypomnij sobie przeciwników z tego pierwszego horroru, który wymieniłem i spójrz na mój nick 

[25.1.2021 | 13:30:6] [maz131]: a kto by kurwa pamiętał jakie są tam przeciwniki jak się nie grało w tą grę 

[25.1.2021 | 13:30:36] [The Breather]: Nie mam więcej pytań proszę sędzie o rozstrzygnięcie mazik winny czy nie 

[25.1.2021 | 13:31:46] [maz131]: pojebało cię jak my sędziego nie mamy nie płaciłem mu od 3 miesięcy 

[25.1.2021 | 13:31:59] [The Breather]: Mazik cicho, teraz głos ma sędzia nie ty 

[25.1.2021 | 13:32:19] [The Breather]: Wierzę, że odpowie 

[25.1.2021 | 13:32:58] [maz131]: ale sędzia się zwolnił bo mu nie płaciłem 😐 

[25.1.2021 | 13:33:44] [The Breather]: Ja wierzę, że rozstrzygnie tąs sprawę, a teraz cicho, bo jest nie śmiały 

[25.1.2021 | 13:34:40] [maz131]: jak może być śmiały jak go nie ma XD 

[25.1.2021 | 13:35:19] [The Breather]: *nie śmiały 

[25.1.2021 | 13:35:25] [The Breather]: On jest 

[25.1.2021 | 13:35:28] [The Breather]: ja to wiem 

[25.1.2021 | 13:36:16] [maz131]: dobra wież sobie co chcesz 🙂 

[25.1.2021 | 13:38:58] [The Breather]: @Sędzia halo 

[25.1.2021 | 13:39:36] [maz131]: coś ci nie poszło XD 

[25.1.2021 | 13:39:40] [maz131]: poczekaj 

[25.1.2021 | 13:39:51] [The Breather]: https://tenor.com/view/you-definitely-guilty-for-sure-you-did-it-im-certain-i-know-it-was-you-gif-15442364 

[25.1.2021 | 13:41:57][The Breather]: undefined [Image Link:https://cdn.discordapp.com/attachments/724920644562845716/803243265134166046/tenor.png] 

[25.1.2021 | 13:42:25] [maz131]: oto Sędzia Anna Maria Wesołowska 

[25.1.2021 | 13:43:0] [The Breather]: . 

[25.1.2021 | 13:43:5] [maz131]: oto Sędzia Anna Maria Wesołowska 

[25.1.2021 | 13:43:24] [maz131]: oficjalnie użytkownik maz131 jest nie winny 

[25.1.2021 | 13:43:56] [The Breather]: https://tenor.com/view/fuck-you-fuck-off-middle-finger-flip-off-ryan-stiles-gif-5613668 

[25.1.2021 | 13:44:21] [The Breather]: https://tenor.com/view/flipping-off-flip-off-middle-finger-smile-happy-gif-4746862 

