[12.1.2021 | 14:42:31] [Agatka007]: 💜 Małe Partnerstwa 💜 

[12.1.2021 | 14:44:17] [Agatka007]: 798537530608844820 

[12.1.2021 | 14:44:25] [Agatka007]: e000c3 

[12.1.2021 | 14:44:38] [Agatka007]: Małe partnerstwa 

[12.1.2021 | 14:44:50] [Agatka007]: purple_heart Małe Partnerstwa purple_heart 

[12.1.2021 | 14:45:44] [Agatka007]: 798537530608844820 

[12.1.2021 | 14:45:48] [Agatka007]: e000c3 

[12.1.2021 | 14:46:2] [Agatka007]: MAŁE PARTNERSTWA 

[12.1.2021 | 14:46:37] [Agatka007]: 💜Małe Partnerstwa💜 

[12.1.2021 | 14:46:56] [Agatka007]: . 

[12.1.2021 | 14:46:59] [Cichy]: Robiłem restart. 

[12.1.2021 | 14:47:11] [Agatka007]: A ok 

[12.1.2021 | 14:47:45] [Agatka007]: Czyli juz wszystko dziala czyy? 

[12.1.2021 | 14:47:49] [Cichy]: Działa. 

[12.1.2021 | 14:48:5] [Agatka007]: 798537530608844820 

[12.1.2021 | 14:48:9] [Agatka007]: e000c3 

[12.1.2021 | 14:48:25] [Agatka007]: 💜Małe partnerstwa💜 

[12.1.2021 | 14:48:41] [Agatka007]: MAŁE PARTNERSTWA 

[12.1.2021 | 14:50:5] [Agatka007]: Nie moge tego ostatniego usunac 

[12.1.2021 | 14:50:11] [Cichy]: Którego? 

[12.1.2021 | 14:50:24] [Agatka007]: e000c3 to xD 

[12.1.2021 | 14:50:31] [Cichy]: Nic mi sie nie wyświetla, nic nie ma. 

[12.1.2021 | 14:50:55] [Agatka007]: Czyli cos mi sie zacielo 

[12.1.2021 | 14:50:58] [Agatka007]: Ale dzieki 

[12.1.2021 | 14:51:7][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/798537530608844820/798549627061534730/1.JPG] 

[12.1.2021 | 14:51:30] [Agatka007]: To nwm 

[12.1.2021 | 14:51:42] [Cichy]: Restartuj Discorda, powinno pomóc. 

[12.1.2021 | 14:51:56] [Agatka007]: Nom zadzialalo 

[12.1.2021 | 14:52:1] [Agatka007]: Dziekuje 

