[8.1.2021 | 23:41:36] [Cover]: b!mysze 

[9.1.2021 | 0:27:2] [Cover]: b!bbcinfo 

[9.1.2021 | 0:28:16] [Cover]: b!bbcinfo 

[9.1.2021 | 0:30:51] [Cover]: /rzut reszka 

[9.1.2021 | 0:31:6] [Cover]: /Rzut reszka 

[9.1.2021 | 0:31:16] [Cover]: /coinfli[ reszka 

[9.1.2021 | 0:36:17] [Cover]: b!coinflip 

[9.1.2021 | 16:36:12] [Cover]: .help 

[9.1.2021 | 16:51:12] [Cover]: b!boost 

[9.1.2021 | 16:51:24] [Cover]: b!boost 

[9.1.2021 | 17:3:42] [Cover]: /pl goodbay 

[9.1.2021 | 17:12:54] [Cover]: b!akinator 

[9.1.2021 | 17:13:0] [Cover]: b!tak 

[9.1.2021 | 17:17:6] [Cover]: b!akinator 

[9.1.2021 | 17:17:10] [Cover]: b!tak 

[9.1.2021 | 17:17:40] [Cover]: b!tak 

[9.1.2021 | 17:20:57] [Cover]: b!akinator 

[9.1.2021 | 17:21:2] [Cover]: b!tak 

[9.1.2021 | 17:21:7] [Cover]: b!nie 

[9.1.2021 | 17:21:51] [Cover]: b!tak 

[9.1.2021 | 17:23:30] [Cover]: b!randompytania 

[9.1.2021 | 17:23:35] [Cover]: b!tak 

[9.1.2021 | 17:23:45] [Cover]: b!tak 

[9.1.2021 | 17:23:58] [Cover]: b!tak 

[9.1.2021 | 17:24:1] [Cover]: b!tak 

[9.1.2021 | 17:24:4] [Cover]: b!tak 

[9.1.2021 | 17:24:8] [Cover]: b!tak 

[9.1.2021 | 17:24:15] [Cover]: b!nie 

[9.1.2021 | 17:27:52] [Cover]: b!randompytania 

[9.1.2021 | 17:27:56] [Cover]: b!tak 

[9.1.2021 | 17:28:10] [Cover]: b!tak-jest 

[9.1.2021 | 17:28:41] [Cover]: b!randompytania 

[9.1.2021 | 17:28:45] [Cover]: b!nie 

[9.1.2021 | 17:34:34] [Cover]: b!randompytania 

[9.1.2021 | 17:34:38] [Cover]: b!tak 

[9.1.2021 | 17:36:26] [Cover]: b!randompytania 

[9.1.2021 | 17:36:31] [Cover]: b!tak 

[9.1.2021 | 17:36:44] [Cover]: b!tak-jest 

[9.1.2021 | 17:36:53] [Cover]: b!tak 

[9.1.2021 | 17:36:56] [Cover]: b!tak 

[9.1.2021 | 17:37:20] [Cover]: b!nie-jest 

[9.1.2021 | 17:39:5] [Cover]: b!tak 

[9.1.2021 | 17:39:15] [Cover]: b!tak-jest 

[9.1.2021 | 17:39:18] [Cover]: b!tak 

[9.1.2021 | 17:39:25] [Cover]: b!nie-jest 

[9.1.2021 | 17:39:32] [Cover]: b!tak 

[9.1.2021 | 17:39:38] [Cover]: b!tak-jest 

[9.1.2021 | 17:57:34] [Cover]: b!żart 

[9.1.2021 | 17:58:6] [Cover]: b!żart 

[9.1.2021 | 18:19:28] [Cover]: b!żart 

[9.1.2021 | 18:24:13] [Cover]: b!żart 

[9.1.2021 | 18:24:28] [Cover]: b!żart 

[9.1.2021 | 18:24:32] [Cover]: b!żart 

[9.1.2021 | 19:4:37] [Cover]: ?rr setup 

[9.1.2021 | 19:4:42] [Cover]: <#797222628519182348> 

[9.1.2021 | 19:5:33] [Cover]: Aby się zweryfikować | :discordkooxd:-weryfikacja 

[9.1.2021 | 19:5:36] [Cover]: none 

[9.1.2021 | 20:5:58] [Cover]: b!boosty 

[9.1.2021 | 20:6:24] [Cover]: b!boost 

[9.1.2021 | 20:7:19] [Cover]: b!boost 

[10.1.2021 | 13:38:55] [Cover]: xD 

[10.1.2021 | 13:41:37] [Cover]: xD 

[10.1.2021 | 14:0:11] [Cover]: b!kostka 

[10.1.2021 | 14:0:26] [Cover]: b!kostka 

[10.1.2021 | 14:3:5] [Cover]: b!help 

[10.1.2021 | 14:42:51] [Cover]: /helo 

[10.1.2021 | 14:59:54] [Cover]: b!ikonaserwera 

[10.1.2021 | 15:4:50] [Cover]: b!inkonaserwera 

[10.1.2021 | 15:5:13] [Cover]: b!ikonaserwera 

[10.1.2021 | 15:6:10] [Cover]: b!konaserwera 

[10.1.2021 | 15:6:54] [Cover]: b!ikonaserwera 

[10.1.2021 | 15:7:53] [Cover]: b!ikonaserwera 

[10.1.2021 | 19:19:30] [Cover]: r!help 

[10.1.2021 | 19:20:20] [Cover]: r!help 

[10.1.2021 | 19:21:34] [Cover]: r!help 

[10.1.2021 | 19:21:59] [Cover]: r!help 

[10.1.2021 | 19:22:9] [Cover]: b!help 

[10.1.2021 | 21:0:4] [Cover]: b!help 

[10.1.2021 | 21:0:44] [Cover]: swieta 

[10.1.2021 | 21:0:49] [Cover]: /sweta 

[10.1.2021 | 21:14:30] [Cover]: b!1minuta 

[10.1.2021 | 21:33:58] [Cover]: b!pogoda 

[10.1.2021 | 21:34:34] [Cover]: b!mems 

[10.1.2021 | 21:34:45] [Cover]: b!memes 

[10.1.2021 | 21:35:20] [Cover]: b!memes 

[10.1.2021 | 21:35:43] [Cover]: b!level 

[10.1.2021 | 21:36:5] [Cover]: b!levels 

[10.1.2021 | 21:38:38] [Cover]: b!levels 

[10.1.2021 | 21:38:41] [Cover]: b!level 

[10.1.2021 | 22:41:8] [Cover]: b!levels 

[10.1.2021 | 22:41:29] [Cover]: b!levelinfo 

[10.1.2021 | 22:45:22] [Cover]: b!levelinfo 

[10.1.2021 | 22:48:32] [Cover]: b!help 

[10.1.2021 | 22:58:16] [Cover]: b!purge 

[10.1.2021 | 22:58:34] [Cover]: b!purge 1 

[10.1.2021 | 23:1:5] [Cover]: b!warnings 

[10.1.2021 | 23:9:49] [Cover]: b!listaodznak 

[10.1.2021 | 23:10:22] [Cover]: b!listaodznak 

[10.1.2021 | 23:11:42] [Cover]: b!listaodznak 

[10.1.2021 | 23:14:28] [Cover]: b!help 

[10.1.2021 | 23:14:37] [Cover]: b!listaodznak 

[10.1.2021 | 23:20:30] [Cover]: b!listaodznak 

[11.1.2021 | 12:50:3] [Cover]: b!hej 

[11.1.2021 | 12:53:17] [Cover]: b!wejdz 

[11.1.2021 | 12:53:25] [Cover]: b!wejdz 

[11.1.2021 | 12:56:19] [Cover]: b!addrole <@!797028743834370069>  <@&798158219783962625> 

[11.1.2021 | 12:56:37] [Cover]: b!addrole <@!749016976793272360>  <@&798158219783962625> 

[11.1.2021 | 12:57:3] [Cover]: b!addrole <@!785260474505232485>  Elo 

[11.1.2021 | 12:57:13] [Cover]: b!addrole <@!785260474505232485>  <@&798158219783962625> 

[11.1.2021 | 12:59:19] [Cover]: b!addrole <@&798158219783962625> <@!749016976793272360> 

[11.1.2021 | 13:1:49] [Cover]: b!hej 

[11.1.2021 | 13:3:7] [Cover]: b!purge 5 

[11.1.2021 | 13:4:33] [Cover]: b!ban <@!235148962103951360>  elo 

[11.1.2021 | 13:5:24] [Cover]: b!ban <@!235148962103951360>  elo 

[11.1.2021 | 13:6:40] [Cover]: b!ban <@!235148962103951360>  elo 

[11.1.2021 | 13:7:21] [Cover]: b!ban <@!235148962103951360>  elo 

[11.1.2021 | 13:8:18] [Cover]: b!ban <@!235148962103951360> niesłuchane się do poleceń admia 

[11.1.2021 | 13:9:10] [Cover]: b!ban <@!235148962103951360> niestosowanie się do poleceń admina 

[11.1.2021 | 13:11:31] [Cover]: b!addrole <@!749016976793272360> <@&798160498100535327> 

[11.1.2021 | 13:11:59] [Cover]: b!addrole <@!749016976793272360> <@&798160498100535327> 

[11.1.2021 | 13:29:51] [Cover]: b!pogoda 

[11.1.2021 | 13:29:56] [Cover]: b!pogoda Kutno 

[11.1.2021 | 13:31:46] [Cover]: b!pogoda 

[11.1.2021 | 18:30:55] [Cover]: b!hmmm 

[11.1.2021 | 19:31:52] [Cover]: b!help 

[11.1.2021 | 19:31:55] [Cover]: b!ban 

[11.1.2021 | 19:48:32] [Cover]: b!play 

[11.1.2021 | 21:21:28] [Cover]: b!help 

[12.1.2021 | 0:22:7] [Cover]: b!help 

[12.1.2021 | 0:22:26] [Cover]: b!minecraft 

[13.1.2021 | 0:20:17] [Cover]: *games 

[13.1.2021 | 0:21:5] [Cover]: *games 

[13.1.2021 | 0:21:9] [Cover]: * games 

[14.1.2021 | 22:48:14] [Cover]: ;help 

[14.1.2021 | 22:58:38] [Cover]: /helo 

[14.1.2021 | 23:0:57] [Cover]: b!helo 

[14.1.2021 | 23:1:3] [Cover]: b!help 

[14.1.2021 | 23:1:38] [Cover]: b!help 

[14.1.2021 | 23:1:48] [Cover]: b!asopt 

[14.1.2021 | 23:1:53] [Cover]: b!adopt 

[14.1.2021 | 23:2:11] [Cover]: b!adpopt Magma 

[14.1.2021 | 23:2:25] [Cover]: b!adopt Magma 

[14.1.2021 | 23:2:43] [Cover]: b!adopt magma 

[14.1.2021 | 23:10:14] [Cover]: b!koronawirus 

[14.1.2021 | 23:12:19] [Cover]: b!koronawirus 

[14.1.2021 | 23:15:22] [Cover]: b!ikonaserwera 

[17.1.2021 | 0:3:51] [Cover]: /helo 

[17.1.2021 | 0:4:49] [Cover]: b!koronawirus 

[22.1.2021 | 14:49:5] [Cover]: b!listaodznak 

[22.1.2021 | 16:14:26] [Cover]: b!koronawirus 

[22.1.2021 | 17:7:15] [Cover]: b!infopartnerstwa 

[22.1.2021 | 17:8:7] [Cover]: b!infopartnerstwa 

[22.1.2021 | 17:8:19] [Cover]: ``elo`` 

[22.1.2021 | 17:8:56] [Cover]: b!infopartnerstwa 

[22.1.2021 | 17:10:27] [Cover]: b!infopartnerstwa 

[22.1.2021 | 22:3:6] [Cover]: b!help 

[25.1.2021 | 12:25:48] [Cover]: /koronawius 

[25.1.2021 | 12:27:4] [Cover]: b!koronawirus 

[26.1.2021 | 10:11:25] [Cover]: !start-quiz 

[26.1.2021 | 10:17:49] [Cover]: /wepon 

[26.1.2021 | 12:7:0] [Cover]: b!memes 

[26.1.2021 | 12:7:52] [Cover]: b!create_meme 

[26.1.2021 | 12:9:8] [Cover]: b!status 

[26.1.2021 | 12:25:10] [Cover]: b!gra 

