[8.1.2021 | 15:5:10] [maz131]: cześć <@!326694425621430283> 

[8.1.2021 | 15:5:18] [Amarisia]: cześć <@!326694425621430283> 

[8.1.2021 | 15:5:24] [kotek]: <@!326694425621430283> hej 

[8.1.2021 | 15:5:29] [Amarisia]: @everyone <@!326694425621430283> wszedł! 

[8.1.2021 | 15:5:34] [Leczo]: no kurwa zabawni jesteście 

[8.1.2021 | 15:5:43] [kotek]: https://tenor.com/view/yes-dog-indeed-nod-gif-10818519 

[8.1.2021 | 15:5:51] [Amarisia]: https://tenor.com/view/yes-agree-yup-nod-gif-14017499 

[8.1.2021 | 15:6:1] [maz131]: <@!326694425621430283> dawno cię nie było opowiadaj jak tam życko mija 🙂 

[8.1.2021 | 15:6:5] [Sushi]: <@!326694425621430283>  cześć 

[8.1.2021 | 15:6:9] [maz131]: https://tenor.com/view/hamtaro-please-shy-dance-bashful-gif-10722432 

[8.1.2021 | 15:6:27] [kotek]: https://tenor.com/view/luigi-what-gif-10199202 

[8.1.2021 | 15:6:29] [Sushi]: o/ 

[8.1.2021 | 15:6:32] [Sushi]: siemka 

[8.1.2021 | 15:7:13] [Amarisia]: Robimy imprezę bo <@!326694425621430283> wszedł! 

[8.1.2021 | 15:7:15] [maz131]: https://tenor.com/view/milk-and-mocha-bears-disco-dance-gif-14669532 

[8.1.2021 | 15:7:18] [kotek]: o/\o 

[8.1.2021 | 15:7:29] [kotek]: <@!326694425621430283> 

[8.1.2021 | 15:7:37] [kotek]: z 

[8.1.2021 | 15:7:40] [kotek]: okazji 

[8.1.2021 | 15:7:42] [kotek]: powrotu 

[8.1.2021 | 15:7:44] [kotek]: twego 

[8.1.2021 | 15:7:52] [Amarisia]: https://i.pinimg.com/originals/fb/3a/59/fb3a59f7fa8737081bfe464ae94e428f.gif 

[8.1.2021 | 15:8:3] [kotek]: o/\o 

[8.1.2021 | 15:8:12] [kotek]: logo tej imprezy 

[8.1.2021 | 16:4:6] [Paweł gra se w gry]: hehj <@!326694425621430283> 

[8.1.2021 | 22:48:44][Amarisia]: undefined [Image Link:https://cdn.discordapp.com/attachments/478531971740336159/797220272679288843/unknown.png] 

[8.1.2021 | 22:48:46] [Amarisia]: 🙂 

[8.1.2021 | 22:56:10] [Amarisia]: <@!224274776468881408> Mordo kochana, słuchaj bo ja chcę spoufalać z Władzą Imperialną GS ALE nie mogę, link nie działa bo nie wiem za co mam CHYBA bana. Czy można link bądź ewentualne odbanowanie mnie? 

[8.1.2021 | 22:56:41] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:41] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:42] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:42] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:42] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:43] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:43] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:43] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:44] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:44] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:51] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:56:51] [maz131]: <@!224274776468881408> 

[8.1.2021 | 22:57:28] [Amarisia]: 🤌 👉 👌 😘 

[8.1.2021 | 22:57:42] [maz131]: https://tenor.com/view/chipmunks-shock-funny-omg-squirrel-gif-7880377 

[8.1.2021 | 22:57:55] [Paweł gra se w gry]: https://tenor.com/view/noice-nice-click-gif-8843762 

[8.1.2021 | 22:58:20] [Paweł gra se w gry]: https://tenor.com/view/sex-kiss-love-sweet-heart-gif-14214388 

