[14.1.2021 | 20:13:21] [Cichy]: <@!749016976793272360> 

[14.1.2021 | 20:14:1] [Cichy]: Możesz posprawdzać. 

[14.1.2021 | 20:17:42] [Cichy]: Czasami polecenia API potrzebują większej ilości czasu na wygenerowanie, ale to normalne. 

[14.1.2021 | 20:17:57] [kilk]: no jutro sobie posprawdzam 😄 i zobaczymy 

[14.1.2021 | 20:18:7] [Cichy]: W porządku. 

[14.1.2021 | 21:12:34] [`Gremi⭐]: ładnie zrobione bardzo 

[14.1.2021 | 21:13:4] [Cichy]: Prawdopodobnie obsłuży każde państwo. 

[14.1.2021 | 21:13:13] [`Gremi⭐]: o to chyba korzystasz z tego same źródła co ja bo u siebie też mam obsługe każdego państwa 

[14.1.2021 | 21:13:14] [`Gremi⭐]: xdddd 

[14.1.2021 | 21:13:38] [Cichy]: Sporo jest aplikacji API, które obsługują wiele źródeł. 

[14.1.2021 | 21:13:42] [Cichy]: Przynajmniej kilka widziałem. 

[14.1.2021 | 21:13:44] [`Gremi⭐]: tez prawda 

[14.1.2021 | 21:13:56] [`Gremi⭐]: to ja do tego widzialem jedno ale dawno to robilem 

[14.1.2021 | 21:14:0] [`Gremi⭐]: moglo sie pozmieniac 

[14.1.2021 | 21:21:47] [`Gremi⭐]: 3822 

[22.1.2021 | 21:24:40] [Cichy]: /Support - Reports 

