[26.1.2021 | 12:26:25] [linda👁🗨]: tickety działają 

[26.1.2021 | 12:27:2] [linda👁🗨]: <@!689129555549618269> jak dostać awans? 

[26.1.2021 | 12:39:7] [👑 _PRYMEK_ 👑]: Wiesz co trzeba 

[26.1.2021 | 12:39:11] [👑 _PRYMEK_ 👑]: Być aktywny 

[26.1.2021 | 12:39:15] [👑 _PRYMEK_ 👑]: Pomagać itp 

[26.1.2021 | 12:39:15] [👑 _PRYMEK_ 👑]: . 

[26.1.2021 | 12:39:23] [👑 _PRYMEK_ 👑]: I dawać plusy mieć 

[26.1.2021 | 12:40:16] [👑 _PRYMEK_ 👑]: <@801091172235477042> 

[26.1.2021 | 12:40:19] [👑 _PRYMEK_ 👑]: :) 

[26.1.2021 | 12:41:31] [linda👁🗨]: ok 

