[27.1.2021 | 10:17:47] [bart.bruk]: <@!689129555549618269> mam sprawę 

[27.1.2021 | 10:31:41] [👑 _PRYMEK_ 👑]: Jaką? 

[27.1.2021 | 10:31:42] [👑 _PRYMEK_ 👑]: <@790508375019356160> 

[27.1.2021 | 10:33:6] [bart.bruk]: bo kokichi jakby liczył że dostanie moda jak maluszek, on ci tego nie powie ale ja go znam baaardzo dobrze, jakby wyszedł bo był zakłopotany i nie wiedział co powiedzieć 

[27.1.2021 | 10:33:18] [bart.bruk]: nie mów mu że to napisałem 

[27.1.2021 | 10:33:32] [bart.bruk]: i jakby chyba dla tego wyszedł 

[27.1.2021 | 10:35:29] [👑 _PRYMEK_ 👑]: Ale z kąd wyszedł? 

[27.1.2021 | 10:35:38] [👑 _PRYMEK_ 👑]: Z serwa 

[27.1.2021 | 10:35:39] [👑 _PRYMEK_ 👑]: ? 

[27.1.2021 | 10:35:47] [bart.bruk]: z discord chyba 

[27.1.2021 | 10:35:52] [bart.bruk]: bo jest na serwie 

[27.1.2021 | 10:35:56] [👑 _PRYMEK_ 👑]: Eeeee 

[27.1.2021 | 10:35:56] [bart.bruk]: znaczy ma rangi 

[27.1.2021 | 10:36:7] [👑 _PRYMEK_ 👑]: Z discorda 

[27.1.2021 | 10:36:11] [👑 _PRYMEK_ 👑]: W sensie wylogowal się 

[27.1.2021 | 10:36:23] [bart.bruk]: albo wyszedł z aplikacji 

[27.1.2021 | 10:36:34] [👑 _PRYMEK_ 👑]: Eeeee 

[27.1.2021 | 10:36:37] [👑 _PRYMEK_ 👑]: Naprawdę 

[27.1.2021 | 10:36:40] [👑 _PRYMEK_ 👑]: Usunoł discorda 

[27.1.2021 | 10:36:41] [👑 _PRYMEK_ 👑]: ? 

[27.1.2021 | 10:36:52] [bart.bruk]: nie chyba 

[27.1.2021 | 10:37:6] [👑 _PRYMEK_ 👑]: Zadzwoń do niego i się go zapytaj i mi powiec 

