[27.1.2021 | 12:10:9] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: <@!689129555549618269>  mam pare pytań 

[27.1.2021 | 12:10:27] [👑 _PRYMEK_ 👑]: Tak 

[27.1.2021 | 12:10:38] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: 1 takie po co ten kanał swój kanał głosowy? 

[27.1.2021 | 12:10:47] [👑 _PRYMEK_ 👑]: Nwm 

[27.1.2021 | 12:10:50] [👑 _PRYMEK_ 👑]: Jest bo jest 

[27.1.2021 | 12:10:53] [👑 _PRYMEK_ 👑]: Kiedyś go zrobię 

[27.1.2021 | 12:11:0] [👑 _PRYMEK_ 👑]: Kolejne pytanie? 

[27.1.2021 | 12:11:10][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: co robią te boty [Image Link:https://cdn.discordapp.com/attachments/803944812902481920/803945193500966912/unknown.png] 

[27.1.2021 | 12:11:21] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: najbardziej mnie interesuje infinity 

[27.1.2021 | 12:11:41] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: bo miałem taki serw ale zmieniłem nazwe 

[27.1.2021 | 12:11:42] [👑 _PRYMEK_ 👑]: Dużo rzeczy 

[27.1.2021 | 12:11:51] [👑 _PRYMEK_ 👑]: Później wytłumaczę ok? 

[27.1.2021 | 12:11:54] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ok 

[27.1.2021 | 12:12:26][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: jeszcze to oprócz ticketa [Image Link:https://cdn.discordapp.com/attachments/803944812902481920/803945512570060800/unknown.png] 

[27.1.2021 | 12:12:37] [👑 _PRYMEK_ 👑]: Wollfer 

[27.1.2021 | 12:13:1] [👑 _PRYMEK_ 👑]: To kiedyś do weryfikacji 

[27.1.2021 | 12:13:9] [👑 _PRYMEK_ 👑]: Plasma 

[27.1.2021 | 12:13:10] [👑 _PRYMEK_ 👑]: Liczy zapro 

[27.1.2021 | 12:13:21] [👑 _PRYMEK_ 👑]: A stat bot to nazwa mówi sama za siebie :) 

[27.1.2021 | 12:13:47] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: kk 

[27.1.2021 | 12:14:5] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: jeszcze chce wiedzieć co robi infinity i krzesło xd 

[27.1.2021 | 12:16:23] [👑 _PRYMEK_ 👑]: Infinity 

[27.1.2021 | 12:16:28] [👑 _PRYMEK_ 👑]: Dużo rzeczyb 

[27.1.2021 | 12:16:34] [👑 _PRYMEK_ 👑]: Chyba 

[27.1.2021 | 12:16:37] [👑 _PRYMEK_ 👑]: Clear bit 

[27.1.2021 | 12:16:43] [👑 _PRYMEK_ 👑]: Też staty 

[27.1.2021 | 12:16:49] [👑 _PRYMEK_ 👑]: Ale przestały działać kto 

[27.1.2021 | 12:17:11] [👑 _PRYMEK_ 👑]: A nie sry 

[27.1.2021 | 12:17:16] [👑 _PRYMEK_ 👑]: Nie pamiętam co robi infinity 

[27.1.2021 | 12:17:20] [👑 _PRYMEK_ 👑]: To nie to 

[27.1.2021 | 12:17:31] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: kk 

[27.1.2021 | 12:17:46] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: rpbie partnerstwo 1500os+ 

[27.1.2021 | 12:19:21] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: kk 

[27.1.2021 | 12:24:49] [👑 _PRYMEK_ 👑]: Najs 

[27.1.2021 | 12:24:50] [👑 _PRYMEK_ 👑]: ;) 

