[9.1.2021 | 0:19:9] [Jebał Cię Pies]: 80zweryfikuj 

[9.1.2021 | 0:19:24] [Jebał Cię Pies]: eon0b 

[9.1.2021 | 0:21:9] [Jebał Cię Pies]: 80zweryfikuj 

[9.1.2021 | 0:21:21] [Jebał Cię Pies]: 6ecw5 

[16.1.2021 | 0:10:23] [flejmiczak]: 80zweryfikuj 

[16.1.2021 | 0:10:34] [flejmiczak]: qd935 

[16.1.2021 | 0:10:46] [flejmiczak]: 80zweryfikuj 

[16.1.2021 | 0:10:57] [flejmiczak]: bmw1x 

[16.1.2021 | 23:14:56] [kacper]: 80zweryfikuj 

[16.1.2021 | 23:15:13] [kacper]: yj1k2 

[20.1.2021 | 19:58:35] [[8080] Hajsu]: 80zarejestruj 

[20.1.2021 | 19:58:51] [[8080] Hajsu]: m2dp2 

[20.1.2021 | 20:1:27] [milek1612]: 80zarejestruj 

[20.1.2021 | 20:1:38] [milek1612]: Fnx65 

[22.1.2021 | 18:56:37] [Steezy]: 80zweryfikuj 

[22.1.2021 | 18:56:48] [Steezy]: 1 k w w b 

[22.1.2021 | 18:56:50] [hazukame]: 8zweryfikuj 

[22.1.2021 | 18:57:0] [Steezy]: 80zweryfikuj 

[22.1.2021 | 18:57:2] [hazukame]: 80zweryfikuj 

[22.1.2021 | 18:57:11] [Steezy]: 4dgug 

[22.1.2021 | 18:57:13] [hazukame]: 69gah 

[22.1.2021 | 18:57:28] [Steezy]: 80weryfikacja 

[22.1.2021 | 18:57:39] [Steezy]: 80zweryfikuj 

[22.1.2021 | 18:58:19] [Steezy]: 80zweryfikuj 

[22.1.2021 | 18:58:30] [Steezy]: 6mupr 

[28.1.2021 | 0:0:39] [GrzeniU]: 80zweryfikuj 

