[7.1.2021 | 18:7:1] [🖤Maxim Jestem🖤]: MIAU 

[7.1.2021 | 18:8:20] [Kara Chan]: Hej hej 

[7.1.2021 | 18:18:13] [Mikrofala Samsung]: hej 

[7.1.2021 | 18:23:58] [Klapki Mojżesza]: hej 

[7.1.2021 | 18:24:9] [Mikrofala Samsung]: Omg Krystian siema 

[7.1.2021 | 18:24:25] [Mikrofala Samsung]: Zapomniałam że tu dołączyłeś kiedyś 

[7.1.2021 | 18:24:33] [Klapki Mojżesza]: Też zapomniałem 

[7.1.2021 | 18:45:34] [𝒽𝓌𝒿 𝓇ℴ𝒷𝒾 ℯ𝓁ℴ 𝒷ℯ𝓃𝒸]: hej przyjaciele 

[7.1.2021 | 18:59:53] [-Saki-]: HEY HEY HEEEY 

[7.1.2021 | 19:19:29] [Mikrofala Samsung]: hej 

[8.1.2021 | 15:0:42] [Dooru Oikawa]: YAHOOI 

[8.1.2021 | 18:10:59] [Jeffrey]: Witam!!! 

[8.1.2021 | 18:25:48] [Anika1258]: hej 

[8.1.2021 | 19:53:12] [Trash]: Hej hej znalazłam moją mangę z dangi którą kupiłam chyba gdzieś w poprzednie święta 2019 <:emoji_10:780167257204326422> <:emoji_19:783061995351179314> <:emoji_4:779367208534409267> 😍 🥰 <:emoji_11:780167282143920158> <:emoji_6:779368641288077382> <:emoji_7:779369233473077248> <:emoji_20:783062020340973568> 💅 😻 😽 💕 <:emoji_40:783338999405740062> 

[8.1.2021 | 20:1:4][Trash]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/797178070808264774/20210108_205552.jpg] 

[8.1.2021 | 22:7:15] [Sejla]: Dobry 

[8.1.2021 | 22:7:23] [Sejla]: Fajne cycki 

[8.1.2021 | 22:12:10] [Trash]: Yes 

[8.1.2021 | 22:12:21] [Trash]: HeHeHeE 

[8.1.2021 | 22:30:58] [Trash]: Wtf 

[8.1.2021 | 22:31:8] [Trash]: Genocider jest jakaś jebnieta 

[8.1.2021 | 22:31:17] [Trash]: Ona się z dupy pojawia 

[8.1.2021 | 22:31:45] [Trash]: Znaczy jest zajebista 

[8.1.2021 | 22:31:51] [Trash]: Pf 

[8.1.2021 | 22:50:14] [Trash]: HE'S GAAAAAY AND EUROPEAN, HE'S GAAAAAAY AND EUROPEN, HE'S GAAAAAAY AND EUROPEAN AND GAAAAAAAAAAY FINE, OKAY I'M GAY. HURRAAAAAY 

[8.1.2021 | 23:33:49] [Anika1258]: witajcie 

[8.1.2021 | 23:56:25] [Trash]: Hej hej 

[9.1.2021 | 14:58:28] [ωαsαbι]: Hej 

[9.1.2021 | 15:53:40] [-Saki-]: HEY HEY HEEY 

[9.1.2021 | 15:53:42] [-Saki-]: Jak tam u was? 

[9.1.2021 | 19:26:23] [Jeff The Killer]: Nawet dobrze, a u cb??? 

[10.1.2021 | 12:22:59] [🖤Maxim Jestem🖤]: miau 

[10.1.2021 | 14:42:36] [Glokaczka którą chcesz polizac]: Kici kici 

[10.1.2021 | 14:43:41] [Glokaczka którą chcesz polizac]: Mial mial 

[10.1.2021 | 14:44:30] [Glokaczka którą chcesz polizac]: Kot sje od tej piosenki zesral 

[10.1.2021 | 14:45:36] [Glokaczka którą chcesz polizac]: 😽 

[10.1.2021 | 14:48:57] [Trash]: Co kurwa? 

[10.1.2021 | 14:56:59] [AlAsToR]: Właściwie to powinno być co kurwa?! hahaha! 

[10.1.2021 | 14:57:11] [AlAsToR]: Inside of Every Demon is a 

[10.1.2021 | 14:57:18] [AlAsToR]: LoSt CaUsE 

[10.1.2021 | 14:58:9] [AlAsToR]: Co ja robię ze swoim życiem... 

[10.1.2021 | 14:58:31] [AlAsToR]: Ale i tak go już nie mam! Hahaha! 

[10.1.2021 | 14:59:31] [AlAsToR]: Dobra nie kurwa 

[10.1.2021 | 15:0:54] [Trash]: Grh 

[11.1.2021 | 11:28:13] [Ji]: hej 

[11.1.2021 | 11:31:36] [Glokaczka którą chcesz polizac]: Mmmartwo 

[11.1.2021 | 11:31:44] [Glokaczka którą chcesz polizac]: Mmmmmartwy ja tezz 

[11.1.2021 | 11:34:53] [Ji]: xo 

[11.1.2021 | 12:58:45] [Dooru Oikawa]: Przewodnicząca xD 

[11.1.2021 | 12:58:52] [Dooru Oikawa]: A Twoja? 

[11.1.2021 | 12:59:1] [Trash]: Inside of Every Demon is a Lost Cause 

[11.1.2021 | 12:59:14] [Dooru Oikawa]: <:emoji_3:779301261949534208> 

[11.1.2021 | 12:59:17] [Trash]: Karciana buła 🃏🍔
Da Ci pióra 📭🕊️ 

[11.1.2021 | 13:31:50] [Mikrofala Samsung]: Runa chyba 

[11.1.2021 | 13:36:40] [Trash]: Zna tu ktoś hazbin hotel lub helluva boss ????? 

[11.1.2021 | 13:36:59] [Szu]: Tak 

[11.1.2021 | 13:37:8] [Trash]: 'claim 72 

[11.1.2021 | 13:37:39] [Trash]: O dziemki <@571027211407196161> 

[11.1.2021 | 13:37:48] [Trash]: O lol podziękowałam b<@571027211407196161> 

[11.1.2021 | 13:38:14] [Trash]: Dziemki że mi przypomniałaś 

[11.1.2021 | 13:39:59] [Trash]: <@571027211407196161> 

[11.1.2021 | 13:40:4] [Trash]: Inside of Every Demon is a Lost Cause 

[11.1.2021 | 13:43:37] [Trash]: Inside of Every Demon is a Krzaki 

[11.1.2021 | 19:10:26] [Chuuya]: JEBAC ERENA I TWITTERA 

[11.1.2021 | 19:10:30] [Chuuya]: pis tez jebac 

[11.1.2021 | 19:10:38] [Kara]: Ok 

[11.1.2021 | 19:10:48] [Chuuya]: ZOBACZYLAM SPOILERA Z TYTANUW 

[11.1.2021 | 19:10:56] [Chuuya]: I NAWET NIE BYLO ZAZNACZONE ZE TO SPOILER 

[11.1.2021 | 19:11:5] [Kara]: Mój brat dużo przeczytał 

[11.1.2021 | 19:11:11] [Kara]: Znaczy nie 

[11.1.2021 | 19:11:13] [Kara]: Oglądał 

[11.1.2021 | 19:11:16] [Kara]: Wsm 

[11.1.2021 | 19:11:29] [Chuuya]: ALE KURWA KTOS NA TWITTERZE DOSLOWNIE WSTAWIL KONCUWKE Z MANGI I NIE NAPISAL ZE TO SPOILER 

[11.1.2021 | 19:11:30] [Kara]: W semsie zaspoilerowal dużo 

[11.1.2021 | 19:11:36] [Chuuya]: SGDUYDSCS 

[11.1.2021 | 19:11:38] [Chuuya]: ZAJEBIE SIE 

[11.1.2021 | 19:11:40] [Kara]: Zjeb 

[11.1.2021 | 19:11:47] [Chuuya]: NOKURWAXXXDHYFEYGUDSZYGEDS 

[11.1.2021 | 19:12:9] [Kara]: A ja mam głupawkę 

[11.1.2021 | 19:12:19] [Chuuya]: I JESZCZE NAPISAL CO DOSLOWNIE SIE STALO BO GDYBY NIE TO, TO JA DEBIL BYM NIE ZROZUMIALA BO TO PO ANGIELSKU JAPIERDOLE XSYGYTSDYWDYDS 

[11.1.2021 | 19:12:22] [Chuuya]: CO CI??? 

[11.1.2021 | 19:12:43] [Kara]: Nic tylko się śmieje jak głupia z żadnego powodu 

[11.1.2021 | 19:12:47] [Kara]: Tak po prostu 

[11.1.2021 | 19:12:49] [Chuuya]: XSDDS 

[11.1.2021 | 19:12:52] [Chuuya]: FAJNIE  MASZ 

[11.1.2021 | 19:14:45] [Kara]: O EREH 

[11.1.2021 | 19:14:47] [Kara]: KIRI MA FETYSZ SZYJI NAEGITO 

[11.1.2021 | 19:16:25] [Chuuya]: CO 

[11.1.2021 | 19:16:28] [Chuuya]: UEDOHJXNJWED 

[11.1.2021 | 19:16:29] [Chuuya]: ERE 

[11.1.2021 | 19:16:30] [Chuuya]: ERE 

[11.1.2021 | 19:16:32] [Chuuya]: ERĘĘĘĘĘĘĘĘĘĘĘE 

[11.1.2021 | 19:16:33] [Chuuya]: EREH 

[11.1.2021 | 19:18:8] [Kara]: 'claim 72 

[11.1.2021 | 19:18:21] [Kara]: Przeczytałam Kageyama 

[11.1.2021 | 19:18:28] [Kara]: 'claim 50 

[11.1.2021 | 19:19:26] [Chuuya]: BOKE HINATA BOKE 

[11.1.2021 | 19:20:33] [Kara]: Narazie mi siem nie chce oglomdać 

[11.1.2021 | 19:21:20] [Kara]: Ogólnie teraz Nagito jest na 2 miejscu w liście o husbando 

