[15.1.2021 | 13:45:32] [Ayako Mashine]: .bal 

[15.1.2021 | 13:45:42] [Ayako Mashine]: .with 1000 

[15.1.2021 | 13:45:51] [Ayako Mashine]: .bj 500 

[15.1.2021 | 13:45:56] [Ayako Mashine]: Hit 

[15.1.2021 | 13:45:59] [Ayako Mashine]: Meh 

[15.1.2021 | 13:46:3] [Ayako Mashine]: .bj 500 

[15.1.2021 | 13:46:6] [Ayako Mashine]: Stand 

[15.1.2021 | 13:46:12] [Ayako Mashine]: .bj 100 

[15.1.2021 | 13:46:16] [Ayako Mashine]: Hit 

[15.1.2021 | 13:46:28] [Ayako Mashine]: .bj 200 

[15.1.2021 | 13:46:32] [Ayako Mashine]: Stand 

[15.1.2021 | 13:46:37] [Ayako Mashine]: .dep all 

[15.1.2021 | 13:46:46] [Ayako Mashine]: .with 2000 

[15.1.2021 | 13:46:50] [Ayako Mashine]: .roulette all red 

[15.1.2021 | 13:47:26] [Ayako Mashine]: .dep all 

[15.1.2021 | 15:30:21] [fockus17]: 'claim 49 

