[7.1.2021 | 18:3:0] [fockus17]: $ha 

[7.1.2021 | 18:3:1] [fockus17]: $ha 

[7.1.2021 | 18:3:2] [fockus17]: $ha 

[7.1.2021 | 18:3:6] [fockus17]: $ha 

[7.1.2021 | 18:3:7] [fockus17]: $ha 

[7.1.2021 | 18:3:9] [fockus17]: $ha 

[7.1.2021 | 18:3:10] [fockus17]: $ha 

[7.1.2021 | 18:3:12] [fockus17]: $ha 

[7.1.2021 | 18:3:13] [fockus17]: $ha 

[7.1.2021 | 18:3:16] [fockus17]: $ha 

[7.1.2021 | 18:3:18] [fockus17]: $ha 

[7.1.2021 | 18:3:20] [Mangoludek]: $wa 

[7.1.2021 | 18:3:26] [Mangoludek]: $wa 

[7.1.2021 | 18:3:29] [Mangoludek]: $wa 

[7.1.2021 | 18:3:31] [Mangoludek]: $wa 

[7.1.2021 | 18:3:34] [Mangoludek]: $wa 

[7.1.2021 | 18:3:37] [Mangoludek]: $wa 

[7.1.2021 | 18:3:39] [Mangoludek]: $wa 

[7.1.2021 | 18:3:41] [Mangoludek]: $wa 

[7.1.2021 | 18:3:43] [Mangoludek]: $wa 

[7.1.2021 | 18:3:50] [Mangoludek]: $wa 

[7.1.2021 | 18:5:6] [Mangoludek]: $im Merry (MGE) 

[7.1.2021 | 18:9:47] [fockus17]: $ha 

[7.1.2021 | 18:11:11] [Kara Chan]: $m 

[7.1.2021 | 18:11:14] [Kara Chan]: $m 

[7.1.2021 | 18:11:27] [Kara Chan]: $im Komaeda Nagito 

[7.1.2021 | 18:11:48] [Kara Chan]: Komaydaydayday's lie 

[7.1.2021 | 18:12:33] [Kara Chan]: $m 

[7.1.2021 | 18:12:36] [Kara Chan]: $m 

[7.1.2021 | 18:12:43] [Kara Chan]: $m 

[7.1.2021 | 18:12:46] [Kara Chan]: $k 

[7.1.2021 | 18:12:50] [Kara Chan]: $m 

[7.1.2021 | 18:12:54] [Kara Chan]: $m 

[7.1.2021 | 18:12:56] [Kara Chan]: $? 

[7.1.2021 | 18:12:59] [Kara Chan]: $m 

[7.1.2021 | 18:13:2] [Kara Chan]: Dm 

[7.1.2021 | 18:13:5] [Kara Chan]: $m 

[7.1.2021 | 18:13:13] [Kara Chan]: $m 

[7.1.2021 | 18:14:22] [Kara Chan]: .user <@791310078690983946> 

[7.1.2021 | 18:14:44] [Kara Chan]: 5 dni 

[7.1.2021 | 18:14:47] [Kara Chan]: Yessshaha 

[7.1.2021 | 18:14:49] [Kara Chan]: Jshdhsg 

[7.1.2021 | 18:15:10] [Kara Chan]: 'Claim 29 

[7.1.2021 | 18:15:16] [Kara Chan]: 'Claim 25 

[7.1.2021 | 19:1:3] [Mangoludek]: $wa 

[7.1.2021 | 19:1:5] [Mangoludek]: $wa 

[7.1.2021 | 19:1:7] [Mangoludek]: $wa 

[7.1.2021 | 19:1:9] [Mangoludek]: $wa 

[7.1.2021 | 19:1:19] [Mangoludek]: $wa 

[7.1.2021 | 19:1:21] [Mangoludek]: $wa 

[7.1.2021 | 19:1:23] [Mangoludek]: $wa 

[7.1.2021 | 19:1:25] [Mangoludek]: $wa 

[7.1.2021 | 19:1:28] [Mangoludek]: $wa 

[7.1.2021 | 19:1:29] [Mangoludek]: $wa 

[7.1.2021 | 19:1:35] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:37] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:38] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:41] [Izumi Midori]: $mg 

