[10.1.2021 | 14:52:4] [Trash]: <@498933764500619266> 

[11.1.2021 | 13:40:32] [Trash]: <@571027211407196161> 

[14.1.2021 | 14:7:28] [VagiieZumii]: <@498933764500619266> 

[14.1.2021 | 14:7:30] [VagiieZumii]: <@604020018400854056> 

[14.1.2021 | 14:7:37] [VagiieZumii]: Ajem kiri v2 

[14.1.2021 | 14:7:59] [VagiieZumii]: <@791310078690983946> 

[14.1.2021 | 14:8:5] [VagiieZumii]: 'claim 27 

[14.1.2021 | 14:8:25] [VagiieZumii]: Teraz mogę na każdym koncie przechytrzyłam Cię anigame hEhEhEhE 

[25.1.2021 | 17:43:34] [fockus17]: <@498933764500619266> 

[25.1.2021 | 17:43:50] [fockus17]: Weź daj jakie są spojlery o aot 

[25.1.2021 | 17:43:53] [fockus17]: <@498933764500619266> 

