[10.1.2021 | 14:59:45] [Applepi]: $ma 

[10.1.2021 | 14:59:47] [Applepi]: $ma 

[10.1.2021 | 14:59:51] [Applepi]: $ma 

[10.1.2021 | 14:59:53] [Applepi]: $ma 

[10.1.2021 | 14:59:55] [Applepi]: $ma 

[10.1.2021 | 14:59:57] [Applepi]: $ma 

[10.1.2021 | 14:59:59] [Applepi]: $ma 

[10.1.2021 | 15:0:2] [Applepi]: $ma 

[10.1.2021 | 15:0:5] [Applepi]: $ma 

[10.1.2021 | 15:0:6] [Applepi]: $ma 

[19.1.2021 | 19:45:20] [Applepi]: !avatar 

[26.1.2021 | 12:49:31] [Applepi]: !avatar 

[27.1.2021 | 15:2:16] [Applepi]: ~~chuj~~ 

[27.1.2021 | 21:32:31] [Applepi]: !avatar 

[28.1.2021 | 12:21:16] [Applepi]: $ma 

[28.1.2021 | 12:21:21] [Applepi]: $ma 

[28.1.2021 | 12:21:24] [Applepi]: $ma 

[28.1.2021 | 12:21:26] [Applepi]: $ma 

[28.1.2021 | 12:21:28] [Applepi]: $ma 

[28.1.2021 | 12:21:32] [Applepi]: $ma 

[28.1.2021 | 12:21:34] [Applepi]: $ma 

[28.1.2021 | 12:21:36] [Applepi]: $ma 

[28.1.2021 | 12:21:39] [Applepi]: $ma 

[28.1.2021 | 12:21:42] [Applepi]: $ma 

