[8.1.2021 | 22:16:3][Trash]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/797212042854924298/20210108_140159.jpg] 

[10.1.2021 | 21:13:26][Trash]: japierdole zmieniłam se wcześniej tapetę i zapomniałam o niej i kurwa zawał miałam [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/797921057184415745/Screenshot_2021-01-10-22-06-10-091_com.miui.home.jpg] 

[10.1.2021 | 21:13:58] [Trash]: (ps mam popierdolony czas w telefonie) 

[11.1.2021 | 18:9:17][Kara]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/798237106262376459/Screenshot_2021-01-11-19-02-58-446_com.miui.home.jpg] 

[11.1.2021 | 18:9:22] [Kara]: Teraz lepsza 

[14.1.2021 | 14:5:28][VagiieZumii]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/799262915881730068/IMG_20210114_134946.jpg] 

[14.1.2021 | 14:5:47] [VagiieZumii]: Robię jakieś gowno bo tak hehahehihahihehehahihahi 

[21.1.2021 | 10:3:25] [MrsPotato aka StachuDżons]: pikselowe koniki shshshshhsshshshshshs 

[21.1.2021 | 10:3:39][MrsPotato aka StachuDżons]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/801738773544042506/StarStable_2020-11-14_17-44-09.png] 

[21.1.2021 | 21:56:34][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/801918175939264522/Untitled295_20210121224950.png] 

[21.1.2021 | 21:58:19] [KiritikaKoizumi]: Ogólnie to: Dałam do ciała Erena głowę Historii, dałam do ciała Historii głowę Erena, zrobiłam z Jeana konia chociaż nim jest a Eren go ujeżdża, potem to samo tyle że dałam ryj Gundhama, potem to samo tyle że dodałam mu łzy. c: 

[25.1.2021 | 13:23:45][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/803238679908843571/Screenshot_2021-01-24-18-35-15-042_com.google.android.youtube.jpg] 

[26.1.2021 | 15:2:20][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/803625875031588925/Screenshot_2021-01-25-16-09-49-672_com.google.android.youtube.jpg] 

[26.1.2021 | 15:11:38][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/803628219865497680/Untitled298_20210125221130.png] 

[26.1.2021 | 15:11:49] [KiritikaKoizumi]: Onie zapomniałam że istnieje taki kanał jak zdjęcia anime 

[27.1.2021 | 22:8:28][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/780007117490749481/804095497526706226/IMG_20210127_202652.jpg] 

