[7.1.2021 | 18:13:29] [Kara Chan]: 'claim 18 

[7.1.2021 | 18:13:34] [Kara Chan]: .work 

[7.1.2021 | 18:13:37] [Kara Chan]: .slut 

[7.1.2021 | 18:13:40] [Kara Chan]: . crime 

[7.1.2021 | 18:13:47] [Kara Chan]: .dep all 

[7.1.2021 | 18:13:51] [Kara Chan]: .bal 

[8.1.2021 | 12:51:31] [Kara Chan]: .work 

[8.1.2021 | 12:51:34] [Kara Chan]: .slut 

[8.1.2021 | 12:51:38] [Kara Chan]: .crime 

[8.1.2021 | 12:51:43] [Kara Chan]: .dep all 

[8.1.2021 | 12:51:50] [Kara Chan]: .bal 

[8.1.2021 | 20:19:8] [Trash]: . work 

[8.1.2021 | 20:19:10] [Trash]: .slut 

[8.1.2021 | 20:19:14] [Trash]: . crime 

[8.1.2021 | 20:19:16] [Trash]: .dep all 

[8.1.2021 | 20:19:19] [Trash]: .bal 

[8.1.2021 | 20:19:22] [Trash]: Yesyeyey 

[8.1.2021 | 22:14:27] [Trash]: .work 

[8.1.2021 | 22:14:31] [Trash]: .slut 

[8.1.2021 | 22:14:33] [Trash]: .crime 

[8.1.2021 | 22:14:39] [Trash]: Uh 

[8.1.2021 | 22:14:41] [Trash]: Co- 

[8.1.2021 | 22:14:44] [Trash]: <@498933764500619266> 

[8.1.2021 | 22:14:52] [Trash]: Jestem Kiri a.k.a Katie Kill- 

[8.1.2021 | 22:14:59] [Trash]: Teraz to Celes brhr 

[8.1.2021 | 23:3:11] [Trash]: .work 

[8.1.2021 | 23:3:16] [Trash]: .slut 

[8.1.2021 | 23:3:20] [Trash]: .crime 

[8.1.2021 | 23:3:23] [Trash]: .dep all 

[8.1.2021 | 23:3:29] [Trash]: A spierdalaj 

[8.1.2021 | 23:3:30] [Trash]: Zjeb 

[8.1.2021 | 23:3:34] [Trash]: .bal 

[8.1.2021 | 23:3:38] [Trash]: Pfh 

[8.1.2021 | 23:3:42] [Trash]: Zjebaniec 

[8.1.2021 | 23:3:53] [Trash]: Teraz to Tokomaru 

[8.1.2021 | 23:57:37] [Trash]: .work 

[8.1.2021 | 23:57:38] [Trash]: .slut 

[8.1.2021 | 23:57:41] [Trash]: . crime 

[8.1.2021 | 23:57:45] [Trash]: Hsusia 

[8.1.2021 | 23:57:49] [Trash]: Akoasysgvebwb 

[8.1.2021 | 23:57:53] [Trash]: JUNKO FUCKING ENOSHIMA 

[8.1.2021 | 23:58:0] [Trash]: .bal 

[8.1.2021 | 23:58:21] [Trash]: .with all 

[8.1.2021 | 23:58:27] [Trash]: .bal 

[8.1.2021 | 23:58:30] [Trash]: .dep all 

[8.1.2021 | 23:58:35] [Trash]: .bal 

[9.1.2021 | 17:57:30] [Trash]: .work 

[9.1.2021 | 17:57:41] [Trash]: . slut 

[9.1.2021 | 17:57:43] [Trash]: .crime 

[9.1.2021 | 17:57:48] [Trash]: . dep all 

[9.1.2021 | 17:57:53] [Trash]: .bal 

[10.1.2021 | 14:44:56] [Trash]: .work 

[10.1.2021 | 14:44:58] [Trash]: .slut 

[10.1.2021 | 14:45:1] [Trash]: .crime 

[10.1.2021 | 14:45:19] [Trash]: A zamknij ryj zjebie 

[10.1.2021 | 14:45:26] [Trash]: .bal 

[10.1.2021 | 14:45:32] [Trash]: Oh 

[10.1.2021 | 14:45:35] [Trash]: .with all 

[10.1.2021 | 14:45:38] [Trash]: .dep all 

[10.1.2021 | 14:45:40] [Trash]: .bal 

[10.1.2021 | 14:45:45] [Trash]: Czemu ja tak zawsze robei 

[10.1.2021 | 19:23:37] [fockus17]: .slut 

[10.1.2021 | 19:23:39] [fockus17]: .crime 

[10.1.2021 | 19:23:41] [fockus17]: .work 

[10.1.2021 | 19:23:44] [fockus17]: .dep all 

[10.1.2021 | 20:56:43] [fockus17]: .slut 

[10.1.2021 | 20:56:46] [fockus17]: .crime 

[10.1.2021 | 20:56:47] [fockus17]: .work 

[10.1.2021 | 20:56:50] [fockus17]: .dep all 

[10.1.2021 | 22:5:49] [Trash]: .work 

[10.1.2021 | 22:5:52] [Trash]: .slut 

[10.1.2021 | 22:5:55] [Trash]: .crime 

[10.1.2021 | 22:5:58] [Trash]: .dep all 

[10.1.2021 | 22:6:2] [Trash]: A zjeb 

[10.1.2021 | 22:6:4] [Trash]: Zjeb 

[10.1.2021 | 22:6:33] [Trash]: Zjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjeb 

