[9.1.2021 | 22:17:58] [DoctorToxic]: "Don't want no short dick man" 

[13.1.2021 | 21:51:28][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766094969831434/799017798898417704/unknown.png] 

[13.1.2021 | 21:51:30] [cheeto pizzerini]: um 

[13.1.2021 | 22:11:49] [krasnal ogrodowy niko]: Kto to xD 

[13.1.2021 | 22:24:46] [piołun]: No borys nie widzisz 

[13.1.2021 | 22:32:11] [cheeto pizzerini]: no kurde nie wiem 

[16.1.2021 | 15:51:6] [cheeto pizzerini]: Obydwoma 

[22.1.2021 | 18:9:18][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766094969831434/802223380458897458/Screenshot_20210122-180830_Discord.jpg] 

[22.1.2021 | 18:9:30] [cheeto pizzerini]: ?¿?¿ 

[24.1.2021 | 22:42:19][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766094969831434/803016867982999602/Screenshot_20210124_224145.jpg] 

[24.1.2021 | 22:42:26] [DoctorToxic]: Me - 2021 

[26.1.2021 | 20:55:20][Last Rose Sneep]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766094969831434/803714715167490138/FB_IMG_1609945454304.jpg] 

[26.1.2021 | 22:5:3][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766094969831434/803732259639263282/IMG_20210126_220448.jpg] 

