[27.1.2021 | 18:7:29] [just Niko.™]: Cześć 

[27.1.2021 | 18:7:45] [just Niko.™]: XDDD 

[27.1.2021 | 18:7:59] [just Niko.™]: I ty mi mówisz że Ty masz damski głos >:( 

[27.1.2021 | 18:8:29] [just Niko.™]: Niee 

[27.1.2021 | 18:8:31] [just Niko.™]: Znaczy wiesz 

[27.1.2021 | 18:8:37] [just Niko.™]: Nie wiem jak brzmi twoja matka xD 

[27.1.2021 | 18:8:44] [🅼🅸🅺]: Hm 

[27.1.2021 | 18:8:48] [Lyfier]: a no racja xD 

[27.1.2021 | 18:8:52] [just Niko.™]: XD 

[27.1.2021 | 18:9:31] [just Niko.™]: Marcel 

[27.1.2021 | 18:9:35] [just Niko.™]: Powiedz coś 

[27.1.2021 | 18:9:35] [🅼🅸🅺]: Ja 

[27.1.2021 | 18:9:39] [just Niko.™]: XDDDDD 

[27.1.2021 | 18:9:42] [Lyfier]: XD 

[27.1.2021 | 18:9:50] [Lyfier]: jaka cisza 

[27.1.2021 | 18:10:16] [🅼🅸🅺]: Ma powiedziałem 

[27.1.2021 | 18:10:23] [just Niko.™]: 0.0 

[27.1.2021 | 18:10:26] [just Niko.™]: Ale męsko 

[27.1.2021 | 18:10:36] [just Niko.™]: Nie nie odezwę się 

[27.1.2021 | 18:10:52] [just Niko.™]: 3 

[27.1.2021 | 18:10:55] [just Niko.™]: 2 

[27.1.2021 | 18:10:58] [just Niko.™]: 1 

[27.1.2021 | 18:11:0] [🅼🅸🅺]: 0 

[27.1.2021 | 18:11:0] [just Niko.™]: 0 

[27.1.2021 | 18:11:4] [🅼🅸🅺]: Nowy rok 

[27.1.2021 | 18:11:4] [just Niko.™]: -1 

[27.1.2021 | 18:11:38] [just Niko.™]: :((((( 

[27.1.2021 | 18:11:49] [just Niko.™]: Traumę mam się nie dziw 

[27.1.2021 | 18:12:12] [just Niko.™]: Ale maExcel 

[27.1.2021 | 18:12:16] [just Niko.™]: Kurwa marcel 

[27.1.2021 | 18:12:59] [just Niko.™]: No odezwałem się no :( 

[27.1.2021 | 18:13:16] [🅼🅸🅺]: Nie wyzywaj 3: 

[27.1.2021 | 18:14:47] [just Niko.™]: Boję się no :(((( 

[27.1.2021 | 18:14:47] [🅼🅸🅺]: Znikam 

[27.1.2021 | 18:14:52] [Lyfier]: bye bye 

[27.1.2021 | 18:14:58] [just Niko.™]: Paap 

[27.1.2021 | 18:15:15] [just Niko.™]: turururururur 

[27.1.2021 | 18:15:34] [just Niko.™]: rusz się leniuu 

[27.1.2021 | 18:15:40] [just Niko.™]: IDŹ 

[27.1.2021 | 18:17:42] [just Niko.™]: :OOOOOO 

[27.1.2021 | 18:17:53] [just Niko.™]: Ale ładnie 

[27.1.2021 | 18:18:31] [just Niko.™]: Ukulele brzmi Tak uroooczoi 

[27.1.2021 | 18:18:45] [just Niko.™]: A pianino Tak masywnie 

[27.1.2021 | 18:20:30] [just Niko.™]: Nom w sumie 

[27.1.2021 | 18:20:39] [just Niko.™]: Jakby co to ja cały czas jestem 

[27.1.2021 | 18:20:52] [just Niko.™]: But wchodzę telefonem brata żeby słyszeć lepiej, a swoim żeby móc mówić xD 

[27.1.2021 | 18:21:57] [just Niko.™]: :( 

[27.1.2021 | 18:22:15] [Lyfier]: nie smutaj 

[27.1.2021 | 18:22:20] [just Niko.™]: :(((( 

[27.1.2021 | 18:22:29] [Lyfier]: :(((((((( 

[27.1.2021 | 18:22:31] [just Niko.™]: :,,,( 

[27.1.2021 | 18:22:36] [Lyfier]: :C 

[27.1.2021 | 18:22:49] [just Niko.™]: Zatkał Cię mój menski głos 

[27.1.2021 | 18:23:13] [Lyfier]: zaskoczyłeś mnie mensko menski menszczyzno 

[27.1.2021 | 18:23:21] [just Niko.™]: Ale ty coś mów no 

[27.1.2021 | 18:23:26] [just Niko.™]: Bo tak to sensu nie ma xD 

[27.1.2021 | 18:23:40] [just Niko.™]: Tak 

[27.1.2021 | 18:23:48] [just Niko.™]: ☺️ 

[27.1.2021 | 18:24:25] [just Niko.™]: No kiedyś Tak 

[27.1.2021 | 18:24:37] [just Niko.™]: Na pogrzebie Ci zagram 

[27.1.2021 | 18:24:42] [just Niko.™]: :D 

[27.1.2021 | 18:24:53] [just Niko.™]: A ja mam pytanie 

[27.1.2021 | 18:25:5] [just Niko.™]: Jaką piosenkę chciałbyś żeby grała Ci na pogrzebie 

[27.1.2021 | 18:25:18] [just Niko.™]: Ja chce stayin alive 

[27.1.2021 | 18:25:32] [just Niko.™]: Znasz tooo 

[27.1.2021 | 18:25:41] [just Niko.™]: Tak 

[27.1.2021 | 18:25:50] [just Niko.™]: IM STAYIN ALIVEEEEEEE 

[27.1.2021 | 18:27:22] [just Niko.™]: Ja też 

[27.1.2021 | 18:27:56] [just Niko.™]: Odezwę się jak nie będziesz mówił mi że mam damski :( 

[27.1.2021 | 18:28:1] [just Niko.™]: XDD 

[27.1.2021 | 18:29:10] [just Niko.™]: Ja tak przerywanie będę robić 

[27.1.2021 | 18:29:11] [just Niko.™]: Że raz Tak raz Tak 

[27.1.2021 | 18:30:52] [just Niko.™]: A Ty 

[27.1.2021 | 18:30:58] [just Niko.™]: ALE FAJNIE 

[27.1.2021 | 18:31:4] [just Niko.™]: JA TEŻ TAK CHCE 

[27.1.2021 | 18:31:11] [just Niko.™]: XD 

[27.1.2021 | 18:31:22] [just Niko.™]: A to ja kiedyś szedłem i patrzyłem na telefon 

[27.1.2021 | 18:31:36] [just Niko.™]: A koło biedronki jest taka jakby blacha 

[27.1.2021 | 18:32:2] [just Niko.™]: No i jebnąłem głową w ta blachę :D 

[27.1.2021 | 18:32:10] [just Niko.™]: Tak 

[27.1.2021 | 18:32:21] [just Niko.™]: XDDD 

[27.1.2021 | 18:32:23] [just Niko.™]: TAK 

[27.1.2021 | 18:32:32] [just Niko.™]: nikozus 

[27.1.2021 | 18:32:37] [just Niko.™]: Nikos chrystos 

[27.1.2021 | 18:32:46] [just Niko.™]: XD 

[27.1.2021 | 18:33:11] [just Niko.™]: Będę bogieemm ofiar losu 

[27.1.2021 | 18:33:27] [just Niko.™]: XDDD 

[27.1.2021 | 18:33:31] [just Niko.™]: TAK 

[27.1.2021 | 18:33:45] [just Niko.™]: jak Ci idzie graniee 

[27.1.2021 | 18:34:10] [just Niko.™]: XDD 

[27.1.2021 | 18:34:24] [just Niko.™]: Złamałbyś zasadę 

[27.1.2021 | 18:34:31] [just Niko.™]: XD 

[27.1.2021 | 18:34:36] [just Niko.™]: Jezu ZABILI MNIE 

[27.1.2021 | 18:34:42] [just Niko.™]: W grze 

[27.1.2021 | 18:34:57] [just Niko.™]: Ale nieeee 

[27.1.2021 | 18:35:2] [just Niko.™]: Mózgu 

[27.1.2021 | 18:35:4] [just Niko.™]: Że Ty tak 

[27.1.2021 | 18:35:7] [just Niko.™]: W bibliotece 

[27.1.2021 | 18:35:19] [just Niko.™]: Lidze: czytają se 

[27.1.2021 | 18:35:33] [just Niko.™]: Wiku: ZABILI MNIE w grze 

[27.1.2021 | 18:45:30] [just Niko.™]: https://youtu.be/mn61KTpDSo0 

[27.1.2021 | 18:49:33] [just Niko.™]: Oglądasz dalej? XD 

[27.1.2021 | 18:49:42] [Lyfier]: nom 

[27.1.2021 | 18:49:45] [just Niko.™]: Hmm 

[27.1.2021 | 18:49:50] [just Niko.™]: Ej to później obejrzyj 

[27.1.2021 | 18:50:2] [Lyfier]: Okejka 

[27.1.2021 | 18:50:11] [just Niko.™]: Teraz se gadajmy 

[27.1.2021 | 18:56:5] [just Niko.™]: ścięło mi się 

[27.1.2021 | 18:56:16] [Lyfier]: uhum 

[27.1.2021 | 18:56:26] [just Niko.™]: Chodziłeś kiedyś na jakieś zajęcia? 

[27.1.2021 | 19:0:27] [just Niko.™]: Czemu się wyciszyłeś :( 

[27.1.2021 | 19:0:45] [Lyfier]: próbuje sobie przypomnieć chwyty 

[27.1.2021 | 19:0:53] [just Niko.™]: Hmm 

[27.1.2021 | 19:0:55] [Lyfier]: to ci coś zagram 

[27.1.2021 | 19:1:0] [just Niko.™]: Yaaaas 

[27.1.2021 | 19:1:3] [just Niko.™]: :D 

[27.1.2021 | 19:1:50] [Lyfier]: :D 

[27.1.2021 | 19:4:26] [just Niko.™]: Ładnieeeee 

[27.1.2021 | 19:4:30] [just Niko.™]: Coś mi wcięło znowu 

[27.1.2021 | 19:4:50] [just Niko.™]: W sensie to jest ee 

[27.1.2021 | 19:4:51] [just Niko.™]: Operacja 

[27.1.2021 | 19:5:14] [just Niko.™]: Że mam obok tablet i jestem zalogowany na koncie maksa, z którego słucham bo tam jest lepszy dźwięk 

[27.1.2021 | 19:5:22] [just Niko.™]: :O 

[27.1.2021 | 19:5:23] [Lyfier]: o, okej 

[27.1.2021 | 19:8:11] [just Niko.™]: Co to za wyciszanie się 

[27.1.2021 | 19:8:14] [just Niko.™]: Nie ładnie 

[27.1.2021 | 19:8:16] [just Niko.™]: Ejejej 

[27.1.2021 | 19:9:21] [just Niko.™]: Sorki że wyszedłem 

[27.1.2021 | 19:9:24] [just Niko.™]: Ale babcia weszła 

[27.1.2021 | 19:9:28] [Lyfier]: luzik 

[27.1.2021 | 19:9:33] [just Niko.™]: Zaraz wrócę 

[27.1.2021 | 19:9:37] [Lyfier]: okk 

[27.1.2021 | 19:11:20] [just Niko.™]: Jestem juuuuz 

[27.1.2021 | 19:16:2] [just Niko.™]: Co się dzieje :O 

[27.1.2021 | 19:16:13] [just Niko.™]: W sensie 

[27.1.2021 | 19:16:17] [just Niko.™]: Ja też nie wiem 

[27.1.2021 | 19:16:23] [just Niko.™]: Co 

[27.1.2021 | 19:16:28] [just Niko.™]: 0.0 

[27.1.2021 | 19:16:36] [just Niko.™]: 0000.00000 

[27.1.2021 | 19:16:43] [just Niko.™]: Nic nic 

[27.1.2021 | 19:16:53] [just Niko.™]: Nieeee 

[27.1.2021 | 19:17:24] [just Niko.™]: 28 idę psa wpuścić 

[27.1.2021 | 19:17:55] [just Niko.™]: Wróciłem 

[27.1.2021 | 19:18:10] [just Niko.™]: oooooooo 

[27.1.2021 | 19:18:12] [just Niko.™]: Ale fajne 

[27.1.2021 | 19:18:29] [just Niko.™]: XD 

[27.1.2021 | 19:18:39] [just Niko.™]: co 

[27.1.2021 | 19:18:45] [just Niko.™]: KORONAWIRUS 

[27.1.2021 | 19:18:57] [just Niko.™]: Masz 5G w domu? 

[27.1.2021 | 19:19:14] [just Niko.™]: to dobrze nie przejdzie na mnie 

[27.1.2021 | 19:19:31] [just Niko.™]: nieeee 

[27.1.2021 | 19:19:43] [just Niko.™]: Thank god i'm ani atheist 

[27.1.2021 | 19:21:55] [just Niko.™]: XD 

[27.1.2021 | 19:23:0] [just Niko.™]: I'm PINK dabadeedabada 

[28.1.2021 | 19:1:44] [Lyfier]: Jak coś to czekam na Niko, żeby nie było xD 

[28.1.2021 | 19:2:30] [just Niko.™]: Cześć 

[28.1.2021 | 19:2:35] [just Niko.™]: A no nic 

[28.1.2021 | 19:2:41] [just Niko.™]: Nudy same 

[28.1.2021 | 19:2:50] [just Niko.™]: No 

[28.1.2021 | 19:3:0] [just Niko.™]: Gadam z tobą 

[28.1.2021 | 19:3:2] [just Niko.™]: :D 

[28.1.2021 | 19:3:17] [Lyfier]: :D ❤️ 

[28.1.2021 | 19:3:26] [just Niko.™]: Ja jestem człowiekiem chwili 

[28.1.2021 | 19:3:39] [just Niko.™]: Nie planuje bo jeszcze coś pierdolnie i nici z planów 

[28.1.2021 | 19:3:50] [just Niko.™]: No chce 

[28.1.2021 | 19:4:20] [just Niko.™]: A dobrze w sumie 

[28.1.2021 | 19:4:22] [just Niko.™]: Nie boli 

[28.1.2021 | 19:4:24] [just Niko.™]: Uwuuuu 

[28.1.2021 | 19:4:39] [just Niko.™]: Nom 

[28.1.2021 | 19:4:54] [just Niko.™]: Zjadłem kanapkę z masłem i żelkami dzisiaj xD 

[28.1.2021 | 19:5:3] [just Niko.™]: Bo mi julek zrobił i nie chciałem odmawiać 

[28.1.2021 | 19:5:13] [just Niko.™]: Wiem 

[28.1.2021 | 19:5:39] [just Niko.™]: 🪨 

[28.1.2021 | 19:5:53] [just Niko.™]: Brzydki ten kamień 

[28.1.2021 | 19:5:56] [just Niko.™]: Ja jestem ładniejszy 

[28.1.2021 | 19:6:30] [just Niko.™]: ;_; 

[28.1.2021 | 19:6:41] [just Niko.™]: Kto to był 

[28.1.2021 | 19:6:47] [just Niko.™]: Idk 

[28.1.2021 | 19:6:53] [just Niko.™]: Na wyższe tony wyszedłeś xD 

[28.1.2021 | 19:7:3] [just Niko.™]: Ej wpisz 

[28.1.2021 | 19:7:16] [just Niko.™]: Wpisz ładny kamień z rzeki 

[28.1.2021 | 19:7:44] [just Niko.™]: Wodospad=zajebisty kamień 

[28.1.2021 | 19:8:37] [just Niko.™]: Obiad 

[28.1.2021 | 19:8:56] [just Niko.™]: Chyba nie 

[28.1.2021 | 19:9:9] [just Niko.™]: Powiedział mi że się cofam bo fryzurę robiłem w grze 

[28.1.2021 | 19:10:7][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787809163794710558/804413011607289886/IMG20210128120339.jpg] 

[28.1.2021 | 19:10:26] [just Niko.™]: No 

[28.1.2021 | 19:20:17][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787809163794710558/804415569835065344/IMG20210128191912.jpg] 

[28.1.2021 | 19:25:47] [just Niko.™]: Noo 

[28.1.2021 | 19:25:57] [just Niko.™]: Ale dzisiaj gramy w gry 

[28.1.2021 | 19:26:4] [just Niko.™]: Tak 

[28.1.2021 | 19:29:44][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787809163794710558/804417947518107658/IMG20210128192841.jpg] 

[28.1.2021 | 19:31:48][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787809163794710558/804418466672672868/IMG20210128193041.jpg] 

[28.1.2021 | 19:33:34][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787809163794710558/804418915115335766/IMG20210128193227.jpg] 

[28.1.2021 | 19:35:34][just Niko.™]: undefined [Image Link:https://cdn.discordapp.com/attachments/787809163794710558/804419418582286426/IMG20210128193438.jpg] 

[28.1.2021 | 20:46:10] [just Niko.™]: XD 

[28.1.2021 | 20:58:40] [Deamovsky]: mikrofonu nie mam 

