[9.1.2021 | 22:50:26] [FiczetoX]: / 

[9.1.2021 | 22:50:39] [cheeto pizzerini]: już wiem\ 

[9.1.2021 | 22:50:49] [FiczetoX]: To dobrze 

[9.1.2021 | 23:17:29] [🅼🅸🅺]: Robie sobie przerwę jakby co 

[9.1.2021 | 23:18:6] [krasnal ogrodowy niko]: Oki 

[9.1.2021 | 23:19:3] [krasnal ogrodowy niko]: Też myślałem, żeby wziąć sobie przerwę, ale chyba nie ujedzie serwer jeśli to zrobię 

[9.1.2021 | 23:20:9] [🅼🅸🅺]: Nie mam już po prostu sił, to dlatego 

[9.1.2021 | 23:20:46] [emm]: Jeśli potrzebujecie przerwy to przecież ja jestem i reszta administracji 

[9.1.2021 | 23:21:2] [krasnal ogrodowy niko]: Nie wiem czy chce przerwy 

[10.1.2021 | 12:49:11] [DoctorToxic]: Amenp 

[10.1.2021 | 12:50:58] [FiczetoX]: Dorime 

[10.1.2021 | 12:52:40] [DoctorToxic]: Interimo ayapare dorime 

[10.1.2021 | 12:53:9] [FiczetoX]: Ameno 

[10.1.2021 | 12:53:48] [DoctorToxic]: Latire latiremo 

[10.1.2021 | 12:54:45] [FiczetoX]: Dori me 

[10.1.2021 | 12:55:38] [DoctorToxic]: aMeNo 

[10.1.2021 | 12:56:40] [FiczetoX]: Omerane imperavi, ameno 

[10.1.2021 | 12:57:6] [DoctorToxic]: Dimere dimere matiro 

[10.1.2021 | 12:57:16] [DoctorToxic]: Nie wiem czy się Niko nie wkurzy za spam XDDDD 

[10.1.2021 | 12:57:38] [FiczetoX]: Nie wiem 

[10.1.2021 | 12:58:11] [FiczetoX]: Matiremo, ameno 

[10.1.2021 | 13:27:17] [krasnal ogrodowy niko]: Wkurzył się 

[10.1.2021 | 13:27:32] [krasnal ogrodowy niko]: Oaza spokoju to mimo wszystko nie kanał na spam 

[11.1.2021 | 14:35:15] [FiczetoX]: <@697153934246150185> 
Co z tym wątkiem? 

[11.1.2021 | 14:35:23] [FiczetoX]: Bo trzeba go jakoś ogłosić 

[11.1.2021 | 14:35:30] [FiczetoX]: I ustawić to wszystko 

[11.1.2021 | 14:40:51] [krasnal ogrodowy niko]: To ty się zajmij tym 

[11.1.2021 | 14:40:56] [krasnal ogrodowy niko]: To był twój pomysł 

[11.1.2021 | 14:59:54] [FiczetoX]: Ale ja na nie mogę pisać na ogłoszeniach, a tak w ogóle to mógłbyś trochę pomóc, prawda? 

[12.1.2021 | 22:25:0] [krasnal ogrodowy niko]: <@691924849458806794> 

[12.1.2021 | 22:25:9] [krasnal ogrodowy niko]: Teraz mam odrobinę czasu 

[12.1.2021 | 22:25:19] [krasnal ogrodowy niko]: Jak chcesz żeby ten wątek przebiegł? 

[12.1.2021 | 23:1:25] [FiczetoX]: Nie wiem, zbierają się na placu i idą go szukać? 

[14.1.2021 | 23:26:52] [krasnal ogrodowy niko]: @everyone 

[14.1.2021 | 23:26:55] [krasnal ogrodowy niko]: Mam sprawę 

[14.1.2021 | 23:27:2] [krasnal ogrodowy niko]: Chce sobie wziąć ptzerwe 

[14.1.2021 | 23:27:12] [krasnal ogrodowy niko]: Tak, że w ogóle nie będę pisać 

[14.1.2021 | 23:28:31] [emm]: Spoko 

[14.1.2021 | 23:28:34] [emm]: Na luzie 

[14.1.2021 | 23:29:3] [krasnal ogrodowy niko]: Bo...pojawiły się pewne problemu w moim życiu, dość poważne, które mi średnio uniemożliwiają udzielanie się, a jednocześnie nie zarażanie innych moim humorem 

[14.1.2021 | 23:29:11] [krasnal ogrodowy niko]: Po prostu nie chce udawać, można tak to powiedzieć 

[14.1.2021 | 23:29:39] [krasnal ogrodowy niko]: Nie chce udawać cukierkowego chłoptasia 

[14.1.2021 | 23:29:45] [krasnal ogrodowy niko]: Którym teraz tak naprawdę nie jestem 

[14.1.2021 | 23:29:54] [krasnal ogrodowy niko]: Bo moje zdrowie ma się źle 

[14.1.2021 | 23:30:46] [tsuki]: Jasne, na luzie ^^ ważne byś się dobrze czuł 

[14.1.2021 | 23:30:53] [DoctorToxic]: Ok 

[14.1.2021 | 23:33:55] [krasnal ogrodowy niko]: I proszę żebyście raz za jakiś czas, jeśli nic nie będzie się ruszać, popisali coś na serwerze i rozruszyli towarzystwo 

[14.1.2021 | 23:39:15] [tsuki]: Wedle życzenia 

[14.1.2021 | 23:48:29] [FiczetoX]: Ok 

[15.1.2021 | 11:30:34] [krasnal ogrodowy niko]: Jesteś pewien że to nic nie zrobi mi z kompem? 

[15.1.2021 | 11:30:44] [krasnal ogrodowy niko]: <@691924849458806794> 

[15.1.2021 | 11:30:53] [FiczetoX]: Jestem pewien 

[15.1.2021 | 11:31:4] [FiczetoX]: Testowane 

[15.1.2021 | 11:31:22] [FiczetoX]: A serwer będzie aktywny za 96 min 

[15.1.2021 | 11:43:58] [krasnal ogrodowy niko]: Ale się to długo ładujeeee 

[15.1.2021 | 11:44:38] [FiczetoX]: Darmowy serwer, czego się spodziewałeś? 

[15.1.2021 | 11:45:11] [FiczetoX]: A zainstalowałeś już? 

[15.1.2021 | 12:29:57] [krasnal ogrodowy niko]: Przestań wiązać serwer ten z tym zakichanym omegaverse 

[15.1.2021 | 12:30:15] [krasnal ogrodowy niko]: Oni nawet współpracy z nami nie mają bo nie chcą 

