[14.1.2021 | 10:51:11] [ub.zuz]: **Pomysł**
Widok kanałów z kp dla osób bez KP, albo przynajmniej dodanie publicznego spisu postaci. Dzięki temu będzie można szybko zobaczyć, w której randze brakuje osób bez scrollowania przez cały kanał. 

[14.1.2021 | 10:54:0] [krasnal ogrodowy niko]: O dobry pomysł 

[15.1.2021 | 22:54:52][FiczetoX]: Propozycja:
Takie emoji [Image Link:https://cdn.discordapp.com/attachments/787810384043704330/799758532924014632/gunbipod.png] 

[15.1.2021 | 22:55:5] [krasnal ogrodowy niko]: Po co 

[15.1.2021 | 22:55:9] [krasnal ogrodowy niko]: Co by miała oznaczać? 

[15.1.2021 | 22:56:4] [FiczetoX]: No jak widać 

[15.1.2021 | 22:57:59] [krasnal ogrodowy niko]: No pistolet 

[15.1.2021 | 22:59:52] [FiczetoX]: Karabin 

[16.1.2021 | 18:4:30] [Deamovsky]: chce takie emoji to czemu nie a nie jak zwykle jakieś problemy macie 

[16.1.2021 | 18:5:6] [piołun]: No a czemu tak? To emoji nie byloby przydatne 

[16.1.2021 | 18:5:25] [Deamovsky]: no ale jak takie chce to czemu nie? w czym macie problem?? 

[16.1.2021 | 18:8:21] [piołun]: Bo moze daloby sie dac przydatniejsze emotki 

[16.1.2021 | 18:8:48] [Deamovsky]: np jakie? 

[16.1.2021 | 18:11:53] [krasnal ogrodowy niko]: Emoji ma pokazywać emocje, albo coś, czym można reagować 

[16.1.2021 | 18:12:10] [krasnal ogrodowy niko]: Pistolet nie jest za bardzo Emoji bo nic nie wskazuje 

[16.1.2021 | 18:57:55] [po prostu kaczka]: Tak 

[16.1.2021 | 19:18:1] [18seba03]: Jak dla mnie byłoby reakcją rozstrzelać komentarz na górze ale ok, przyznaje rację dla Deama że to czepianie się jest niepotrzebne 

[16.1.2021 | 19:18:51] [krasnal ogrodowy niko]: Po prostu chce uniknąć dodawania bezcelowych emotek 

[16.1.2021 | 20:21:16] [piołun]: Juz lepszy bylbt ten kotek z pistoletem z terry lol 

[16.1.2021 | 21:34:6] [po prostu kaczka]: Nom 

[26.1.2021 | 20:53:5] [Last Rose Sneep]: Emoji w stylu "jeszcze tylko raz" 

[26.1.2021 | 20:53:17] [Last Rose Sneep]: (I am speed 

[26.1.2021 | 20:54:10] [Last Rose Sneep]: ) 

[28.1.2021 | 10:29:36] [FiczetoX]: Czy postać z Chronokinezą (czas) albo Inokinezą (przestrzeń) była by już zbyt mocna? 

[28.1.2021 | 12:39:11] [just Niko.™]: Raczej by była już za mocna, bo mogłaby wpływać nq przestrzeń i czas dobrowolnie 

