[9.1.2021 | 20:2:19] [Kishunia]: Pora na tabletki. 

[9.1.2021 | 20:2:43][Kishunia]: Goodbye friends. [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/797540876469272666/nieznane.png] 

[9.1.2021 | 20:2:59] [cheeto pizzerini]: bye 

[9.1.2021 | 20:3:10] [cheeto pizzerini]: daj troche mi też 

[9.1.2021 | 20:3:23] [Kishunia]: Też masz schizofrenie? 

[9.1.2021 | 20:3:28] [cheeto pizzerini]: nie 

[9.1.2021 | 20:3:33] [Kishunia]: A to spierdalaj 

[9.1.2021 | 20:3:41] [cheeto pizzerini]: niemiłe 

[9.1.2021 | 21:26:19] [piołun]: POWIEDZCIE ZE JESTEM GRZECZNA SZYBKO 

[9.1.2021 | 21:26:35] [krasnal ogrodowy niko]: Jesteś grzeczna 

[9.1.2021 | 21:26:36] [cheeto pizzerini]: ||nie|| jesteś grzeczna 

[9.1.2021 | 21:26:47] [piołun]: dziewczyba nie xhce mnie wpuscic na grupke bo uwaza ze bede robic dramy :( 

[9.1.2021 | 21:26:59] [cheeto pizzerini]: jak chcesz to jestes grzeczna 

[9.1.2021 | 21:27:8] [piołun]: WLASNIE DOBRZE MOWI 

[9.1.2021 | 21:27:13] [🅼🅸🅺]: Cze 

[9.1.2021 | 21:27:33] [🅼🅸🅺]: Bogaty jestem +75k 

[9.1.2021 | 21:28:28] [piołun]: +75k do prestizu 

[9.1.2021 | 21:28:49] [🅼🅸🅺]: Jak tam telefon? 

[9.1.2021 | 21:32:23] [piołun]: Juz z internetem 

[9.1.2021 | 22:4:4] [krasnal ogrodowy niko]: Co robicie 

[9.1.2021 | 22:4:13] [krasnal ogrodowy niko]: Ja skończyłem torcik 

[9.1.2021 | 22:4:57] [krasnal ogrodowy niko]: KAROL MI GO WPIERDALA 

[9.1.2021 | 22:5:0] [krasnal ogrodowy niko]: KURWAAAAAA 

[9.1.2021 | 22:5:17] [krasnal ogrodowy niko]: Nie zrobię zdjęcia teraz >:( 

[9.1.2021 | 22:9:17] [DoctorToxic]: Myślę 

[9.1.2021 | 22:17:47] [cheeto pizzerini]: ja zjadła sobie bananowe brownie 

[9.1.2021 | 22:17:51] [cheeto pizzerini]: mój brat zrobił 

[9.1.2021 | 22:17:53] [cheeto pizzerini]: smaczne 

[9.1.2021 | 22:17:58] [cheeto pizzerini]: teraz jem sałatkę 

[9.1.2021 | 22:18:4] [cheeto pizzerini]: i popijam monsterkiem 

[9.1.2021 | 22:18:9] [krasnal ogrodowy niko]: Uu 

[9.1.2021 | 22:18:11] [krasnal ogrodowy niko]: Fajno 

[9.1.2021 | 22:18:21] [cheeto pizzerini]: no i serial oglądam 

[9.1.2021 | 22:19:22] [krasnal ogrodowy niko]: Brat się bał że spalę kuchnie 

[9.1.2021 | 22:19:30] [krasnal ogrodowy niko]: Ten starszy i ten młodszy 

[9.1.2021 | 22:20:48] [piołun]: Przytul julka 

[9.1.2021 | 22:24:48] [krasnal ogrodowy niko]: A no właśnie 

[9.1.2021 | 22:24:55] [krasnal ogrodowy niko]: Dzisiaj był wujek u nas 

[9.1.2021 | 22:25:58] [krasnal ogrodowy niko]: I chciał wziąć Julka na ręce, bo jest dość malutki i mi ledwo do połowy tułowia dostaje 

[9.1.2021 | 22:26:34] [krasnal ogrodowy niko]: A Julek coś w stylu 

[9.1.2021 | 22:27:18] [krasnal ogrodowy niko]: *ja chcę do Niko, on ładniej pachnie* 

[9.1.2021 | 22:27:30] [krasnal ogrodowy niko]: Dzieci mnie rozpierdalają 

[9.1.2021 | 22:47:36] [piołun]: Perfum o zapachu niko xd 

[9.1.2021 | 22:48:16] [piołun]: Ej jak sie sprawdza profilowe kogos xd 

[9.1.2021 | 22:48:28] [piołun]: Tak jak fiziek kiefys robik 

[9.1.2021 | 22:48:55] [cheeto pizzerini]: =avatar 

[9.1.2021 | 22:49:4] [cheeto pizzerini]: gejowy opos 

[9.1.2021 | 22:49:18] [Kishunia]: To się nazywa zew żula 

[9.1.2021 | 22:50:43] [piołun]: Dobra juz mam dzieki skrobis 

[9.1.2021 | 23:5:53] [DoctorToxic]: Me -*sole ser na kanapce*
Mama - co ty robisz 
Me - sole ser by był lepszy w smaku 

[9.1.2021 | 23:8:2] [piołun]: Ktos soli ser? 

[9.1.2021 | 23:8:29] [piołun]: Tak sie robi? Ser jem tylko w grzankach xd 

[9.1.2021 | 23:9:59] [DoctorToxic]: Ja sole xD 

[9.1.2021 | 23:10:6] [DoctorToxic]: Jakoś lepiej mi smakuje wtedy 

[9.1.2021 | 23:10:27] [piołun]: No to smacznego xd 

[9.1.2021 | 23:16:29] [piołun]: Jesli ten nowy to nie bot to 

[9.1.2021 | 23:16:31] [piołun]: Hej nowy 

[9.1.2021 | 23:16:37] [krasnal ogrodowy niko]: <@539904460311363584> witamy ^^ 

[9.1.2021 | 23:17:1] [piołun]: Ej lol 

[9.1.2021 | 23:17:8] [piołun]: Widzieliscie kiedys krojone masło? 

[9.1.2021 | 23:18:7] [emm]: Ja widziałem masło w kleju 

[9.1.2021 | 23:18:23] [piołun]: COOO 

[9.1.2021 | 23:18:27] [piołun]: GDZIE 

[9.1.2021 | 23:18:31] [piołun]: POTRZEBUJE TEGO 

[9.1.2021 | 23:18:34] [emm]: W internecie 

[9.1.2021 | 23:19:6] [piołun]: Ndhsj 

[9.1.2021 | 23:23:25] [DoctorToxic]: A jest takie 

[9.1.2021 | 23:23:29] [DoctorToxic]: Pamiętam xD 

[9.1.2021 | 23:23:35] [DoctorToxic]: To bardziej masło w tubce 

[9.1.2021 | 23:23:37] [DoctorToxic]: Niż w kleju 

[9.1.2021 | 23:24:2] [piołun]: Ej gdzie wy to nacie 

[9.1.2021 | 23:24:11] [piołun]: Ja znalazlam tylko maslo w sprayu 

