[17.1.2021 | 23:9:31] [krasnal ogrodowy niko]: Owo ship <@472431307834785803> <@565167434340892682> 

[17.1.2021 | 23:9:41] [cheeto pizzerini]: cheeto pack 

[17.1.2021 | 23:9:41] [krasnal ogrodowy niko]: CHEETO PACK 

[17.1.2021 | 23:9:42] [cheeto pizzerini]: XD 

[17.1.2021 | 23:9:44] [krasnal ogrodowy niko]: XD 

[17.1.2021 | 23:10:6] [krasnal ogrodowy niko]: Owo ship <@472431307834785803> <@697153934246150185> 

[17.1.2021 | 23:10:10] [krasnal ogrodowy niko]: XD 

[17.1.2021 | 23:10:15] [krasnal ogrodowy niko]: Ty cheetoniu 

[17.1.2021 | 23:10:17] [cheeto pizzerini]: XDDD 

[17.1.2021 | 23:13:4] [_Zack_]: Jak będę płodny 

[17.1.2021 | 23:13:9] [_Zack_]: To pokaże bydlaka 

[18.1.2021 | 9:50:11] [po prostu kaczka]: owo ship <@617658738978979850> <@472431307834785803> 

[18.1.2021 | 9:50:17] [po prostu kaczka]: Aha 

[18.1.2021 | 9:50:22] [krasnal ogrodowy niko]: XD 

[18.1.2021 | 9:50:30] [krasnal ogrodowy niko]: Owo ship <@617658738978979850> <@697153934246150185> 

[18.1.2021 | 9:51:50] [cheeto pizzerini]: owo ship <@!617658738978979850>  <@!472431307834785803> 

[18.1.2021 | 9:51:59] [cheeto pizzerini]: usunelam pseudonim 

[18.1.2021 | 9:52:3] [cheeto pizzerini]: i jest lepiej 

[18.1.2021 | 9:52:19] [cheeto pizzerini]: po prostizzerini 

[18.1.2021 | 10:3:3] [po prostu kaczka]: Nie oznaczai uh 

[18.1.2021 | 10:6:9] [cheeto pizzerini]: to jak mam niby sprawdzić ship smh 

[18.1.2021 | 10:6:29] [cheeto pizzerini]: i ty też mnie oznaczyłaś dosłownie wcześniej hipokrytko 

[18.1.2021 | 10:20:12] [po prostu kaczka]: Ale ciebie moszna jądro 

[18.1.2021 | 10:20:14] [po prostu kaczka]: Można 

[18.1.2021 | 10:20:16] [po prostu kaczka]: A mnie nie 

[18.1.2021 | 10:20:29] [po prostu kaczka]: Ty jestes adminem to i tak mozna bo bo pani admin problem mam jak mam jak mam wejac na czat 

[18.1.2021 | 10:24:32] [cheeto pizzerini]: ale nie miałaś żadnego problemu przeciez 😐 

[18.1.2021 | 10:25:2] [cheeto pizzerini]: i skoro ja jestem adminem to moge pingowac uzytkownikow jak cos chce od nich naprzyklad 

[18.1.2021 | 10:25:7] [cheeto pizzerini]: wiec ta logika nie działa 

[18.1.2021 | 10:25:32] [🅼🅸🅺]: Wtf 

[18.1.2021 | 10:25:40] [🅼🅸🅺]: Kłótnie o shipy 

[18.1.2021 | 10:25:50] [🅼🅸🅺]: "Trudne shipy" 

[18.1.2021 | 10:26:36] [cheeto pizzerini]: angst 

[18.1.2021 | 11:50:39] [po prostu kaczka]: Serio wzięłaś to na powaznie 

[18.1.2021 | 11:50:47] [po prostu kaczka]: Ja nie mogę czito zawiodlas mnie 

[18.1.2021 | 11:58:38] [cheeto pizzerini]: kiedy ja cokolwiek wziełam na poważnie? 

[18.1.2021 | 11:58:56] [cheeto pizzerini]: teraz to ty mnie zawiodłaś myśląc że ja to wziełam na poważnie 

[18.1.2021 | 12:2:24] [po prostu kaczka]: A teraz ty mnie zawiodlas myslac ze ja to o tym ze na powaznie ze pisalam to nw powaznie ze wzielas to na powaznie 

[18.1.2021 | 12:3:49] [cheeto pizzerini]: okej 

[18.1.2021 | 12:4:9] [cheeto pizzerini]: pogubiłam się 

[18.1.2021 | 12:4:39] [po prostu kaczka]: XD 

[18.1.2021 | 12:29:15] [Grylled]: owo ship <@472431307834785803> <@553688850921291787> 

[18.1.2021 | 12:29:22] [Grylled]: co- 

[18.1.2021 | 12:29:55] [cheeto pizzerini]: GAHH 

[18.1.2021 | 12:30:2] [cheeto pizzerini]: cheetołceł 

[18.1.2021 | 12:30:5] [cheeto pizzerini]: urocze 

[18.1.2021 | 12:30:14] [emm]: Uwu 

[18.1.2021 | 12:30:18] [cheeto pizzerini]: owo ship <@!472431307834785803>  <@!630520180211974204> 

[18.1.2021 | 12:30:23] [cheeto pizzerini]: petwave 

[18.1.2021 | 12:30:25] [cheeto pizzerini]: XD 

[18.1.2021 | 12:30:37] [Grylled]: wiedziałem że bedzie wave xdd 

[18.1.2021 | 12:30:44] [cheeto pizzerini]: zWieRzEca FaLA 

[18.1.2021 | 12:31:44] [Grylled]: owo ship <@630518766463221771> <@630520180211974204> 

[18.1.2021 | 12:31:49] [Grylled]: XD 

[18.1.2021 | 12:32:49] [cheeto pizzerini]: CYCKETWAVE 

[18.1.2021 | 12:32:50] [cheeto pizzerini]: FTGYUIJVG 

[18.1.2021 | 13:4:52] [🅼🅸🅺]: Owo ship <@630518766463221771>  <@553688850921291787> 

[18.1.2021 | 13:5:0] [🅼🅸🅺]: Cyłceł 

[18.1.2021 | 13:5:5] [🅼🅸🅺]: Nice 

