[10.1.2021 | 23:23:32] [tsuki]: Mam Shirō, chętni? 

[13.1.2021 | 19:47:44] [Shittykawa✨]: Jasne xD 

[13.1.2021 | 19:49:28] [Shittykawa✨]: W razie czego jak mam zacząć to później xD 

[13.1.2021 | 20:3:52] [tsuki]: Zacznij, mogę poczekać, bo i tak z kuzynką jestem i szczeniakiem, więc sama nie mam zbytnio jak haha 

[13.1.2021 | 23:12:0] [Grylled]: eo 

[14.1.2021 | 11:1:50] [Grylled]: Dawno umarłem lol 

[14.1.2021 | 11:2:4] [Grylled]: Ale mg pisać tylko się odezwijcie a nie 

[14.1.2021 | 16:37:44] [cheeto pizzerini]: Właśnie to zrobili 

[14.1.2021 | 17:45:16] [Grylled]: ...tsa po jakim czasie 

[14.1.2021 | 18:13:38] [cheeto pizzerini]: No to o chuj ci chodzi 

[14.1.2021 | 18:13:49] [cheeto pizzerini]: Mówisz żeby sie odezwali i to zrobili 

[14.1.2021 | 18:44:43] [Grylled]: Na chuj się prujesz 5 dni temu się spytałem o wątek 

[14.1.2021 | 18:47:57] [cheeto pizzerini]: Kiedy ja sie ptuje stary 

[14.1.2021 | 18:48:10] [Kishunia]: Teraz? 

[14.1.2021 | 18:48:12] [cheeto pizzerini]: Ja doslowne napisalam trzy wiadomosvi 

[14.1.2021 | 18:48:27] [cheeto pizzerini]: A ty kishunia co sie wtracasx 

[14.1.2021 | 18:48:33] [cheeto pizzerini]: Atencji sxukasx? 

[14.1.2021 | 18:48:50] [Kishunia]: Bardziej przyszłam się z Ciebie pośmiać i twojego bólu dupy 

[14.1.2021 | 18:48:52] [Kishunia]: :p 

[14.1.2021 | 18:49:2] [cheeto pizzerini]: Smiało 

[14.1.2021 | 18:49:18] [krasnal ogrodowy niko]: Proszę pamiętać że cheeto jest adminem, więc takie zachowanie nie jest na miejscu 

[14.1.2021 | 18:49:35] [cheeto pizzerini]: 💋 

[14.1.2021 | 18:49:39] [krasnal ogrodowy niko]: Jeden 

[14.1.2021 | 18:49:45] [Kishunia]: Nic nie poradzę, że zaraz będzie czerwony jak Flaga Chin 

[14.1.2021 | 18:50:2] [krasnal ogrodowy niko]: A po drugie skończcie rozmowę bo to nie kanał od tego 

[14.1.2021 | 18:56:40] [cheeto pizzerini]: Mam szczerze wyjebane 

[14.1.2021 | 18:56:49] [cheeto pizzerini]: Ale okej 

[14.1.2021 | 18:57:9] [cheeto pizzerini]: Jesli ci zależy to możesz sobie wierzyć w co chcesz mr 

[14.1.2021 | 22:22:53] [Grylled]: ...? 

[14.1.2021 | 22:26:49] [Grylled]: Tooo ja już jednak nie szukam 

[14.1.2021 | 22:26:55] [Grylled]: for my safety 

[14.1.2021 | 22:26:58] [krasnal ogrodowy niko]: Czemu? 

[14.1.2021 | 22:27:7] [Grylled]: ^ 

[14.1.2021 | 22:27:15] [krasnal ogrodowy niko]: Oj tam oj tam 

[14.1.2021 | 22:27:17] [krasnal ogrodowy niko]: <@&789087411224838154> 

[14.1.2021 | 22:30:35] [Grylled]: No tam no tam 

[14.1.2021 | 23:44:40] [cheeto pizzerini]: omg ale ja grozę budzę 😍 

[14.1.2021 | 23:46:53] [Kishunia]: ~~Po prostu ludzie mają na Ciebie wyjebane~~ 

[14.1.2021 | 23:47:4] [Grylled]: tsa 

[14.1.2021 | 23:48:48] [Grylled]: ale tego się nie mówi bo masz admina 

[14.1.2021 | 23:49:35] [cheeto pizzerini]: przecież ja mam wyjebane że macie wyjebane ziomeczki 

[14.1.2021 | 23:49:43] [cheeto pizzerini]: i przecież mówicie na luzie 

