[9.1.2021 | 22:23:58] [DoctorToxic]: Ała moje życie 

[9.1.2021 | 22:25:38] [DoctorToxic]: I hate my life 

[9.1.2021 | 22:25:43] [DoctorToxic]: Every people on this planet 

[9.1.2021 | 22:25:52] [DoctorToxic]: Why the fuck I need to live like this 

[9.1.2021 | 22:26:8] [DoctorToxic]: Fucking god 

[9.1.2021 | 22:26:24] [🅼🅸🅺]: +1 

[9.1.2021 | 22:26:26] [cheeto pizzerini]: same 

[9.1.2021 | 22:27:3] [cheeto pizzerini]: w moim przypadku to jest że wolałbym nie żyć ale też nie popełnię samobójstwa 

[9.1.2021 | 22:27:7] [cheeto pizzerini]: męczące troche 

[9.1.2021 | 22:27:11] [DoctorToxic]: Tak 

[9.1.2021 | 22:27:22] [cheeto pizzerini]: jak umrę pewnego dnia to będzie mi to kompletnie obojętne 

[9.1.2021 | 22:27:27] [DoctorToxic]: Bo później wyjdzie ze samobójca nie myślał choć miał takie cudne życie itd 

[9.1.2021 | 22:27:40] [DoctorToxic]: I don't give a fuck 

[9.1.2021 | 22:28:7] [DoctorToxic]: Może to moje drugie życie albo trzecie może i dziesiąte 

[9.1.2021 | 22:28:11] [DoctorToxic]: Chociaż ni chuja 

[9.1.2021 | 22:28:11] [🅼🅸🅺]: Niby nie powinniśmy zdychać ze względu na innych, ponieważ innym zależymy...ale czasem tak oni irytują że nawet ty odczuwasz że to nie prawda. 

[9.1.2021 | 22:28:17] [DoctorToxic]: Nie wierze w reinkarnacje 

[9.1.2021 | 22:28:48] [cheeto pizzerini]: dla mnie spoko opcją by było po prostu gdybym miał jakąś śmiertelną chorobę i umrę za np. 2 lata 

[9.1.2021 | 22:28:52] [cheeto pizzerini]: czy coś 

[9.1.2021 | 22:29:6] [cheeto pizzerini]: jest czas żeby sie pożegnać i wyczilować XD 

[9.1.2021 | 22:29:15] [DoctorToxic]: A to nie jest śmierć w bólu? 

[9.1.2021 | 22:29:24] [cheeto pizzerini]: różnie 

[9.1.2021 | 22:29:35] [cheeto pizzerini]: zależy od choroby pewnie 

[9.1.2021 | 22:29:53] [🅼🅸🅺]: Ja pewnie umrę przez jakiś swój błąd 

[9.1.2021 | 22:30:10] [cheeto pizzerini]: ja myślę że nie dożyję czterdziestki 

[9.1.2021 | 22:30:13] [cheeto pizzerini]: ale tak serio 

[9.1.2021 | 22:30:18] [DoctorToxic]: Tak błąd w oprogramowaniu to na pewno to 

[9.1.2021 | 22:30:30] [cheeto pizzerini]: tja 

[9.1.2021 | 22:31:20] [🅼🅸🅺]: A tak wgl...to czemu uważacie że życie ssie? 

[9.1.2021 | 22:31:30] [cheeto pizzerini]: czy ssie to nie wiem 

[9.1.2021 | 22:31:37] [cheeto pizzerini]: ale nie warte zachodu jak dla mnie 

[9.1.2021 | 22:31:44] [🅼🅸🅺]: Powiedz 

[9.1.2021 | 22:31:58] [cheeto pizzerini]: nie mam większości wspomnien z dzieciństwa 

[9.1.2021 | 22:32:0] [🅼🅸🅺]: Pogadam z tobą, przynajmniej się wygadasz 

[9.1.2021 | 22:32:10] [cheeto pizzerini]: nie muszę sie wygadywac 

[9.1.2021 | 22:32:23] [cheeto pizzerini]: nic sobie nie zrobię raczej 

[9.1.2021 | 22:32:42] [cheeto pizzerini]: i jeśli będę czuć potrzebę to pójdę do psychologa czy tam psychiatry 

[9.1.2021 | 22:32:44] [🅼🅸🅺]: No tak, ale te uczucie jednak nie zniknie 

[9.1.2021 | 22:32:48] [cheeto pizzerini]: albo wezmę leki brata 

[9.1.2021 | 22:32:53] [cheeto pizzerini]: możliwe 

[9.1.2021 | 22:33:13] [cheeto pizzerini]: ale jestem na takim poziomie że nie czuję potrzeby żeby starać się 'wyzdrowieć' 

[9.1.2021 | 22:33:46] [🅼🅸🅺]: No dobrze 

[9.1.2021 | 22:34:19] [🅼🅸🅺]: Jeśli chcesz to ze mną możesz pogadać 

[9.1.2021 | 22:34:42] [DoctorToxic]: Jest męczące nie idzie się wyspać, sama genetyka i biologia człowieka jest spierdolona 

[9.1.2021 | 22:34:43] [cheeto pizzerini]: mhm dzięks 

[9.1.2021 | 22:35:12] [🅼🅸🅺]: Genetyka i biologia człowieka? 

[9.1.2021 | 22:35:19] [DoctorToxic]: Tak 

[9.1.2021 | 22:35:30] [DoctorToxic]: Kobiety krwawią i czekają na zapłodnienie co miesiąc 

[9.1.2021 | 22:35:39] [cheeto pizzerini]: idiotyzm 

[9.1.2021 | 22:35:43] [DoctorToxic]: Dlaczego to my mamy krwawić 

[9.1.2021 | 22:35:50] [DoctorToxic]: Bo jakoś kretyn nas nie zapłodnili? 

[9.1.2021 | 22:35:58] [DoctorToxic]: To trochę boli wiesz? 

[9.1.2021 | 22:36:20] [DoctorToxic]: Nie wyokrąglam tego że kobiety mają gorsze problemy 

[9.1.2021 | 22:36:29] [DoctorToxic]: Ale po prostu do tej pory nie mogę w to uwierzyć 

[9.1.2021 | 22:37:17] [DoctorToxic]: Dlatego to mi przeszkadza w byciu trans, przypominanie mi bycia kobietą co miesiąc 

