[21.1.2021 | 12:50:38][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/801212107609079829/801780800185565184/IMG_20210121_125029.jpg] 

[21.1.2021 | 12:50:42] [DoctorToxic]: Aaa moje serce 

[21.1.2021 | 12:50:45] [DoctorToxic]: Jaki on uroczy 

[21.1.2021 | 12:58:23][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/801212107609079829/801782751954862090/IMG_20210121_125816.jpg] 

[21.1.2021 | 12:58:25] [DoctorToxic]: No 

[21.1.2021 | 12:58:27] [DoctorToxic]: Kurwaa 

[21.1.2021 | 12:58:30] [DoctorToxic]: Japierdole 

[21.1.2021 | 12:59:5] [emm]: co sie dzieje 

[21.1.2021 | 12:59:11] [emm]: szaleństwo 

[21.1.2021 | 13:6:33] [DoctorToxic]: ;-; 

[21.1.2021 | 13:22:32][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/801212107609079829/801788827555463208/IMG_20210121_132204.jpg] 

[21.1.2021 | 13:22:39] [DoctorToxic]: *sniff* 

[21.1.2021 | 13:22:41] [DoctorToxic]: Fuck 

[28.1.2021 | 11:1:55][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/801212107609079829/804290160790732860/Screenshot_20210128_110135_com.zhiliaoapp.musically.jpg] 

[28.1.2021 | 11:2:0][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/801212107609079829/804290180679729162/Screenshot_20210128_110147_com.android.chrome.jpg] 

[28.1.2021 | 11:2:4] [DoctorToxic]: OOOOOOF 

[28.1.2021 | 12:41:32] [just Niko.™]: Są tacy kwadratowi dziwnie 

[28.1.2021 | 12:54:53] [DoctorToxic]: Śmiesznie xD 

