[10.1.2021 | 20:43:4] [Kishunia]: !p Jim Yosef Animal 

[10.1.2021 | 20:46:50] [Kishunia]: !p hard to kill 

[10.1.2021 | 20:47:4] [Kishunia]: !p no time to die 

[10.1.2021 | 20:47:20] [Kishunia]: !p city of dead 

[10.1.2021 | 20:51:32] [Kishunia]: !s 

[10.1.2021 | 20:52:15] [Kishunia]: !p redemption nightcore 

[10.1.2021 | 20:53:10] [Kishunia]: !p soldier - nightcore 

[27.1.2021 | 18:26:10] [just Niko.™]: -join 

[27.1.2021 | 18:26:27] [just Niko.™]: -play stayin alive bee gees 

[27.1.2021 | 18:27:4] [just Niko.™]: -stop 

[27.1.2021 | 19:15:48] [just Niko.™]: Okejjj 

[28.1.2021 | 19:9:56] [just Niko.™]: To się tak da? :o 

[28.1.2021 | 19:9:59] [just Niko.™]: Sory że tutaj alee 

[28.1.2021 | 19:10:3] [just Niko.™]: Tam się wysyła 

[28.1.2021 | 20:46:8] [🅼🅸🅺]: -p VIRAL SONG Tobuscus 

[28.1.2021 | 20:46:10] [Deamovsky]: !p https://www.youtube.com/watch?v=BWeBbXKoBo8 

[28.1.2021 | 20:46:13] [🅼🅸🅺]: ;-; 

[28.1.2021 | 20:46:33] [🅼🅸🅺]: Napisałem tytuł i autora a to jakieś gówno wyszło 

[28.1.2021 | 20:46:44] [Lyfier]: ;-; 

[28.1.2021 | 20:46:57] [Deamovsky]: !p https://www.youtube.com/watch?v=Gf2LI6Twrb0 

[28.1.2021 | 20:47:11] [🅼🅸🅺]: -p każdy ziom zbiera złom 

[28.1.2021 | 20:47:15] [just Niko.™]: -stop 

[28.1.2021 | 20:47:19] [🅼🅸🅺]: Ah shit 

[28.1.2021 | 20:47:22] [🅼🅸🅺]: Here go again 

[28.1.2021 | 20:52:35] [cheeto pizzerini]: -p babooshka 

[28.1.2021 | 20:53:11] [cheeto pizzerini]: ✨ 👄 ✨ 

[28.1.2021 | 20:53:36] [Lyfier]: ❤️  w ❤️ 

[28.1.2021 | 20:53:52] [just Niko.™]: 🪨 

[28.1.2021 | 20:53:57] [cheeto pizzerini]: yeah 

[28.1.2021 | 20:55:48] [just Niko.™]: -stop 

[28.1.2021 | 20:56:9] [trybik]: -play the red shors (2011 remastered version) 

[28.1.2021 | 20:58:36] [just Niko.™]: !stop 

[28.1.2021 | 20:59:17] [Deamovsky]: !start 

[28.1.2021 | 20:59:20] [Deamovsky]: !p 

[28.1.2021 | 21:0:28] [just Niko.™]: -stop 

[28.1.2021 | 21:0:39] [cheeto pizzerini]: -p holywood dream ayesha 

[28.1.2021 | 21:22:55] [Deamovsky]: !stop 

[28.1.2021 | 21:22:58] [Deamovsky]: !leave 

