[9.1.2021 | 20:28:34] [po prostu kaczka]: Ryż / copm lubi czytać książki? 

[9.1.2021 | 21:17:27] [piołun]: Bardzo! / con lubi koszule? 

[9.1.2021 | 21:22:46] [cheeto pizzerini]: tak/ czy osoba pode mna lubi pingwiny? 

[9.1.2021 | 23:38:54] [po prostu kaczka]: Średnio / czy osoba con zdaje sobie sprawę z tego, że koale są głupie? 

[9.1.2021 | 23:41:18] [Kishunia]: Tak / czy osoba poniżej, ma 5 z chemii? 

[9.1.2021 | 23:42:19] [krasnal ogrodowy niko]: Tak/czy osoba poniżej widziała śnieg w tamtym roku? 

[11.1.2021 | 12:10:53] [po prostu kaczka]: Nie / cop ćwiczy jogę? 

[11.1.2021 | 12:11:33] [krasnal ogrodowy niko]: Nie/con grała w resident evil 

[11.1.2021 | 12:12:50] [Kishunia]: Tak. / Czy osoba poniżej, grała w ARK: Survival evolved? 

[11.1.2021 | 12:13:10] [krasnal ogrodowy niko]: Nie/con lubi grać w gry video? 

[11.1.2021 | 12:13:55] [po prostu kaczka]: Niezbyt bo nie umiem / cop ma mop? 

[14.1.2021 | 23:15:20] [18seba03]: Nie, nie mam mopa przy sobie / Czy osoba pode mną lubi śnieg? 

[14.1.2021 | 23:17:31] [krasnal ogrodowy niko]: Tak/czy osoba pode mną na fajny śnieg do robienia bałwana? 

[14.1.2021 | 23:20:56] [_Zack_]: A jakże / czy osoba pode mną grała w metpo 

[14.1.2021 | 23:31:53] [18seba03]: Tak, jeżeli chodziło oczywiście o metro / Czy osoba pode mną grała w Fallouta 76 i chce mi powiedzieć czy go naprawili? xd 

[15.1.2021 | 13:14:34] [ub.zuz]: Tak, od słodyczy, discorda... 
Czy osoba pode mną lubi czytać książki? 

[15.1.2021 | 13:28:43] [tsuki]: Kocha / czy osoba pode mną lubi śnieg? 

[15.1.2021 | 14:4:14] [trybik]: Wrrr nieee, chociaż jest piękny/ Czy osóbka pode mną wciągała kiedyś tabakę? 

[15.1.2021 | 14:19:23] [_Zack_]: Wciagalem kredę ale tabletki nie/ czy osoba pode mną czyta sci fi 

[15.1.2021 | 19:25:43] [FiczetoX]: Tak/ Co czyta osoba poniżej? 

[15.1.2021 | 23:55:45] [Kishunia]: Chat/ czy osoba poniżej, lubi dinozaury? 

[15.1.2021 | 23:56:12] [krasnal ogrodowy niko]: Tak/czy osoba poniżej oglądała teletubisie? 

[15.1.2021 | 23:59:35] [Kishunia]: Nie. Balam się ich. / Czy osoba poniżej, cieszy się że w pon. Do szkoły? 

[16.1.2021 | 0:0:13] [FiczetoX]: Ja mam zdalne/ Czy osoba poniżej interesuje się militariami? 

[16.1.2021 | 14:34:56] [18seba03]: Nie / czy osoba pode mną oglądała wczoraj władcę pierścieni na TVN? 

[16.1.2021 | 17:30:48] [_Zack_]: nie/ con chodzi do szkoły a jak tak to do jakiej (w sensie liceum, czy podstawówka) 

[16.1.2021 | 17:40:28] [DoctorToxic]: Chodzę do technikum lmao/ czy osoba pode mną ma jakiś fetysz? 

[16.1.2021 | 18:58:35] [po prostu kaczka]: Może jeden lub dwa małe / con lubi folk-rock? Niekoniecznie polski 

[26.1.2021 | 21:1:52] [Last Rose Sneep]: Nie/ Debile zawsze mówią nie. Con jest idiotą? 

[26.1.2021 | 21:2:47] [just Niko.™]: Nie, bo to siebie mówią nie, a nie idioci/czg osoba poniżej lubi czytać książki? 

[26.1.2021 | 21:23:37] [cheeto pizzerini]: tak/ con chce dostać ode mnie bana? (nie ma poprawnej odpowiedzi) 

[26.1.2021 | 21:24:38] [just Niko.™]: Tak 😏/con chce coś zjeść? 

[26.1.2021 | 22:4:6] [cheeto pizzerini]: troche. nie jestem głodn ale jem se czekolade poprotu/con do pisania uzywa czarnego długopisu? 

[26.1.2021 | 22:6:42] [Lyfier]: nie, mam różowy? /con ma jakieś zwierzątko? 

[26.1.2021 | 22:18:50] [just Niko.™]: Tak. Kotka i psa/con chciałaby skoczyć na banji? 

[26.1.2021 | 23:25:12] [tsuki]: Nie/ czy osoba pode mną ma dobry humorek? 

[27.1.2021 | 21:20:57] [Last Rose Sneep]: Pomiędzy, mam rozkminę/ con lubi muzykę? 

