[10.1.2021 | 12:45:37][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/797793263544565790/Screenshot_20210110_124515_com.zhiliaoapp.musically.jpg] 

[10.1.2021 | 12:45:39] [DoctorToxic]: ._. 

[10.1.2021 | 12:45:42] [DoctorToxic]: .-. 

[10.1.2021 | 12:46:2] [DoctorToxic]: Rozbawiło mnie to 

[10.1.2021 | 12:46:9] [krasnal ogrodowy niko]: japierdole 

[10.1.2021 | 12:46:13] [krasnal ogrodowy niko]: XDDDDDD 

[10.1.2021 | 12:46:18] [piołun]: *rzecT 

[10.1.2021 | 12:46:20] [po prostu kaczka]: XD 

[10.1.2021 | 12:46:21] [piołun]: *rzeczy 

[10.1.2021 | 12:46:36] [po prostu kaczka]: W ogóle nie istnieje coś takiego jak instynkt macierzyński u ludzi 

[10.1.2021 | 12:46:51] [krasnal ogrodowy niko]: Sama masz instynkt głupia babo 

[10.1.2021 | 12:46:52] [piołun]: Ja i tak nie jestem nawet czlowiekiem tylko proszkiem 

[10.1.2021 | 12:46:55] [po prostu kaczka]: Jesli nie chcesz miec dzieci 

[10.1.2021 | 12:47:0] [po prostu kaczka]: To nie jestes kobietom 

[10.1.2021 | 12:47:12] [po prostu kaczka]: Z opakowania po kisielu 

[10.1.2021 | 12:47:15] [piołun]: Tak 

[10.1.2021 | 12:47:23] [DoctorToxic]: Jeżeli jestem pedałem to nie jesteś mezczyznom 

[10.1.2021 | 12:47:41] [DoctorToxic]: Tak dodajmy orientacje może? 

[10.1.2021 | 12:47:48] [po prostu kaczka]: oo moznaby 

[10.1.2021 | 12:47:50] [DoctorToxic]: Albo do czego się kwalifikacjjemy 

[10.1.2021 | 12:47:55] [po prostu kaczka]: I mozna tez autorole 

[10.1.2021 | 12:47:55] [DoctorToxic]: Dobry pomysł ;-; 

[10.1.2021 | 12:48:4] [po prostu kaczka]: Nie-kobieta i nie-mężczyzna 

[10.1.2021 | 12:48:10] [po prostu kaczka]: Dla feministek i pedałów 

[10.1.2021 | 12:48:14] [po prostu kaczka]: Feminazistek* 

[10.1.2021 | 12:48:16] [DoctorToxic]: Kosmita 

[10.1.2021 | 12:48:34] [DoctorToxic]: Nie wiem dla mnie kosmici mogą być i mężczyznami i kobietami lmao 

