[9.1.2021 | 22:50:9] [piołun]: =avatar <@630518766463221771> 

[10.1.2021 | 12:9:41] [FiczetoX]: /papier 

[10.1.2021 | 12:37:50] [FiczetoX]: /iss 

[15.1.2021 | 22:38:54] [FiczetoX]: 6697 

[15.1.2021 | 22:39:56] [FiczetoX]: /rxut 

[16.1.2021 | 17:34:47] [_Zack_]: /chuj 

[16.1.2021 | 17:35:1] [_Zack_]: /kill 

[16.1.2021 | 17:36:33] [_Zack_]: ale gówno 

[17.1.2021 | 0:9:57] [krasnal ogrodowy niko]: !roll dziewczynka, chłopiec 

[17.1.2021 | 0:10:8] [krasnal ogrodowy niko]: !roll beta, alfa, omefa 

