[10.1.2021 | 12:10:21][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/797784390628802590/Screenshot_20210110_120811_com.zhiliaoapp.musically.jpg] 

[10.1.2021 | 12:56:11][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/797795921798103091/e7c739439570ade7a01e96453dc58751.mp4] 

[10.1.2021 | 12:56:16] [DoctorToxic]: Płacze pomocy 

[10.1.2021 | 12:56:21] [DoctorToxic]: Umieram 

[10.1.2021 | 13:45:31][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/797808339610107934/c8e2d52bcf6a2f2cfa6e1a970dfe134b.jpg] 

[10.1.2021 | 13:46:2] [Kishunia]: Ciężko byś żył z 5.56mm w płucu. 

[11.1.2021 | 14:49:6] [po prostu kaczka]: Ejjjj to strasznie przykre co on powiedział 

[11.1.2021 | 14:49:43] [Kishunia]: To jest internet 

[11.1.2021 | 14:49:47] [Kishunia]: I do tego facet 

[11.1.2021 | 14:50:7] [Kishunia]: Serio myślisz że powie "OmG AlE JeStEś PiĘkNa!!!!!1!!!" 

[11.1.2021 | 14:50:35] [krasnal ogrodowy niko]: EkHEM 

[11.1.2021 | 14:51:3] [krasnal ogrodowy niko]: Jakby nie wrzucaj wszystkich do jednego wora 

[11.1.2021 | 14:51:23] [krasnal ogrodowy niko]: Nie wszyscy są tacy, równie dobrze mogła napisać to kobieta 

[11.1.2021 | 14:53:23] [Kishunia]: Na ogół, faceci są tacy perfidni. Dziewczyny, rzadziej mówią innym w twarz co myślą 

[11.1.2021 | 14:53:59] [FiczetoX]: Ale nie jest to jakiś wyraźny wyznacznik 

[11.1.2021 | 14:54:29] [Kishunia]: Ile znasz dziewczyn, które kogoś uraziły nawiązując do gry 

[11.1.2021 | 14:54:33] [po prostu kaczka]: Co
Nie xdd 

[11.1.2021 | 14:54:50] [po prostu kaczka]: To nie zależy od płci a od charakteru i dobrego wychowania 
