[9.1.2021 | 23:40:35][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/797595702934372352/Screenshot_20210109_234020_com.android.chrome.jpg] 

[9.1.2021 | 23:43:5] [piołun]: Czy ti pieresze to stopa 

[9.1.2021 | 23:43:19] [piołun]: Co to jest 

[9.1.2021 | 23:43:41] [piołun]: To jakas uposledzona stopa 

[10.1.2021 | 20:3:7][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/797903366067716136/Screenshot_20210110-193928.png] 

[10.1.2021 | 20:5:29] [cheeto pizzerini]: uwielbiam to anime 

[10.1.2021 | 20:5:37] [Kishunia]: Ok 

[10.1.2021 | 20:5:40] [cheeto pizzerini]: będę robić cosplay tej ciotki właśnie 

[10.1.2021 | 20:5:47] [Kishunia]: I didn't asked 

[10.1.2021 | 20:5:53] [cheeto pizzerini]: japierdole 

[10.1.2021 | 20:6:4] [cheeto pizzerini]: na chuj masz problem 

[10.1.2021 | 20:6:6] [cheeto pizzerini]: teraz? 

[10.1.2021 | 20:6:16] [Kishunia]: Zawsze mam problem z wszystkim 

[10.1.2021 | 20:6:20] [cheeto pizzerini]: widać 

[10.1.2021 | 20:6:37] [cheeto pizzerini]: a poza tym 

[10.1.2021 | 20:6:50] [cheeto pizzerini]: i didn't ask* 

[10.1.2021 | 20:6:51] [cheeto pizzerini]: albo 

[10.1.2021 | 20:6:57] [cheeto pizzerini]: i haven't asked* 

[10.1.2021 | 20:7:23] [cheeto pizzerini]: jak już chcesz pisać po angielsku to pisz poprawnie ❤️ 

[11.1.2021 | 12:23:12] [Kishunia]: Nie będzie LEWD amiya 

[13.1.2021 | 0:35:54][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/798696793097371699/4d88e43ee8deb8d0939ca6b63ac41829.jpeg] 

[13.1.2021 | 0:36:1] [DoctorToxic]: I leave it here 

[13.1.2021 | 0:36:4] [cheeto pizzerini]: moo 

[13.1.2021 | 0:36:24] [DoctorToxic]: Moo 

[13.1.2021 | 0:37:32] [piołun]: Krowka moooowka 

[13.1.2021 | 0:37:39] [piołun]: Mleko daje pyszne tak 

[13.1.2021 | 0:37:52] [piołun]: Platki mleko zdrowia smak 

[13.1.2021 | 0:38:1] [piołun]: Tak ze gwizdac mi sie chxe 

[13.1.2021 | 0:38:6] [piołun]: Fiufiudiudiufiuu 

[13.1.2021 | 0:38:10] [piołun]: Mleko łaciatee 

[13.1.2021 | 1:18:51][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/798707602787794954/da2wd3y-1f3632d6-4bd5-4188-86d5-8ad21ff05b8f.jpg] 

[13.1.2021 | 20:30:47][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/798997498156941362/ca7ca832d9667649321ed0a8d7b06460.jpeg] 

[17.1.2021 | 23:3:10] [_Zack_]: Chopaki 

[17.1.2021 | 23:3:13] [_Zack_]: Nie chce mi stanac 

[17.1.2021 | 23:3:15] [_Zack_]: Help 

[17.1.2021 | 23:3:23] [cheeto pizzerini]: kurde no 

[17.1.2021 | 23:3:44] [po prostu kaczka]: Wazelinki duzo i lecisz 

[17.1.2021 | 23:3:46] [po prostu kaczka]: Znaczh co 

[17.1.2021 | 23:5:38] [_Zack_]: <@697153934246150185> 

[17.1.2021 | 23:5:41] [_Zack_]: Dawaj nudesa 

[17.1.2021 | 23:5:46] [_Zack_]: Lubię kamienie 

[17.1.2021 | 23:7:22] [_Zack_]: Chyba jestem bezplodny 

[17.1.2021 | 23:7:29] [_Zack_]: Idę się kochać z poduszką 

[17.1.2021 | 23:7:31] [_Zack_]: Paasa 

[17.1.2021 | 23:7:59][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/800486603264753684/IMG_20210117_230734.jpg] 

[17.1.2021 | 23:8:5] [krasnal ogrodowy niko]: <@565167434340892682> <@472431307834785803> 

[17.1.2021 | 23:8:14] [krasnal ogrodowy niko]: Golutki ja 

[17.1.2021 | 23:8:22] [_Zack_]: No już potwierdzone 

[17.1.2021 | 23:8:27] [_Zack_]: Jestem bezplodny 

[17.1.2021 | 23:8:31] [_Zack_]: Bo mi nie staje 

[17.1.2021 | 23:8:35] [_Zack_]: Przy kamieniach 

[17.1.2021 | 23:8:47] [krasnal ogrodowy niko]: Jestem seksi kamieniem nie? 

[17.1.2021 | 23:8:51] [_Zack_]: No 

[17.1.2021 | 23:8:53] [_Zack_]: Brałbym 

[17.1.2021 | 23:9:23] [cheeto pizzerini]: bardzo 

[17.1.2021 | 23:19:31] [Froginsocks]: Okej co 

[17.1.2021 | 23:19:46] [krasnal ogrodowy niko]: Nie wnikaj ja sam nie wiem 

[17.1.2021 | 23:20:10] [Froginsocks]: Bardzo przystojny z ciebie kamień 

[17.1.2021 | 23:21:23] [krasnal ogrodowy niko]: Wiemb 

[18.1.2021 | 13:0:29][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/800696114553815040/Screenshot_20210118-084045.png] 

[18.1.2021 | 18:4:5][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839589578047498/800772515789930517/SPOILER_unknown-1.png] 

[18.1.2021 | 19:9:45] [_Zack_]: nie jestem bezpłodny jednak 

[18.1.2021 | 19:9:46] [_Zack_]: jej 

[21.1.2021 | 15:42:40] [🌰Kasztaneq🔥]: ti sie używa nekobota 

[21.1.2021 | 15:42:45] [🌰Kasztaneq🔥]: tu* 

[21.1.2021 | 15:42:48] [🌰Kasztaneq🔥]: ? 

[21.1.2021 | 15:43:8] [🌰Kasztaneq🔥]: N! porn 

[21.1.2021 | 15:44:25] [🌰Kasztaneq🔥]: !help 

[21.1.2021 | 15:44:36] [🌰Kasztaneq🔥]: N! help 

[21.1.2021 | 15:46:1] [🌰Kasztaneq🔥]: n!help 

[26.1.2021 | 13:1:20] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:1:40] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:1:45] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:4:5] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:4:9] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:4:14] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:4:18] [🌰Kasztaneq🔥]: N!4k 

[26.1.2021 | 13:4:21] [🌰Kasztaneq🔥]: N!4k 

