[11.1.2021 | 14:44:37] [tsuki]: Co z modliszką? 

[11.1.2021 | 14:48:21] [krasnal ogrodowy niko]: Ktoś mógłby narysować w sumie 

[11.1.2021 | 14:48:32] [po prostu kaczka]: Moge wam wyslac swoje selfie 

[11.1.2021 | 14:48:42] [krasnal ogrodowy niko]: XD 

[11.1.2021 | 14:49:54] [piołun]: Ale bylo glosowabie i skrobia wybrala chrabobszcza 

[11.1.2021 | 14:55:49] [po prostu kaczka]: Znajde meza z nazwiskiem chrabonszcz 

[11.1.2021 | 14:58:43] [krasnal ogrodowy niko]: I spłodzicie patyczaka 

[11.1.2021 | 15:1:32] [po prostu kaczka]: Sam się spłuć 

[11.1.2021 | 15:1:38] [po prostu kaczka]: XD 

[11.1.2021 | 15:1:49] [krasnal ogrodowy niko]: Powstanie z nicości 

[11.1.2021 | 15:1:54] [krasnal ogrodowy niko]: Tak o *pstryk" 

[11.1.2021 | 15:1:57] [krasnal ogrodowy niko]: Jest Nikoś 

[11.1.2021 | 15:3:33] [piołun]: Moja znajoma ma or groma patyczorow 

[11.1.2021 | 15:3:47] [po prostu kaczka]: Ja nigdy nie rozumiaoam po co one komu 

[11.1.2021 | 15:5:15] [piołun]: Ona chciala dwoch samcow 

[11.1.2021 | 15:5:20] [piołun]: Ale jeden sie okazal babą xd 

[11.1.2021 | 15:12:34] [po prostu kaczka]: Ale jeden był alfą a drugi męską omegą 

[11.1.2021 | 15:12:37] [po prostu kaczka]: Zaraz co- 

[14.1.2021 | 10:46:57] [ub.zuz]: Nie jestem do końca pewna, więc na wypadek zapytam - po zaakceptowaniu kp moja postać dostaje swój własny kanał, czy wszystkie KP na zawsze pozostają na jednym kanale? 

[14.1.2021 | 10:47:49] [krasnal ogrodowy niko]: Mamy kanały od postvi na podstawie zadań, jakie wykonują w strefie, np: służba porządkowa, służba pogrzebowa, zwiadowcy itp 

[14.1.2021 | 10:48:10][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787810456852889610/799213265409409084/Screenshot_2021-01-14-10-48-05-79_572064f74bd5f9fa804b05334aa4f912.jpg] 

[14.1.2021 | 10:48:12] [krasnal ogrodowy niko]: Tak to wygląda 

[14.1.2021 | 10:49:4] [ub.zuz]: Okej 

[14.1.2021 | 10:54:22] [ub.zuz]: Jeszcze pytanie nr.2. - gdzie leży Arlandia? Na którym kontynencie? 

[14.1.2021 | 10:54:55] [krasnal ogrodowy niko]: W Ameryce obok Kanady 

[14.1.2021 | 10:55:2] [ub.zuz]: Okej 

[14.1.2021 | 11:11:31] [ub.zuz]: 3. pytanie dzisiaj, czy mogę minimalnie zmienić wzór kp, tj. podrzucać zdjęcia postaci pomiędzy punktami? 

[14.1.2021 | 11:11:58] [krasnal ogrodowy niko]: Jasne, nie ma sprawy 

[14.1.2021 | 11:12:51] [ub.zuz]: Okej, dzięki po raz kolejny 

[14.1.2021 | 11:14:39] [krasnal ogrodowy niko]: Nie ma sprawy 

[15.1.2021 | 22:43:31] [18seba03]: <@697153934246150185> w sumie mam pytanie co do Elementarnych. Bo jako że oni nabywają umiejętność poprzez zarzucie narkotyku to czy to działa jak nazwa mówi że musi go ciągle zażywać czy nie? 

[15.1.2021 | 22:50:13] [krasnal ogrodowy niko]: Tak 

[15.1.2021 | 22:50:45] [18seba03]: Hmm... A jak jest z tym narkotykiem? Jest ogółem dostępny czy jak? 

[15.1.2021 | 22:51:28] [FiczetoX]: Ja mam jeszcze pytanie do tego ⬆️
Czy ten narkotyk można brać w jakiejkolwiek formie i jeśli tak to w jakiej jest najmocniejszy 

[15.1.2021 | 22:53:53] [Kishunia]: Wydaje mi się, że w formie opium 

[15.1.2021 | 22:54:17] [Kishunia]: Bo 100% narkotyku dostaje się do organizmu, dając najmocniejszy efekt .-. 

[15.1.2021 | 22:55:49] [FiczetoX]: A dożylnie? 

[15.1.2021 | 22:56:7] [Kishunia]: No mówie 

[15.1.2021 | 22:56:16] [Kishunia]: Opium to płynny narkotyk 

[15.1.2021 | 22:56:22] [Kishunia]: Podawany właśnie dożylnie 

[15.1.2021 | 22:56:26] [FiczetoX]: Opium się wdycha -_- 

[15.1.2021 | 22:56:41] [Kishunia]: Znasz pojęcie "opium z maku"? 

[15.1.2021 | 22:56:44] [FiczetoX]: Tak 

[15.1.2021 | 22:57:37] [Kishunia]: No właśnie. Roztwór, robiony z mleka makowego 

[15.1.2021 | 22:57:57] [Kishunia]: Dokładnie wysuszonej mleko z makówki 

[15.1.2021 | 22:58:2] [FiczetoX]: Głównie w postaci nalewki alkoholowej, zwanej laudanum, lub palone. 

[15.1.2021 | 22:59:39] [FiczetoX]: Chyba, że chodzi ci pochodne (Morfina, papaweryna itp.) 

[15.1.2021 | 23:1:3] [Kishunia]: Co nie zmienia faktu, że opium jest bogate właśnie m. in. Morfine, która jest podawana w postaci płynu. W zasadzie, opium wciąż jest cieczą 

[15.1.2021 | 23:1:19] [FiczetoX]: Tak 

[15.1.2021 | 23:1:20] [Kishunia]: Więc podanie dożylnie da najskuteczniejszy efekt 

[15.1.2021 | 23:1:32] [FiczetoX]: Tak, ale samo w sobie opium jest palone 

[15.1.2021 | 23:2:18] [Kishunia]: Zważywszy że to *suszone mleko* można je rozpuścić w innej cieczy i zażywać innymi drogami 

[15.1.2021 | 23:2:24] [FiczetoX]: Przejdźmy na <#787765876858421258>, tak w ogóle 

[15.1.2021 | 23:2:31] [Kishunia]: Dobra myśl 

[15.1.2021 | 23:10:12] [18seba03]: <@697153934246150185> chciałbym wrócić do tego pytania xf 

[15.1.2021 | 23:12:11] [krasnal ogrodowy niko]: Myślę że co jakiś czas trzeba to brać 

[15.1.2021 | 23:12:54] [18seba03]: Znaczy dobra to rozumiem xd, chodzi mi o to jak jest z dostępem do niego 

[15.1.2021 | 23:13:24] [18seba03]: Nw tylko w tym głównym północnym narodzie czy można go samemu zdobyć na własną rękę 

[15.1.2021 | 23:14:9] [krasnal ogrodowy niko]: W siedzibie parasola jest sporo tego 

[15.1.2021 | 23:16:56] [18seba03]: Czyli da się to zdobyć na własną rękę rozumiem. Dobra kontynując jakie są efekty nie zażycia go przez dłuższy okres? Traci się tylko moc czy ssą jeszcze jakieś  skutki uboczne? 

[15.1.2021 | 23:17:36] [krasnal ogrodowy niko]: ~~trudne pytanie zadajesz~~ 

[15.1.2021 | 23:18:16] [18seba03]: ~~sorry wolę to wiedzieć~~ 

[15.1.2021 | 23:22:17] [18seba03]: <@697153934246150185> to jak ? xD 

[15.1.2021 | 23:22:37] [krasnal ogrodowy niko]: Myślę 

[15.1.2021 | 23:23:22] [18seba03]: Oke 

[15.1.2021 | 23:23:33] [krasnal ogrodowy niko]: Hmmm 

[15.1.2021 | 23:23:37] [krasnal ogrodowy niko]: Możeeeeee 

[15.1.2021 | 23:24:30] [krasnal ogrodowy niko]: Osoba która nie zażywa xm przez jakiś czas może tracić zmysły, by następnie zmienić się w bezmyślną maszynę do zabijania 

[15.1.2021 | 23:24:36] [krasnal ogrodowy niko]: undefined 

[15.1.2021 | 23:26:35] [18seba03]: O dobra, to zmienia postać rzeczy. Będę musiał teraz zastanowić się jak tak co do postaci 

[17.1.2021 | 13:46:34] [_Zack_]: a ile lat po apokalipsie 

[17.1.2021 | 13:48:23] [Grylled]: napewno ponad rok 

[17.1.2021 | 14:0:22] [krasnal ogrodowy niko]: Rok 

[17.1.2021 | 14:0:30] [krasnal ogrodowy niko]: undefined 

[17.1.2021 | 14:0:38] [krasnal ogrodowy niko]: undefined 

[27.1.2021 | 11:39:53] [no.]: Mogę obserwatora? 

