[12.1.2021 | 23:33:21][Grylled]: undefined [Image Link:https://cdn.discordapp.com/attachments/787840786883543115/798681051446247475/20210112_232845.jpg] 

[12.1.2021 | 23:33:25] [Grylled]: Yes 

[12.1.2021 | 23:39:34] [18seba03]: Matko, pierwsze o czym pomyślałem to Metro 2033 xD 

[12.1.2021 | 23:39:41] [18seba03]: Supcio wyszło 

[12.1.2021 | 23:56:40] [Grylled]: z niczego innego inspiracji nie biorę xd 

[12.1.2021 | 23:56:51] [Grylled]: dziemki 

[19.1.2021 | 17:34:39][Grylled]: undefined [Image Link:https://cdn.discordapp.com/attachments/787840786883543115/801127496375336960/20210119_171836.jpg] 

[19.1.2021 | 17:39:46] [_Zack_]: ale cygan 

[19.1.2021 | 17:39:52] [_Zack_]: drzwi podjebał 

[19.1.2021 | 18:8:24] [Grylled]: to miał być seba xdd 

[19.1.2021 | 18:8:34][Grylled]: undefined [Image Link:https://cdn.discordapp.com/attachments/787840786883543115/801136030677073950/20210119_180644.jpg] 

[19.1.2021 | 18:15:22] [18seba03]: teraz pytanie który, mam nadzieje że nie ja xD 

[19.1.2021 | 18:20:22] [Grylled]: XD 

[19.1.2021 | 18:20:28] [Grylled]: tamten pierwszy xddd 

[19.1.2021 | 18:22:10] [_Zack_]: rysujesz znajomych? 

[19.1.2021 | 18:22:15] [_Zack_]: <@!630520180211974204> 

[19.1.2021 | 18:22:22] [_Zack_]: mój znajomy miał taki zwyczaj 

[19.1.2021 | 18:22:34] [_Zack_]: na lekcjach rysował ludzi z klasy 

[19.1.2021 | 18:22:43] [_Zack_]: chyba całą klasę narysował 

[19.1.2021 | 18:23:2] [_Zack_]: ja oczywiście wyszedłem na aspołeczniaka 

[19.1.2021 | 18:23:13] [_Zack_]: 🙂 

[19.1.2021 | 18:23:28] [_Zack_]: ~~Jak nie faszysta to  aspołeczniak~~ 

[19.1.2021 | 18:40:28] [Grylled]: Niestety 

[19.1.2021 | 18:40:44] [Grylled]: te ludki losowo mi przychodzą do głowy 

[19.1.2021 | 18:41:26] [Grylled]: I tak mam ze sobą gumkę zeszyt i ołówek gdy idę się czasem przejść 

[19.1.2021 | 18:42:22][Grylled]: undefined [Image Link:https://cdn.discordapp.com/attachments/787840786883543115/801144536893882368/20210119_184201.jpg] 

[19.1.2021 | 18:42:31] [Grylled]: takie cóś na przykład 

[19.1.2021 | 18:43:19] [_Zack_]: to mnie u mnie gość rysował ludzi tylko 

[19.1.2021 | 18:43:27] [_Zack_]: naszą nauczycielke narysował 

[19.1.2021 | 18:43:30] [_Zack_]: też 

[19.1.2021 | 18:43:37] [Grylled]: nieźle 

[19.1.2021 | 18:43:59] [_Zack_]: ale twoje też są kox 

[19.1.2021 | 18:44:8] [_Zack_]: tylko mi się przypomniało 

[19.1.2021 | 18:44:13] [Grylled]: spk 

[19.1.2021 | 19:24:13] [18seba03]: ja kiedyś lubiłem rysować plecaki znajomych z klasy 

[19.1.2021 | 19:30:50] [krasnal ogrodowy niko]: Ciekawe zajęcie nie powiem 

[19.1.2021 | 19:30:57] [krasnal ogrodowy niko]: Ja rysowałem karykatury 

[19.1.2021 | 19:31:2] [krasnal ogrodowy niko]: Takie patyk 

[19.1.2021 | 19:31:5] [krasnal ogrodowy niko]: Patyk 

[19.1.2021 | 19:31:10] [krasnal ogrodowy niko]: I koło 

[19.1.2021 | 19:34:6] [_Zack_]: a jajaja nie umiem 

[19.1.2021 | 19:43:22] [krasnal ogrodowy niko]: Też 

[19.1.2021 | 19:43:25] [krasnal ogrodowy niko]: Ale zaufaj 

[19.1.2021 | 19:43:35] [krasnal ogrodowy niko]: Patyki i kółka to najtrudniejszy styl rysowania 

