[16.1.2021 | 17:15:24] [Grylled]: tul!register "Kamil Kruk" KK!text 

[16.1.2021 | 17:16:45][Grylled]: tul!avatar "Kamil Kruk" [Image Link:https://cdn.discordapp.com/attachments/787780275483836426/800035828767522867/20200318_195108.jpg] 

[16.1.2021 | 17:16:57] [Grylled]: KK! Priviet 

[17.1.2021 | 15:6:17] [_Zack_]: tul!register Sven Aalto 

[17.1.2021 | 15:6:27] [_Zack_]: co za dzbanm 

[17.1.2021 | 15:6:51] [DoctorToxic]: tul!register 

[17.1.2021 | 15:7:2] [_Zack_]: tul!register "Sven Aalto" Sven:text 

[17.1.2021 | 15:7:12] [DoctorToxic]: tul!register Sukuna O:text 

[17.1.2021 | 15:7:33] [_Zack_]: Sven: hello 

[17.1.2021 | 15:8:10][DoctorToxic]: tul!avatar Sukuna [Image Link:https://cdn.discordapp.com/attachments/787780275483836426/800365855245467698/d24571ea7f2ebb5b55a29c22eca03ffe.jpg] 

[17.1.2021 | 15:8:20] [DoctorToxic]: O:hej 

[17.1.2021 | 15:8:33] [DoctorToxic]: O działa 

[17.1.2021 | 15:8:55][_Zack_]: tul!avatar Sven Aalto [Image Link:https://cdn.discordapp.com/attachments/787780275483836426/800366044761948200/d2a9964a7214e7d1fdddf5a1609d1a04.png] 

[17.1.2021 | 15:9:9] [_Zack_]: Sven: ***sram*** 

[17.1.2021 | 15:9:14] [_Zack_]: pięknie 

[27.1.2021 | 21:32:42][Last Rose Sneep]: Tul!avatar Moxie woost [Image Link:https://cdn.discordapp.com/attachments/787780275483836426/804086508151504906/jumex-recording.png] 

[27.1.2021 | 21:33:10] [Last Rose Sneep]: Tul!register moxie woost 

[27.1.2021 | 21:33:37] [Last Rose Sneep]: tul!register Moxie O:text 

[27.1.2021 | 21:34:17][Last Rose Sneep]: Tul!avatar moxie [Image Link:https://cdn.discordapp.com/attachments/787780275483836426/804086906870038598/jumex-recording.png] 

[27.1.2021 | 21:36:58] [Last Rose Sneep]: T:text 

[27.1.2021 | 21:38:57] [Last Rose Sneep]: tul!register Moxie mx:text 

[27.1.2021 | 21:39:55] [Last Rose Sneep]: O:text yo 

