[9.1.2021 | 23:19:23][emm]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/797590365922263090/c432be94c25975c44e44e916e4a9e7dc.jpg] 

[9.1.2021 | 23:19:26] [emm]: Oh here 

[9.1.2021 | 23:19:29] [emm]: Masło w kleju 

[9.1.2021 | 23:19:33] [emm]: <@630518766463221771> 

[9.1.2021 | 23:19:47] [piołun]: Jakie zajebiste 

[10.1.2021 | 22:19:48][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/797937763412344832/Screenshot_20210110_193905_com.miHoYo.GenshinImpact.jpg] 

[10.1.2021 | 22:19:54] [DoctorToxic]: Kim ty być 

[10.1.2021 | 22:20:38] [18seba03]: Ja czekam aż zdobędę Keqing 

[10.1.2021 | 22:22:44] [DoctorToxic]: Ja czekam aż wogole kogoś zdobędę ;-; 

[10.1.2021 | 22:22:56] [DoctorToxic]: Na ostatnim wish'u wypadły mi same bronie 

[10.1.2021 | 22:23:4] [DoctorToxic]: Teraz mam 6 Wishy 

[10.1.2021 | 22:23:7] [FiczetoX]: ||Co to za gra?|| 

[10.1.2021 | 22:23:14] [DoctorToxic]: Genshin Impact 

[10.1.2021 | 22:23:26] [FiczetoX]: A 

[11.1.2021 | 14:29:6][18seba03]: Ode mnie propozycja emotki na siłę tea ~~jestem ciekaw czy ktoś wie z czego ona jest xD~~ [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798181700429283378/images_30.jpeg] 

[11.1.2021 | 15:4:16] [Kishunia]: Wiem 

[11.1.2021 | 15:4:34] [Kishunia]: Rory Mercury. Pół bogimi z Gate'a 

[11.1.2021 | 15:4:46] [Kishunia]: W polskiej wersji, to Gate: wojna o brame 

[11.1.2021 | 15:4:50] [Kishunia]: <@303250741429272577> 

[11.1.2021 | 15:6:42] [18seba03]: jednak jeszcze jest nadzieja  w ludzkości. Propsy for you 

[11.1.2021 | 15:6:45] [18seba03]: <:SipTea:798186068364492830> 

[11.1.2021 | 15:7:45] [Kishunia]: Po prostu jestem otaku, zwany też mangozjebem 

[11.1.2021 | 15:8:9] [FiczetoX]: Może być emoji, czy za jasne? 

[11.1.2021 | 15:9:25] [tsuki]: Chyba ciut za zielone 

[11.1.2021 | 15:9:46] [Kishunia]: Tak 

[11.1.2021 | 15:9:54] [18seba03]: to racje deko za zielone jest 

[11.1.2021 | 15:9:57] [Kishunia]: Świeci się jak psu, jajca 

[11.1.2021 | 15:10:59][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798192239280652328/nieznane.png] 

[11.1.2021 | 15:11:4] [Kishunia]: Tu masz lepszą wersję 

[11.1.2021 | 15:11:4] [piołun]: Bez przecinka 

[11.1.2021 | 15:11:6][FiczetoX]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798192268397641815/1610372738734.png] 

[11.1.2021 | 15:11:29] [FiczetoX]: Przyciemnie trochę 

[11.1.2021 | 15:11:35] [FiczetoX]: Zaraz wracam 

[11.1.2021 | 15:11:45] [18seba03]: o to jest to co miałem na kompie a na telefonie znaleźć nie mogłem 

[11.1.2021 | 15:12:5] [Kishunia]: Wystarczy użyć funkcji szukaj z obiektywem google 

[11.1.2021 | 15:12:21][po prostu kaczka]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798192580684021760/20210111_150450.jpg] 

[11.1.2021 | 15:12:21] [po prostu kaczka]: Jajko 

[11.1.2021 | 15:12:21] [po prostu kaczka]: W misce 

[11.1.2021 | 15:12:22] [po prostu kaczka]: Jak debil 

[11.1.2021 | 15:12:33] [18seba03]: zbyt wielki zemnie upośledź by tego uzywać xD 

[11.1.2021 | 15:12:54][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798192720933683250/Screenshot_20210111-151213.png] 

[11.1.2021 | 15:13:7][FiczetoX]: Lepsze? [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798192777468968991/Polish_20210111_151242067.png] 

[11.1.2021 | 15:13:35] [piołun]: Nie 

[11.1.2021 | 15:13:49] [18seba03]: better than the previous one 

[11.1.2021 | 15:14:1] [18seba03]: nie lepiej zwykłej Rori wrzucić? 

[11.1.2021 | 15:14:2] [18seba03]: xd 

[11.1.2021 | 15:15:1] [FiczetoX]: Ok 

[11.1.2021 | 15:15:57] [Kishunia]: Nie? 

[11.1.2021 | 15:16:49] [Kishunia]: Masz kota z depresją 

[11.1.2021 | 15:16:51][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798193713469063208/nieznane.jpeg] 

[11.1.2021 | 15:17:47] [18seba03]: ale ten kot nie pije herbaty lub czegos innego 

[11.1.2021 | 15:17:53] [18seba03]: <:emoji_14:798193947553562684> 

[11.1.2021 | 15:17:57] [Kishunia]: Czk 

[11.1.2021 | 15:17:58] [Kishunia]: Poszukam 

[11.1.2021 | 15:18:7] [18seba03]: wiem że znajdziesz xD 

[11.1.2021 | 15:18:12] [Kishunia]: Jessica to istne źródło memów 

[11.1.2021 | 15:18:20] [Kishunia]: Większe niż lappland x texas 

[11.1.2021 | 15:18:53][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798194228131004439/nieznane.jpeg] 

[11.1.2021 | 15:19:18][FiczetoX]: Co do broni, może być? [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798194330149322792/Polish_20201226_234455553-1.jpg] 

[11.1.2021 | 15:30:19] [18seba03]: I widzisz, znalazłaś xd 

[11.1.2021 | 15:31:7] [18seba03]: ale myślałem żecoś w podobieństwie do Rory zjadziesz 

[13.1.2021 | 16:4:5][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798930376130035743/IMG_20210113_160218.jpg] 

[13.1.2021 | 16:4:8] [DoctorToxic]: Jak on ją trzyma xD 

[13.1.2021 | 16:4:22][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798930448402874429/IMG_20210113_160241.jpg] 

[13.1.2021 | 16:4:22] [krasnal ogrodowy niko]: XD 

[13.1.2021 | 16:4:25] [DoctorToxic]: Bruhhh 

[13.1.2021 | 16:14:30][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/798933000329887765/IMG_20210113_160215.jpg] 

[13.1.2021 | 16:24:24] [cheeto pizzerini]: co to za anime hhfhhshh' 

[13.1.2021 | 16:24:29] [cheeto pizzerini]: helga 

[13.1.2021 | 16:24:35] [Nazwa Uzytkownika]: eee3 

[13.1.2021 | 16:24:37] [cheeto pizzerini]: dawaj mi syna kurwa a nie 

[13.1.2021 | 16:24:37] [Nazwa Uzytkownika]: nie znam 

[13.1.2021 | 17:16:43] [DoctorToxic]: Vinland Saga 

[13.1.2021 | 17:16:52] [DoctorToxic]: Ale i tak mu syna urodziła 

[14.1.2021 | 14:28:41][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799268759901700116/IMG_20210114_142656.jpg] 

[14.1.2021 | 14:28:45] [DoctorToxic]: Co to suka powiedziała xD 

[14.1.2021 | 14:31:43] [piołun]: Co ty ogladasz xd 

[14.1.2021 | 15:0:35] [DoctorToxic]: Anime lmao 

[14.1.2021 | 15:3:18] [piołun]: Furrasy? 

[14.1.2021 | 15:16:25] [DoctorToxic]: Ni 

[14.1.2021 | 15:16:31] [DoctorToxic]: To była tylko taka scena pokazana 

[14.1.2021 | 16:42:2][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799302317169311824/IMG_20210114_164146.jpg] 

[14.1.2021 | 16:42:6] [DoctorToxic]: Dlaczego robisz taką mine 

[14.1.2021 | 16:42:9] [DoctorToxic]: Jesteś niemiły 

[14.1.2021 | 16:42:10] [DoctorToxic]: W chuj 

[14.1.2021 | 16:42:13] [DoctorToxic]: Nie lubię cię 

[14.1.2021 | 16:42:15] [krasnal ogrodowy niko]: XDDDDDDD 

[14.1.2021 | 16:42:43] [krasnal ogrodowy niko]: cały fandom: o Jezu Victor bogiem 
Diablo: nie lubię cię, jesteś niemiły 

[14.1.2021 | 16:42:52] [DoctorToxic]: Yes xD 

[14.1.2021 | 16:43:2] [DoctorToxic]: I'm different 

[14.1.2021 | 16:45:13] [cheeto pizzerini]: Też go nie lubię 

[14.1.2021 | 16:45:19] [cheeto pizzerini]: Irytujacy jest 

[14.1.2021 | 16:45:23] [DoctorToxic]: ALE POCISNĄŁ GDY SIĘ DOWIEDZIAŁ ŻE WIKTOR JEST W GORĄCYCH ŹRÓDŁACH 

[14.1.2021 | 16:45:25] [DoctorToxic]: XDDDD 

[14.1.2021 | 16:45:31] [DoctorToxic]: ALE DAŁ GAZU 

[14.1.2021 | 16:45:43] [DoctorToxic]: Oh my soul 

[14.1.2021 | 16:46:30][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799303441897881630/IMG_20210114_164607.jpg] 

[14.1.2021 | 16:46:33] [DoctorToxic]: Święte poślady prawy 

[14.1.2021 | 16:47:41] [cheeto pizzerini]: Płaskie 

[14.1.2021 | 16:47:55] [cheeto pizzerini]: Trocge 

[14.1.2021 | 16:49:14] [DoctorToxic]: Nie narzekam 

[14.1.2021 | 16:55:14] [krasnal ogrodowy niko]: XD 

[14.1.2021 | 16:57:25] [DoctorToxic]: XD 

[14.1.2021 | 17:39:12][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799316704563822592/IMG_20210114_173853.jpg] 

[14.1.2021 | 17:39:15] [DoctorToxic]: Typeczku gdzie ty siadasz 

[14.1.2021 | 17:39:53] [krasnal ogrodowy niko]: Ejeje 

[14.1.2021 | 17:39:56] [krasnal ogrodowy niko]: Co ty oglądasz 

[14.1.2021 | 17:43:52] [DoctorToxic]: Number 24 

[14.1.2021 | 17:44:0] [DoctorToxic]: Nie yaoi ani shounen ai 

[14.1.2021 | 17:50:17][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799319493960663090/IMG_20210114_174947.jpg] 

[14.1.2021 | 17:50:22] [DoctorToxic]: Mój mózg krzyczy 

[14.1.2021 | 17:50:33] [DoctorToxic]: Proszę nadepnij na mnie 

[14.1.2021 | 23:22:0][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799402973297115156/IMG20210113215342.jpg] 

[14.1.2021 | 23:52:28] [FiczetoX]: "Agonia" 

[14.1.2021 | 23:52:55] [FiczetoX]: Mi się udało raz dać Ćakro i zaliczyło 

[15.1.2021 | 11:45:17][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799590026257104896/IMG20210115114433.jpg] 

[15.1.2021 | 11:45:17] [krasnal ogrodowy niko]: <@691924849458806794> 

[15.1.2021 | 11:45:22] [krasnal ogrodowy niko]: Co teraz 

[15.1.2021 | 11:45:55] [FiczetoX]: Nie-premium 

[15.1.2021 | 11:46:16] [FiczetoX]: <@697153934246150185> 

[15.1.2021 | 11:47:45][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799590649644187658/IMG20210115114653.jpg] 

[15.1.2021 | 11:47:56] [krasnal ogrodowy niko]: Jak zmienić skin 

[15.1.2021 | 11:48:23] [FiczetoX]: Zgaduję, że przyciskiem zmień skina 

[15.1.2021 | 11:54:21] [FiczetoX]: To jest l czy I 

[15.1.2021 | 11:54:39] [krasnal ogrodowy niko]: Co? 

[15.1.2021 | 11:55:34] [FiczetoX]: W twoim nicku to jest L czy i 

[15.1.2021 | 11:57:44] [krasnal ogrodowy niko]: I 

[15.1.2021 | 11:57:52] [FiczetoX]: Dzięki 

[15.1.2021 | 11:58:4] [FiczetoX]: Nadal nie wiem 

[15.1.2021 | 11:59:7][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799593506204155914/IMG20210115115735.jpg] 

[15.1.2021 | 11:59:7] [krasnal ogrodowy niko]: Co teraz 

[15.1.2021 | 11:59:46] [FiczetoX]: Będziesz miał ten skin, bo taki nick wybrałes 

[15.1.2021 | 11:59:55] [FiczetoX]: Bo nie masz konta 

[15.1.2021 | 12:0:9] [FiczetoX]: W ogóle dodać bota wyświetlającego skiny? 

[15.1.2021 | 12:0:19] [FiczetoX]: (Tak, jest taki) 

[15.1.2021 | 12:1:28] [krasnal ogrodowy niko]: Japierdole co za gówno 

[15.1.2021 | 12:2:4] [FiczetoX]: Zmień nick, to zmieni ci się skin 

[15.1.2021 | 12:2:18][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/799594308671504404/IMG20210115120119.jpg] 

[15.1.2021 | 12:2:29] [krasnal ogrodowy niko]: Co ja mam teraz kurwa zrobić 

[15.1.2021 | 12:2:42] [FiczetoX]: Zostań z tym skinem po prostu 

[15.1.2021 | 12:2:55] [FiczetoX]: Dodać tego bota? 

[15.1.2021 | 12:3:5] [krasnal ogrodowy niko]: A co ja mam teraz zrobić 

[15.1.2021 | 12:3:39] [FiczetoX]: Anuluj i naciśnij graj 

[15.1.2021 | 14:22:20] [_Zack_]: Co to Jest W gl 

[15.1.2021 | 14:23:39] [krasnal ogrodowy niko]: Crystal launcher 

[15.1.2021 | 14:24:25] [_Zack_]: Co r9 robi 

[15.1.2021 | 14:24:36] [krasnal ogrodowy niko]: Można grać w Minecrafta za darmo 

[15.1.2021 | 14:24:52] [_Zack_]: Aha 

[15.1.2021 | 14:24:56] [_Zack_]: To jakieś pirackie 

[15.1.2021 | 14:25:5] [krasnal ogrodowy niko]: Nie wiem, chyba jest e 

[15.1.2021 | 14:25:8] [krasnal ogrodowy niko]: *nir 

[15.1.2021 | 14:25:9] [krasnal ogrodowy niko]: Nie znam się 

[15.1.2021 | 14:43:58] [18seba03]: Minecrafta nie da się piracic bo mojang nic do tego nie ma 

[15.1.2021 | 15:15:22] [_Zack_]: No i tracą 

[15.1.2021 | 15:15:30] [_Zack_]: Bo to nie są kupione wersje 

[15.1.2021 | 15:27:41] [18seba03]: Szczerze i tak dużo zarobili na Minecraft na grze która ciągle jest kupowana, + ludzie kupujący Mienceaft realms lub pelerynki 

[15.1.2021 | 15:51:46] [_Zack_]: No dobra ale mogliby zarobić więcej zawsze nie 

[15.1.2021 | 19:8:48] [18seba03]: Niby ta ale kto zrozumie Mojang 

[15.1.2021 | 19:10:37] [Kishunia]: Microsoft 

[15.1.2021 | 19:10:45] [Kishunia]: Które kupiło Mojang 

[15.1.2021 | 19:13:15] [18seba03]: Szczerze to Microsoft ma w dupie Minecrafta xD, w bedrock ~~shit~~ edition szczerze to dodają to co do Javy chce Mojang dodawać So 

[17.1.2021 | 13:36:50] [krasnal ogrodowy niko]: XDDDD 

[17.1.2021 | 13:38:53] [DoctorToxic]: Ey pomóż 

[17.1.2021 | 13:38:56] [DoctorToxic]: Niko 

[17.1.2021 | 13:38:58] [DoctorToxic]: Niko 

[17.1.2021 | 13:39:43] [DoctorToxic]: AAAAAAaaaAAaAaaaAaAaaaaAaaaaAaaaaaAAAAAAAAAaa 

[17.1.2021 | 13:42:26][Grylled]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/800344279360339968/240px-Strong_Europe_Tank_Challenge_2018_42778023551.jpg] 

[17.1.2021 | 13:43:28] [Grylled]: *Slaps T-80* This boi can fit so much battles in it 

