[21.1.2021 | 11:17:6][SOKOLEK]: ``21.01.2021``

**__Ciekawostka #12__**

**Zjedzenie dwóch burgerów jest lepsze dla organizmu, niż zjedzenie jednego burgera z frytkami.** [Image Link:https://cdn.discordapp.com/attachments/782316012866633729/801757262095450112/ciekawostki.png] 

[21.1.2021 | 11:28:47] [👑 _PRYMEK_ 👑]: XD 

[21.1.2021 | 11:29:4] [👑 _PRYMEK_ 👑]: `TERAZ TEN KANAŁ PROWADZI SOKOLE OKO` 

[21.1.2021 | 11:29:10] [👑 _PRYMEK_ 👑]: undefined 

[21.1.2021 | 11:29:40] [Stasiek]: xd będę zawsze kupował 2 x 

[21.1.2021 | 11:29:42] [Stasiek]: d 

[21.1.2021 | 11:29:47] [👑 _PRYMEK_ 👑]: XD 

[21.1.2021 | 14:35:50] [SOKOLEK]: ``21.01.2021``

**__Ciekawostka #13__**

**Utwór rosyjskiego kompozytora Piotra Czajkowskiego "Rok 1812" zakłada wykorzystywanie w trakcie koncertu dział artyleryjskich jako instrumentów muzycznych.** 

[21.1.2021 | 14:36:41][SOKOLEK]: ``21.01.2021``

**__Ciekawostka #13__**

**Utwór rosyjskiego kompozytora Piotra Czajkowskiego "Rok 1812" zakłada wykorzystywanie w trakcie koncertu dział artyleryjskich jako instrumentów muzycznych.** [Image Link:https://cdn.discordapp.com/attachments/782316012866633729/801807487681429504/ciekawostki.png] 

[21.1.2021 | 14:36:47] [SOKOLEK]: https://media.discordapp.net/attachments/783291197707517973/794218930972524554/swietlik.gif 

[21.1.2021 | 15:1:42] [👑 _PRYMEK_ 👑]: XD nie ma innego komentarza 

[21.1.2021 | 15:14:0] [SOKOLEK]: XD 

[24.1.2021 | 13:6:12][SOKOLEK]: ``24.01.2021``

**__Ciekawostka #15__**

**Joe Biden wybrał transpłciową kobietę na zastępczynię sekretarza zdrowia.** [Image Link:https://cdn.discordapp.com/attachments/782316012866633729/802871879349174322/ciekawostki.png] 

[24.1.2021 | 13:6:30] [SOKOLEK]: https://media.discordapp.net/attachments/783291197707517973/794218930972524554/swietlik.gif 

[26.1.2021 | 12:11:5][SOKOLEK]: ``26.01.2021``

**__Ciekawostka #16__**

**Postacie Pokemon Hitmonlee i Hitmonchan zostały nazwane na część Bruce'a Lee i Jackle Chans.** [Image Link:https://cdn.discordapp.com/attachments/782316012866633729/803582784656113684/ciekawostki.png] 

[28.1.2021 | 9:44:16] [Kokichi✔]: <@!607951368413773824> wznowisz aktywność kanału?? 

[28.1.2021 | 9:46:31] [SOKOLEK]: dobra 

[28.1.2021 | 9:48:37][SOKOLEK]: ``28.01.2021``

**__Ciekawostka #17__**

**Harry Potter wraca! HBO stworzy serial na podstawie cyklu powieści o legendarnym czarodzieju.** [Image Link:https://cdn.discordapp.com/attachments/782316012866633729/804271710672388116/ciekawostki.png] 

