[18.1.2021 | 15:56:54] [👑 _PRYMEK_ 👑]: Czy chcecie konkursy boosterów serwera? 

[18.1.2021 | 15:57:0] [👑 _PRYMEK_ 👑]: <@&782162414278803479> 

[18.1.2021 | 15:58:19] [Kokichi✔]: a na czym będą polegały <@!689129555549618269> 

[18.1.2021 | 15:58:48] [bart.bruk]: o co w nich będzie chodzić ? 

[18.1.2021 | 16:0:25] [👑 _PRYMEK_ 👑]: Że robię konkurs ale tylko boosterzy mogą wziąć udział 

[18.1.2021 | 16:1:45] [Kokichi✔]: tylko 3 osoby??? 

[18.1.2021 | 16:1:53] [Kokichi✔]: lol słabo trochę 

[18.1.2021 | 16:2:3] [👑 _PRYMEK_ 👑]: 4 

[18.1.2021 | 16:2:3] [Kokichi✔]: może jak będzie więcej 

[18.1.2021 | 16:2:14] [👑 _PRYMEK_ 👑]: Mamy 4 boosty 

[18.1.2021 | 16:2:16] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[18.1.2021 | 16:2:19] [Kokichi✔]: a no tak 

[18.1.2021 | 16:2:22] [Kokichi✔]: 4 

[18.1.2021 | 16:2:30] [Kokichi✔]: to też trochu słabo 

[18.1.2021 | 16:2:35] [👑 _PRYMEK_ 👑]: Na czat 

[18.1.2021 | 16:2:36] [👑 _PRYMEK_ 👑]: Nie tu 

[18.1.2021 | 16:2:43] [Kokichi✔]: ok 

[18.1.2021 | 16:3:3] [Kokichi✔]: !purge 16 

[21.1.2021 | 9:15:38] [SOKOLEK]: Czy chcecie że <@!689129555549618269> nagrał stream z GTA Online napady? 

[21.1.2021 | 9:18:26] [👑 _PRYMEK_ 👑]: Ok wsm ok 

[21.1.2021 | 14:55:23] [SOKOLEK]: Zbanujemy raczka? pls weźcie go 

