[18.1.2021 | 15:59:24] [bart.bruk]: owo daily 

[18.1.2021 | 15:59:27] [bart.bruk]: owoh 

[18.1.2021 | 15:59:31] [bart.bruk]: owohb 

[18.1.2021 | 15:59:41] [bart.bruk]: owob 

[18.1.2021 | 15:59:55] [bart.bruk]: owoh 

[18.1.2021 | 15:59:58] [bart.bruk]: owohb 

[18.1.2021 | 16:0:4] [bart.bruk]: owohb 120 

[18.1.2021 | 16:0:13] [bart.bruk]: owohb 120 ceaeh 

[18.1.2021 | 16:0:18] [bart.bruk]: owob 

[18.1.2021 | 16:0:22] [bart.bruk]: owoh 

[18.1.2021 | 16:0:25] [bart.bruk]: owob 

[18.1.2021 | 16:0:29] [bart.bruk]: owob 

[18.1.2021 | 16:0:30] [bart.bruk]: owob 

[18.1.2021 | 16:0:33] [bart.bruk]: woo 

[18.1.2021 | 16:0:36] [bart.bruk]: owoh 

[18.1.2021 | 16:0:39] [bart.bruk]: owoh 

[18.1.2021 | 16:0:40] [👑 _PRYMEK_ 👑]: Owo 

[18.1.2021 | 16:0:42] [bart.bruk]: owob 

[18.1.2021 | 16:0:45] [👑 _PRYMEK_ 👑]: Owob 

[18.1.2021 | 16:0:47] [bart.bruk]: owolb all 

[18.1.2021 | 16:0:51] [bart.bruk]: owowc all 

[18.1.2021 | 16:0:57] [👑 _PRYMEK_ 👑]: Owo team elephant 

[18.1.2021 | 16:1:8] [👑 _PRYMEK_ 👑]: A idź w cholere z tym botem 

[18.1.2021 | 16:1:12] [bart.bruk]: owo zoo 

[18.1.2021 | 16:1:34] [👑 _PRYMEK_ 👑]: Ten bot to gówno 

[18.1.2021 | 16:1:37] [👑 _PRYMEK_ 👑]: Nie ogarniam go wogle 

[18.1.2021 | 16:1:42] [👑 _PRYMEK_ 👑]: Idę na ekonomid 

[18.1.2021 | 16:1:44] [👑 _PRYMEK_ 👑]: XS 

[18.1.2021 | 16:3:43] [bart.bruk]: owoh 

[18.1.2021 | 16:3:45] [bart.bruk]: owob 

[19.1.2021 | 9:38:57] [Kokichi✔]: owo daily 

[19.1.2021 | 9:39:8] [Kokichi✔]: owoh 

[19.1.2021 | 9:39:15] [Kokichi✔]: owodaily 

[19.1.2021 | 9:53:16] [𝖘𝖙𝖆𝖈𝖍]: !bal 

