[18.1.2021 | 8:38:38] [Stasiek]: elooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooeloooooooooooooo 

[18.1.2021 | 8:38:43] [Stasiek]: elooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooeloooooooooooooo 

[18.1.2021 | 8:53:47] [Stasiek]: elooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooelooooooooooooooeloooooooooooooo 

[19.1.2021 | 15:40:29] [👑 _PRYMEK_ 👑]: R
J 

[19.1.2021 | 15:40:30] [👑 _PRYMEK_ 👑]: JTTTRYT 

[19.1.2021 | 15:40:30] [👑 _PRYMEK_ 👑]: YJ 

[19.1.2021 | 15:40:31] [👑 _PRYMEK_ 👑]: YT 

[19.1.2021 | 15:40:31] [👑 _PRYMEK_ 👑]: YTYJ 

[19.1.2021 | 15:40:31] [👑 _PRYMEK_ 👑]: JY 

[19.1.2021 | 15:40:32] [👑 _PRYMEK_ 👑]: TY 

[19.1.2021 | 15:40:32] [👑 _PRYMEK_ 👑]: GSR 

[19.1.2021 | 15:40:32] [👑 _PRYMEK_ 👑]: HETTRTJ 

[19.1.2021 | 15:40:33] [👑 _PRYMEK_ 👑]: HT 

[19.1.2021 | 15:40:39] [👑 _PRYMEK_ 👑]: RTJ 

[19.1.2021 | 15:40:40] [👑 _PRYMEK_ 👑]: RTRJ 

[19.1.2021 | 15:40:41] [👑 _PRYMEK_ 👑]: JY 

[19.1.2021 | 15:40:41] [👑 _PRYMEK_ 👑]: J 

[19.1.2021 | 15:40:42] [👑 _PRYMEK_ 👑]: Y 

[19.1.2021 | 15:40:42] [👑 _PRYMEK_ 👑]: J 

[19.1.2021 | 15:40:43] [👑 _PRYMEK_ 👑]: RJ 

[19.1.2021 | 15:40:43] [👑 _PRYMEK_ 👑]: T 

[19.1.2021 | 15:40:44] [👑 _PRYMEK_ 👑]: TRJ 

[19.1.2021 | 15:40:44] [👑 _PRYMEK_ 👑]: J 

[19.1.2021 | 15:40:50] [👑 _PRYMEK_ 👑]: J 

[19.1.2021 | 15:40:50] [👑 _PRYMEK_ 👑]: T 

