[20.1.2021 | 16:5:54] [YEET]: --battle <@493063414671998989> 

[20.1.2021 | 16:8:38] [👑 _PRYMEK_ 👑]: --battle <@585455545318899742> 

[25.1.2021 | 11:9:18] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: --battle <@!640099079019429889> 

[25.1.2021 | 11:9:21] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xd 

[25.1.2021 | 11:9:52] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: --battle <@!639159459008086026> 

[25.1.2021 | 11:9:59] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: władca wygra 

[25.1.2021 | 11:10:6] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: bo jest władcą xd 

[25.1.2021 | 11:10:14] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no i pyk 

[25.1.2021 | 12:57:15] [XeeMee]: --battle <@!581373577404874752> 

[25.1.2021 | 12:58:20] [XeeMee]: WIn 

[25.1.2021 | 12:58:25] [XeeMee]: Win 

[26.1.2021 | 11:32:8] [XeeMee]: --battle <@!790508375019356160> 

[26.1.2021 | 11:32:39] [XeeMee]: nieeee 

[26.1.2021 | 11:33:1] [bart.bruk]: hihi 

[26.1.2021 | 12:31:33] [XeeMee]: --battle <@!787616139375018035> 

[26.1.2021 | 15:7:40] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: --battle <@!695590947630743635> 

[26.1.2021 | 15:8:20] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: --battle <@!801091172235477042> 

