[18.1.2021 | 8:59:7] [Stasiek]: !uzyjlosa 

[18.1.2021 | 10:7:47] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[18.1.2021 | 15:7:41] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 15:7:45] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 16:7:18] [Kokichi✔]: !UZYJLOSA 

[18.1.2021 | 16:7:29] [👑 _PRYMEK_ 👑]: <:keekw:761295533045448725> 

[18.1.2021 | 16:8:16] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 16:8:22] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 16:8:28] [👑 _PRYMEK_ 👑]: <:keekw:761295533045448725> 

[18.1.2021 | 16:8:31] [👑 _PRYMEK_ 👑]: <:ff:797818002593546280> 

[18.1.2021 | 16:8:40] [Kokichi✔]: k*rwa 

[18.1.2021 | 16:8:47] [Kokichi✔]: 300k w plecy 

[18.1.2021 | 16:9:37] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 16:9:42] [Kokichi✔]: o lol 

[18.1.2021 | 16:9:46] [Kokichi✔]: <@!689129555549618269> 

[18.1.2021 | 16:10:22] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[18.1.2021 | 16:10:25] [👑 _PRYMEK_ 👑]: Daj se hajs 

[18.1.2021 | 16:10:39] [bart.bruk]: jak wszystkie zrobie 

[18.1.2021 | 16:10:50] [bart.bruk]: komendy 

[18.1.2021 | 16:10:55] [bart.bruk]: to też losa kupie 

[18.1.2021 | 16:11:12] [bart.bruk]: mówię wam 

[18.1.2021 | 16:11:41] [bart.bruk]: !uzyjlosa 

[18.1.2021 | 16:11:44] [bart.bruk]: heh 

[18.1.2021 | 16:12:37] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 16:13:29] [bart.bruk]: !uzyjlosa 

[18.1.2021 | 16:13:39] [bart.bruk]: <:keekw:761295533045448725> 

[18.1.2021 | 16:13:42] [bart.bruk]: <@!689129555549618269> 

[18.1.2021 | 16:14:36] [bart.bruk]: !uzyjlosa 

[18.1.2021 | 16:14:58] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 16:28:11] [Kokichi✔]: !uzyjlosa 

[18.1.2021 | 19:1:8] [SOKOLEK]: !uzyjlosa 

[19.1.2021 | 9:27:5] [bart.bruk]: !uzyjlosa 

[19.1.2021 | 9:27:30] [bart.bruk]: !uzyjlosa 

[19.1.2021 | 12:43:27] [Kokichi✔]: !uzyjlosa 

[19.1.2021 | 14:43:18] [𝖘𝖙𝖆𝖈𝖍]: !uzyjlosa 

[19.1.2021 | 14:43:19] [𝖘𝖙𝖆𝖈𝖍]: !uzyjlosa 

[19.1.2021 | 19:15:32] [🥵Lidzia❤]: !uzyjlosa 

[21.1.2021 | 9:31:42] [Kokichi✔]: !uzyjlosa 

[21.1.2021 | 9:31:46] [Kokichi✔]: !uzyjlosa 

[22.1.2021 | 10:42:31] [bart.bruk]: !uzyjlosa 

[22.1.2021 | 10:42:44] [Kokichi✔]: !uzyjlosa 

[22.1.2021 | 10:42:48] [Kokichi✔]: kurde 

[22.1.2021 | 11:28:31] [SOKOLEK]: !uzyjlosa 

[22.1.2021 | 12:14:47] [Kokichi✔]: !uzyjlosa 

[22.1.2021 | 12:17:21] [SOKOLEK]: !uzyjlos 

[22.1.2021 | 12:26:11] [❤_Nezuko Kamado_❤]: !uzyjlosa 

[23.1.2021 | 16:45:32] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[23.1.2021 | 16:45:36] [👑 _PRYMEK_ 👑]: No nie 

[23.1.2021 | 21:17:25] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[23.1.2021 | 21:17:58] [👑 _PRYMEK_ 👑]: !uzyjlosa 

