[18.1.2021 | 9:55:48] [Boberełełe]: undefined 

[18.1.2021 | 9:57:44] [👑 _PRYMEK_ 👑]: ! add-money bank <@692081730508685312> 25000000 

[18.1.2021 | 9:57:48] [👑 _PRYMEK_ 👑]: Proszę 

[19.1.2021 | 9:25:39] [𝖘𝖙𝖆𝖈𝖍]: undefined 

[19.1.2021 | 9:50:25] [👑 _PRYMEK_ 👑]: ! add-money bank <@776502980814962738> 25000000 

[21.1.2021 | 18:31:13] [BlackSvko]: undefined 

[25.1.2021 | 16:17:20] [imLebbbyyy_]: undefined 

[25.1.2021 | 16:33:12] [👑 _PRYMEK_ 👑]: @here
Bardzo dziękuję <:love:797845104177315870> 

[25.1.2021 | 16:34:22] [👑 _PRYMEK_ 👑]: (klikajcie emotkę pod wpisem <:emoji_11:781990385257414686> ) 

[28.1.2021 | 19:29:16] [👑 _PRYMEK_ 👑]: @everyone 
**Teraz każda osoba która da boosta dostaje 25mln i własny kanał głosowy (dostęp) ponieważ nie możemy stracić lvl** 

