[18.1.2021 | 16:16:17] [👑 _PRYMEK_ 👑]: <@&710547722192683058> 

[18.1.2021 | 16:16:42] [Kokichi✔]: ?? 

[18.1.2021 | 16:16:47] [👑 _PRYMEK_ 👑]: Kto chce mi pomóc o ekonomii napisać na pv bo muszę to z kimś przedeskutować. 

[18.1.2021 | 16:17:8] [Kokichi✔]: jA mg 

[18.1.2021 | 16:17:21] [👑 _PRYMEK_ 👑]: Pv 

[18.1.2021 | 16:18:31] [🥵Lidzia❤]: Ja mg 

[19.1.2021 | 12:34:19] [👑 _PRYMEK_ 👑]: <@&710547722192683058> 
Dzk wam wygraliśmy z hakerem a głównie dzk <@790508375019356160> i kokichiemu czyli jesteśmy silnijeszi od hakerów 

[19.1.2021 | 12:35:18] [Rekin]: ok 

[19.1.2021 | 12:36:6] [👑 _PRYMEK_ 👑]: Jestem dumny z naszej administracji 

[19.1.2021 | 17:12:23] [🥵Lidzia❤]: <@&710547722192683058> 

[20.1.2021 | 12:3:31] [👑 _PRYMEK_ 👑]: <@&710547722192683058> 

[20.1.2021 | 12:3:40] [👑 _PRYMEK_ 👑]: Dzisiaj lecą dwa lub jeden awansik 

[20.1.2021 | 12:4:43] [🥵Lidzia❤]: Ok 

[21.1.2021 | 9:4:42] [Kokichi✔]: <@!689129555549618269> nie masz w ustawieniach ról odporność na ustawienia kanałów? 

[21.1.2021 | 9:5:7] [Kokichi✔]: albo coś takiego?? 

[21.1.2021 | 9:9:26] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[21.1.2021 | 9:9:28] [👑 _PRYMEK_ 👑]: Tak 

[21.1.2021 | 9:9:34] [👑 _PRYMEK_ 👑]: Już git zrobiłeś 

[21.1.2021 | 9:10:45] [Kokichi✔]: woohoo 

[21.1.2021 | 9:11:4] [Kokichi✔]: o a wiem chyba jak to zrobić by widzieć 

[21.1.2021 | 9:12:12] [Kokichi✔]: jak dałbyś mi na chwilę rolę większą niż mod z dostępem do ról to bym pomógł 

[21.1.2021 | 9:12:27] [Kokichi✔]: większą niż mod bym modowi też ustawił 

[21.1.2021 | 9:13:56] [Kokichi✔]: jak się boisz to możemy pogadać na głosowym by zweryfikować moją tożsamość 

[21.1.2021 | 9:14:58] [👑 _PRYMEK_ 👑]: Ale jest zaznaczone 

[21.1.2021 | 9:15:5] [👑 _PRYMEK_ 👑]: Pokazać ci ss 

[21.1.2021 | 9:15:27] [Kokichi✔]: ale rola z dostępem do kanałów też 

[21.1.2021 | 9:15:48] [Kokichi✔]: bo to może być wina kanału 

[21.1.2021 | 9:16:28] [Kokichi✔]: <@!689129555549618269> 

[21.1.2021 | 9:18:47] [👑 _PRYMEK_ 👑]: Czk mam lekcje 

[21.1.2021 | 9:18:47] [👑 _PRYMEK_ 👑]: Ok 

[21.1.2021 | 16:15:42] [❤_Nezuko Kamado_❤]: <@!689129555549618269> straciliśmy boostera 

[21.1.2021 | 16:15:51] [❤_Nezuko Kamado_❤]: za kilka dni zniknie boost 

[21.1.2021 | 16:36:16] [👑 _PRYMEK_ 👑]: Ale on i tak wcześniej wyszedł i już nie miał odznaki 

[21.1.2021 | 16:36:24] [👑 _PRYMEK_ 👑]: Także spoko mamy 4 boosty 

