[17.1.2021 | 14:46:24] [👑 _PRYMEK_ 👑]: @everyone 
Dzisiaj min. 2 partnestwa 

[19.1.2021 | 15:46:42] [👑 _PRYMEK_ 👑]: <@&781809800756330527> 
Dzisiaj po 3 partnesrtwa 

[19.1.2021 | 15:47:27] [Rekin]: <a:Klaps:789077328574808085> 

[19.1.2021 | 15:55:54] [Rekin]: Zrobię więcej 

[19.1.2021 | 15:55:56] [Rekin]: Oitem 

[19.1.2021 | 15:55:59] [Rekin]: Potem 

[19.1.2021 | 18:11:45] [Stasiek]: ja wczoraj tyle zrobiłem:d 

[19.1.2021 | 18:46:15] [👑 _PRYMEK_ 👑]: Ale dzisiaj 

[21.1.2021 | 9:50:26] [Stasiek]: no 7 partnerstw dzisiaj 

[22.1.2021 | 10:54:8] [Stasiek]: ukończyłem dzisiejszy cel 

[22.1.2021 | 11:19:14] [👑 _PRYMEK_ 👑]: Najs 

[24.1.2021 | 14:48:55] [👑 _PRYMEK_ 👑]: @everyone 
Od dzisiaj każdy kto jest na serwie raczqa ma wyjść lub zostanie zdegradowany lub brak awansu ponieważ chciał na też zniszczyć serwer ale i tak by mu się to nie udało 

[24.1.2021 | 14:48:59] [👑 _PRYMEK_ 👑]: Każdy 

[24.1.2021 | 14:49:53] [👑 _PRYMEK_ 👑]: Raczeq dzisiaj przesadził 

[24.1.2021 | 14:52:6] [Stasiek]: ja też:( 1 raz zawiodę swoją prace😢😢 

[24.1.2021 | 14:52:36] [👑 _PRYMEK_ 👑]: W sensie opuszczasz czy nie? 

[24.1.2021 | 14:53:5] [Stasiek]: a ja wiem 

[24.1.2021 | 14:53:10] [Stasiek]: raczej tak 

[24.1.2021 | 14:53:40] [👑 _PRYMEK_ 👑]: Dobra opuszczasz czy nie jak tak to zrób ss lub film że opuściłeś 

[24.1.2021 | 14:53:47] [👑 _PRYMEK_ 👑]: Bo dzisiaj 

[24.1.2021 | 14:53:50] [👑 _PRYMEK_ 👑]: On przesadził 

[24.1.2021 | 14:53:50] [Stasiek]: wale pożegnania i wychodzę 

[24.1.2021 | 14:54:1] [👑 _PRYMEK_ 👑]: Ok 

[24.1.2021 | 14:54:2] [👑 _PRYMEK_ 👑]: Daj ss 

[24.1.2021 | 14:54:11] [👑 _PRYMEK_ 👑]: Lub film 

[24.1.2021 | 14:54:51] [Stasiek]: nie ma 

[24.1.2021 | 14:54:52][Stasiek]: undefined [Image Link:https://cdn.discordapp.com/attachments/782251713117421568/802899229961748480/unknown.png] 

[24.1.2021 | 14:54:58] [Stasiek]: znikło 

[26.1.2021 | 10:0:53] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: <@&781809800756330527>  dzisiaj minimum 2 

[27.1.2021 | 12:21:41] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: popieram wspólnika kochanego 😄 

