[16.1.2021 | 20:26:6] [🥵Lidzia❤]: !add-money <@!763675745951678474> 5000 

[16.1.2021 | 20:27:20] [🥵Lidzia❤]: !add-money <@564061194907025448> 5000 

[16.1.2021 | 20:27:54] [🥵Lidzia❤]: !add-money <@!790508375019356160> 5000 

[16.1.2021 | 20:28:0] [Free boy]: !dep all 

[16.1.2021 | 20:28:7] [🥵Lidzia❤]: !add-money <@!745537238640623616> 5000 

[16.1.2021 | 20:28:22] [🥵Lidzia❤]: !add-money <@689129555549618269> 10000 

[16.1.2021 | 20:28:38] [🥵Lidzia❤]: !add-money <@!695590947630743635> 10000 

[16.1.2021 | 20:28:54] [🥵Lidzia❤]: !add-money <@741760785608605726> 20000 

[16.1.2021 | 20:29:13] [🥵Lidzia❤]: !add-money <@692757398795845663> 25000 

[16.1.2021 | 20:29:29] [🥵Lidzia❤]: !with all 

[16.1.2021 | 20:29:42] [🥵Lidzia❤]: !give <@689129555549618269> all 

[16.1.2021 | 20:29:46] [👑 _PRYMEK_ 👑]: !dep all 

[16.1.2021 | 20:29:49] [👑 _PRYMEK_ 👑]: Dzk <@695590947630743635> 

[16.1.2021 | 20:29:54] [🥵Lidzia❤]: Spoczko 

[17.1.2021 | 21:12:13] [arbuz lol 2]: !crime 

[17.1.2021 | 21:12:20] [arbuz lol 2]: !slut 

[17.1.2021 | 21:12:26] [arbuz lol 2]: !work 

[17.1.2021 | 21:12:35] [arbuz lol 2]: !dep all 

[17.1.2021 | 21:43:2] [🥵Lidzia❤]: !dep all 

[17.1.2021 | 21:43:6] [🥵Lidzia❤]: !bal 

[17.1.2021 | 21:43:11] [🥵Lidzia❤]: !work 

[17.1.2021 | 21:43:16] [🥵Lidzia❤]: !crime 

[17.1.2021 | 21:43:20] [🥵Lidzia❤]: !slut 

[17.1.2021 | 21:43:32] [🥵Lidzia❤]: !give <@!581373577404874752> all 

[18.1.2021 | 8:56:44] [Stasiek]: !bal 

[18.1.2021 | 8:57:18] [Stasiek]: !bal <@!581373577404874752> 

[18.1.2021 | 8:57:24] [Stasiek]: ... 

[18.1.2021 | 8:57:28] [Stasiek]: !top 

[18.1.2021 | 8:57:42] [Stasiek]: ............................................................................................................ 

[18.1.2021 | 8:57:57] [Stasiek]: !with 40000 

[18.1.2021 | 8:58:6] [Stasiek]: !buy loss 

[18.1.2021 | 8:58:17] [Stasiek]: ? 

[18.1.2021 | 8:58:21] [Stasiek]: !shop 

[18.1.2021 | 8:58:30] [Stasiek]: !shop2 

[18.1.2021 | 8:58:46] [Stasiek]: !with 20000 

[18.1.2021 | 8:58:54] [Stasiek]: !buy los 

[18.1.2021 | 8:59:23] [Stasiek]: no kurwwwwwwwwwww 

[18.1.2021 | 8:59:32] [Stasiek]: <@!689129555549618269>  dawaj 25k 

[18.1.2021 | 8:59:39] [Stasiek]: wylosowałem3 

[18.1.2021 | 9:19:50] [👑 _PRYMEK_ 👑]: Już 

[18.1.2021 | 9:19:53] [👑 _PRYMEK_ 👑]: <:emoji_19:795196878131953694> 

[18.1.2021 | 9:20:15] [Stasiek]: !dep all 

[18.1.2021 | 9:20:25] [Stasiek]: ale kur z 60k na 25 

[18.1.2021 | 9:20:28] [Stasiek]: !bal 

[18.1.2021 | 9:46:21] [Stasiek]: !work 

[18.1.2021 | 9:46:24] [Stasiek]: !slut 

[18.1.2021 | 9:46:29] [Stasiek]: !crime 

[18.1.2021 | 9:46:35] [Stasiek]: !coooooooooooo wtfffffffffff 

[18.1.2021 | 9:46:38] [Stasiek]: !bal 

[18.1.2021 | 9:46:58] [Stasiek]: ||wypierdalam z ekonomi|| 

[18.1.2021 | 9:47:28] [Stasiek]: -50k i +20 co za chamstwo 

[18.1.2021 | 10:6:22] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 10:6:24] [👑 _PRYMEK_ 👑]: !top 

[18.1.2021 | 10:6:36] [👑 _PRYMEK_ 👑]: With 60000 

[18.1.2021 | 10:7:37] [👑 _PRYMEK_ 👑]: !with 60000 

[18.1.2021 | 10:7:42] [👑 _PRYMEK_ 👑]: !buy los 

[18.1.2021 | 10:8:33] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 10:8:40] [👑 _PRYMEK_ 👑]: !with 50000 

[18.1.2021 | 10:8:42] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 10:8:45] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 10:8:48] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 10:8:54] [👑 _PRYMEK_ 👑]: EZ 

[18.1.2021 | 10:9:2] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 10:53:34] [👑 _PRYMEK_ 👑]: !work 

[18.1.2021 | 10:53:36] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 10:53:39] [👑 _PRYMEK_ 👑]: !top 

[18.1.2021 | 14:45:11] [Stasiek]: jakim cudem oni mają po 25mln 

[18.1.2021 | 14:45:16] [Stasiek]: <@!689129555549618269> 

[18.1.2021 | 15:6:22] [Kokichi✔]: !bal 

[18.1.2021 | 15:7:18] [Kokichi✔]: !with 160000 

[18.1.2021 | 15:7:23] [Kokichi✔]: !buy los 

[18.1.2021 | 15:7:26] [Kokichi✔]: !bj all 

[18.1.2021 | 15:7:28] [Kokichi✔]: hit 

[18.1.2021 | 15:7:31] [Kokichi✔]: stand 

[18.1.2021 | 15:7:34] [Kokichi✔]: !dep all 

[18.1.2021 | 15:40:53] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 15:40:59] [👑 _PRYMEK_ 👑]: !with 50000 

[18.1.2021 | 15:41:1] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 15:41:5] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 15:41:9] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 15:41:16] [👑 _PRYMEK_ 👑]: !with 50000 

[18.1.2021 | 15:41:20] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 15:41:24] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 15:41:26] [👑 _PRYMEK_ 👑]: Eaz 

[18.1.2021 | 15:41:38] [👑 _PRYMEK_ 👑]: !bj 50000 

[18.1.2021 | 15:41:41] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 15:41:43] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 15:41:45] [👑 _PRYMEK_ 👑]: EZ 

[18.1.2021 | 15:41:51] [👑 _PRYMEK_ 👑]: !bj 50000 

[18.1.2021 | 15:41:54] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 15:41:58] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 15:42:9] [👑 _PRYMEK_ 👑]: !bj 50000 

[18.1.2021 | 15:42:17] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 15:42:25] [👑 _PRYMEK_ 👑]: !with all 

[18.1.2021 | 15:42:29] [👑 _PRYMEK_ 👑]: !buy Chi 

[18.1.2021 | 15:42:34] [👑 _PRYMEK_ 👑]: !cf 1000 

[18.1.2021 | 15:42:39] [👑 _PRYMEK_ 👑]: !cf 1000 

[18.1.2021 | 15:42:45] [👑 _PRYMEK_ 👑]: !cf 100 

[18.1.2021 | 15:42:53] [👑 _PRYMEK_ 👑]: !cf 50000 

[18.1.2021 | 15:42:57] [👑 _PRYMEK_ 👑]: Kurr 

[18.1.2021 | 15:43:1] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 15:43:10] [👑 _PRYMEK_ 👑]: !buy Chi 

[18.1.2021 | 15:43:20] [👑 _PRYMEK_ 👑]: !cf 3047 

[18.1.2021 | 15:43:27] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 15:43:32] [👑 _PRYMEK_ 👑]: !top 

[18.1.2021 | 16:4:4] [bart.bruk]: !bal 

[18.1.2021 | 16:4:10] [bart.bruk]: !top -cash 

[18.1.2021 | 16:4:20] [bart.bruk]: <@!581373577404874752> 

[18.1.2021 | 16:4:23] [bart.bruk]: cho 

[18.1.2021 | 16:4:27] [bart.bruk]: plan c 

[18.1.2021 | 16:4:35] [Kokichi✔]: ok 

[18.1.2021 | 16:4:39] [👑 _PRYMEK_ 👑]: Eee 

[18.1.2021 | 16:4:43] [👑 _PRYMEK_ 👑]: Jaki plan c 

[18.1.2021 | 16:4:49] [bart.bruk]: !with all 

[18.1.2021 | 16:4:55] [bart.bruk]: !pay <@!581373577404874752> all 

[18.1.2021 | 16:4:58] [Kokichi✔]: !dep all 

[18.1.2021 | 16:5:1] [👑 _PRYMEK_ 👑]: <:pepeKnife:800709888866123837> 

[18.1.2021 | 16:5:16] [👑 _PRYMEK_ 👑]: <:pepeKnife:800709888866123837> <@790508375019356160> 

[18.1.2021 | 16:5:21] [bart.bruk]: !rob ironboypl 

[18.1.2021 | 16:5:25] [👑 _PRYMEK_ 👑]: Bartbruk dostałeś kasę 

[18.1.2021 | 16:5:25] [bart.bruk]: !dep all 

