[16.1.2021 | 16:31:38] [Cichy]: Test. 

[16.1.2021 | 19:14:33] [Rekin]: Meh 

[16.1.2021 | 19:14:43] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Siema 

[16.1.2021 | 19:14:49] [Rekin]: Gej 

[16.1.2021 | 19:14:55] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: 😔 

[16.1.2021 | 19:46:10] [Rekin]: Ping 

[16.1.2021 | 20:0:27] [👑 _PRYMEK_ 👑]: XD 

[16.1.2021 | 20:3:30] [👑 _PRYMEK_ 👑]: <@770662313346072596> 

[16.1.2021 | 20:29:56] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[16.1.2021 | 20:29:59] [👑 _PRYMEK_ 👑]: Gramy w coś 

[16.1.2021 | 20:30:0] [👑 _PRYMEK_ 👑]: ? 

[16.1.2021 | 21:47:4] [Rekin]: <@689129555549618269> tak 

[16.1.2021 | 21:47:11] [Rekin]: A w co ? 

[16.1.2021 | 22:31:36] [🥵Lidzia❤]: Hej 

[16.1.2021 | 23:22:32] [👑 _PRYMEK_ 👑]: Hej 

[16.1.2021 | 23:22:35] [👑 _PRYMEK_ 👑]: Ct? 

[16.1.2021 | 23:27:28] [Rekin]: Hej 

[16.1.2021 | 23:27:32] [Rekin]: A git a tam ? 

[16.1.2021 | 23:51:3] [👑 _PRYMEK_ 👑]: Też fajnie 

[17.1.2021 | 0:9:19] [👑 _PRYMEK_ 👑]: Siema 

[17.1.2021 | 0:9:22] [👑 _PRYMEK_ 👑]: I naura 

[17.1.2021 | 0:9:23] [👑 _PRYMEK_ 👑]: xD 

[17.1.2021 | 14:47:22] [👑 _PRYMEK_ 👑]: Ale dzisiaj jest 

[17.1.2021 | 14:47:27] [👑 _PRYMEK_ 👑]: <:ff:797818002593546280> 

[17.1.2021 | 14:47:31] [👑 _PRYMEK_ 👑]: Nie ma z kim pisać 

[17.1.2021 | 20:45:10] [bart.bruk]: siema <@!689129555549618269> 

[17.1.2021 | 21:11:53] [👑 _PRYMEK_ 👑]: Siema 

[17.1.2021 | 21:11:56] [👑 _PRYMEK_ 👑]: <@790508375019356160> 

[17.1.2021 | 21:11:58] [👑 _PRYMEK_ 👑]: Ct? 

[17.1.2021 | 21:38:45] [👑 _PRYMEK_ 👑]: Ej 

[17.1.2021 | 21:39:0] [👑 _PRYMEK_ 👑]: <@&782162414278803479> 
Polecam nowy kanał <#800411299523330048> 

[17.1.2021 | 21:40:41] [Rekin]: <@689129555549618269> pv 

[17.1.2021 | 21:40:54] [Rekin]: EM/add 

[17.1.2021 | 21:41:4] [Rekin]: em/add 

[18.1.2021 | 8:38:44] [SOKOLEK]: +1 

[18.1.2021 | 8:40:55] [SOKOLEK]: Ogar 

[18.1.2021 | 8:41:38] [SOKOLEK]: Aha co się tu dzieje?? 

