[18.1.2021 | 8:37:18] [👑 _PRYMEK_ 👑]: atop 

[18.1.2021 | 13:54:38] [Rekin]: EM/add <a:Dark_pal_gume:796820800954433586> 

[18.1.2021 | 13:55:5] [Rekin]: em/add <a:xd_squad_ar_stitch:782738099251183677> 

[18.1.2021 | 13:55:13] [Rekin]: em/add <:pepeKnife:787409883108474880> 

[18.1.2021 | 13:55:20] [Rekin]: em/add <a:PepeExit:797804457982558268> 

[18.1.2021 | 13:55:28] [Rekin]: em/add :emoji_97-5: 

[18.1.2021 | 13:55:40] [Rekin]: em/add <a:aczepanie_baklazana:799761738434215977> 

[18.1.2021 | 13:55:47] [Rekin]: em/add <a:Klaps:789077328574808085> 

[18.1.2021 | 13:56:4] [Rekin]: em/add <a:azanimatedrainbowdiamond:799761565305012284> 

[18.1.2021 | 13:56:13] [Rekin]: em/add <:ello:782509030588678164> 

[18.1.2021 | 13:56:21] [Rekin]: em/add <:ziuum:799824813820477450> 

[18.1.2021 | 13:56:38] [Rekin]: em/add <a:aserce:798681067183669259> 

[18.1.2021 | 13:56:46] [Rekin]: em/add <a:BlobEnergic:791804713523216415> 

[18.1.2021 | 13:56:59] [Rekin]: em/add <a:CatRainbow:792061245778952213> 

[18.1.2021 | 13:57:16] [Rekin]: em/add <a:emoji_43:793854334416846868> 

[18.1.2021 | 13:57:31] [Rekin]: em/add <a:emoji_12:784697404452503592> 

[18.1.2021 | 16:33:17] [👑 _PRYMEK_ 👑]: ! create-item 

[18.1.2021 | 16:33:25] [👑 _PRYMEK_ 👑]: BANK 

[18.1.2021 | 16:33:31] [👑 _PRYMEK_ 👑]: 700000 

[18.1.2021 | 16:33:41] [👑 _PRYMEK_ 👑]: **KUPUJESZ BANK. BANK OCZYWIŚCIE ZARABIA ZA DZIEŃ ALE MOŻE TEŻ POŻYCZAĆ HAJS A JAK JUŻ TŁUMACZĘ. NP. KTOŚ NAPISAŁ CI NA PV ŻE HCĘ POŻYCZKĘ I PISZE KWOTE I JEŻELI TAKĄ MASZ ZGADZASZ SIĘ I PISZESZ NA ODDANIE MASZ NP. 2DNI , 2H ITP. JEŻELI CHŁOP NIE ODDA TO ROSNĄ ODSETKI ODSETKI SĄ LICZONE TAK. 1H NIE ODDANEGO HAJSU = 2% (ODSETEK) KWOTY POŻYCZONEJ. TAK DZIAŁA BANK.
BANKÓW MOŻE BYĆ TYLKO 5.** 

[18.1.2021 | 16:33:47] [👑 _PRYMEK_ 👑]: Skip 

[18.1.2021 | 16:34:27] [👑 _PRYMEK_ 👑]: Skip 

[18.1.2021 | 16:34:29] [👑 _PRYMEK_ 👑]: 5 

[18.1.2021 | 16:34:57] [👑 _PRYMEK_ 👑]: Skip 

[18.1.2021 | 16:35:30] [👑 _PRYMEK_ 👑]: <@&800750103257153558> 

[18.1.2021 | 16:35:33] [👑 _PRYMEK_ 👑]: Skip 

[18.1.2021 | 16:35:35] [👑 _PRYMEK_ 👑]: Skip 

[18.1.2021 | 16:36:36] [👑 _PRYMEK_ 👑]: *WŁAŚNIE STAŁEŚ SIĘ BANKIEM WSZYSTKO WYTŁUMACZONE MASZ W SKLEPIE POLECAM JESZCZE RAZ SOBIE PRZECZYTAĆ I ROZKRĘCAĆ BIZNES* 

[18.1.2021 | 17:39:56] [Rekin]: EM/Add <:Sadge:796633202453250049> 

[18.1.2021 | 17:40:6] [Rekin]: EM/add 

[18.1.2021 | 17:40:44] [👑 _PRYMEK_ 👑]: <:Sadge:796633202453250049> 

[18.1.2021 | 17:44:45] [Rekin]: EM/Add <:Yep:793089213616488469> 

[18.1.2021 | 17:44:56] [Rekin]: EM/add 

[18.1.2021 | 17:45:10] [Rekin]: EM/add <:vergonha:727972743957446836> 

[18.1.2021 | 17:45:22] [Rekin]: EM/add<:VKOX:798343344710615080> 

[18.1.2021 | 17:45:35] [Rekin]: EM/add <:Sadge:793089343030951937> 

[18.1.2021 | 17:45:49] [Rekin]: EM/add <:madrage:734027756496486410> 

[18.1.2021 | 17:46:1] [Rekin]: EM/add <:Peepowish:796006724460609556> 

[18.1.2021 | 17:46:12] [Rekin]: EM/add <a:emoji_47:795014932076298240> 

