[17.1.2021 | 21:40:34] [Rekin]: Awatar 

[17.1.2021 | 21:42:20] [🥵Lidzia❤]: Role 

[18.1.2021 | 8:38:58] [SOKOLEK]: Elo 

[18.1.2021 | 8:39:20] [SOKOLEK]: Eluwina 

[18.1.2021 | 22:44:0] [👑 _PRYMEK_ 👑]: Alejka 

[19.1.2021 | 11:51:33] [Stasiek]: cmentarz 

[19.1.2021 | 11:52:46] [Boberełełe]: zoo 

[19.1.2021 | 14:5:0] [👑 _PRYMEK_ 👑]: Oko 

[19.1.2021 | 14:5:8] [👑 _PRYMEK_ 👑]: Ola 

[19.1.2021 | 14:6:51] [👑 _PRYMEK_ 👑]: Ara 

[19.1.2021 | 15:51:15] [Rekin]: Ala 

[22.1.2021 | 9:47:44] [👑 _PRYMEK_ 👑]: Soki 

[22.1.2021 | 9:48:5] [👑 _PRYMEK_ 👑]: Irka 

[22.1.2021 | 9:48:12] [👑 _PRYMEK_ 👑]: Alba 

[22.1.2021 | 18:6:35] [SOKOLEK]: Angelek 

[23.1.2021 | 15:37:56] [Stasiek]: nick 

[27.1.2021 | 9:27:9] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: anioł 

[27.1.2021 | 9:28:31] [👑 _PRYMEK_ 👑]: Łódź 

[27.1.2021 | 9:29:20] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: rzeka 

[27.1.2021 | 9:29:29] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ryba 

[27.1.2021 | 9:57:16] [❤_Nezuko Kamado_❤]: źdźbło 

[27.1.2021 | 9:57:42] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: OwO 

[27.1.2021 | 9:59:4] [❤_Nezuko Kamado_❤]: okular 

[27.1.2021 | 9:59:38] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: rudy 

[27.1.2021 | 9:59:49] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yeti 

[27.1.2021 | 11:28:12] [❤_Nezuko Kamado_❤]: ignorant 

[27.1.2021 | 11:37:54] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: Ti-Rex 

[27.1.2021 | 12:6:3] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xeemee 

[27.1.2021 | 12:6:8] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: elo 

[28.1.2021 | 13:11:4] [XeeMee]: ordery 

