[25.1.2021 | 14:23:34] [Kokichi✔]: !AKINATOR 

[25.1.2021 | 14:24:7] [Kokichi✔]: ni 

[25.1.2021 | 14:24:9] [Kokichi✔]: no 

[25.1.2021 | 14:24:16] [Kokichi✔]: no 

[25.1.2021 | 14:24:28] [Kokichi✔]: yes 

[25.1.2021 | 14:24:32] [Kokichi✔]: yes 

[25.1.2021 | 14:24:37] [Kokichi✔]: no 

[25.1.2021 | 14:24:41] [Kokichi✔]: yes 

[25.1.2021 | 14:24:53] [Kokichi✔]: yes 

[25.1.2021 | 14:25:1] [Kokichi✔]: no 

[25.1.2021 | 14:25:6] [Kokichi✔]: no 

[25.1.2021 | 14:25:11] [Kokichi✔]: yes 

[25.1.2021 | 14:25:19] [Kokichi✔]: yes 

[25.1.2021 | 14:25:22] [Kokichi✔]: yes 

[25.1.2021 | 14:25:25] [Kokichi✔]: no 

[25.1.2021 | 14:25:34] [Kokichi✔]: maybe 

[25.1.2021 | 14:25:38] [Kokichi✔]: yes 

[25.1.2021 | 14:25:44] [Kokichi✔]: !akinator 

[25.1.2021 | 14:25:54] [Kokichi✔]: no 

[25.1.2021 | 14:25:58] [Kokichi✔]: yes 

[25.1.2021 | 14:26:1] [Kokichi✔]: no 

[25.1.2021 | 14:26:5] [Kokichi✔]: ni 

[25.1.2021 | 14:26:6] [Kokichi✔]: no 

[25.1.2021 | 14:26:9] [Kokichi✔]: yes 

[25.1.2021 | 14:26:13] [Kokichi✔]: yes 

[25.1.2021 | 14:26:17] [Kokichi✔]: no 

[25.1.2021 | 14:26:39] [Kokichi✔]: no 

[25.1.2021 | 14:26:42] [Kokichi✔]: no 

[25.1.2021 | 14:26:46] [Kokichi✔]: ni 

[25.1.2021 | 14:26:49] [Kokichi✔]: no 

[25.1.2021 | 14:26:52] [Kokichi✔]: no 

[25.1.2021 | 14:27:2] [Kokichi✔]: no 

[25.1.2021 | 14:27:5] [Kokichi✔]: no 

[25.1.2021 | 14:27:15] [Kokichi✔]: don't know 

[25.1.2021 | 14:27:26] [Kokichi✔]: yes 

[25.1.2021 | 14:27:30] [Kokichi✔]: no 

[25.1.2021 | 14:27:34] [Kokichi✔]: no 

[25.1.2021 | 14:27:36] [Kokichi✔]: ni 

[25.1.2021 | 14:27:37] [Kokichi✔]: no 

[25.1.2021 | 14:27:40] [Kokichi✔]: no 

[25.1.2021 | 14:27:44] [Kokichi✔]: no 

[25.1.2021 | 14:27:52] [Kokichi✔]: yes 

[25.1.2021 | 14:27:57] [Kokichi✔]: yes 

[25.1.2021 | 14:28:0] [Kokichi✔]: no 

[25.1.2021 | 14:28:2] [Kokichi✔]: no 

[25.1.2021 | 14:28:10] [Kokichi✔]: yes 

[25.1.2021 | 14:28:13] [Kokichi✔]: no 

[25.1.2021 | 14:28:21] [Kokichi✔]: yes 

[25.1.2021 | 14:28:27] [Kokichi✔]: no 

[25.1.2021 | 14:28:36] [Kokichi✔]: no 

[25.1.2021 | 14:28:39] [Kokichi✔]: no 

[25.1.2021 | 14:28:42] [Kokichi✔]: no 

[25.1.2021 | 14:28:51] [Kokichi✔]: don't know 

[25.1.2021 | 14:28:56] [Kokichi✔]: no 

[25.1.2021 | 14:29:1] [Kokichi✔]: no 

[25.1.2021 | 14:29:7] [Kokichi✔]: no 

[25.1.2021 | 14:29:11] [Kokichi✔]: no 

[25.1.2021 | 14:29:18] [Kokichi✔]: yes 

[25.1.2021 | 14:29:23] [Kokichi✔]: no 

[25.1.2021 | 14:29:26] [Kokichi✔]: no 

[25.1.2021 | 14:29:31] [Kokichi✔]: ni 

[25.1.2021 | 14:29:32] [Kokichi✔]: no 

[25.1.2021 | 14:29:36] [Kokichi✔]: no 

[25.1.2021 | 14:29:43] [Kokichi✔]: no 

[25.1.2021 | 14:29:48] [Kokichi✔]: no 

[25.1.2021 | 14:29:54] [Kokichi✔]: no 

[25.1.2021 | 14:29:58] [Kokichi✔]: ni 

[25.1.2021 | 14:29:59] [Kokichi✔]: no 

[25.1.2021 | 14:30:10] [Kokichi✔]: don't know 

[25.1.2021 | 14:30:14] [Kokichi✔]: yes 

[25.1.2021 | 14:30:19] [Kokichi✔]: no 

[25.1.2021 | 14:30:23] [Kokichi✔]: yes 

[25.1.2021 | 14:30:28] [Kokichi✔]: no 

[25.1.2021 | 14:30:31] [Kokichi✔]: no 

[25.1.2021 | 14:30:36] [Kokichi✔]: ni 

[25.1.2021 | 14:30:36] [Kokichi✔]: no 

[25.1.2021 | 14:30:40] [Kokichi✔]: no 

[25.1.2021 | 14:30:44] [Kokichi✔]: no 

[25.1.2021 | 14:30:48] [Kokichi✔]: no 

[25.1.2021 | 14:30:56] [Kokichi✔]: no 

[25.1.2021 | 14:31:3] [Kokichi✔]: no 

[25.1.2021 | 14:31:8] [Kokichi✔]: yes 

[25.1.2021 | 14:31:15] [Kokichi✔]: no 

[25.1.2021 | 14:31:20] [Kokichi✔]: no 

[25.1.2021 | 14:31:31] [Kokichi✔]: don't know 

[25.1.2021 | 14:31:34] [Kokichi✔]: yes 

[25.1.2021 | 14:31:39] [Kokichi✔]: no 

[25.1.2021 | 14:31:47] [Kokichi✔]: no 

[25.1.2021 | 14:31:50] [Kokichi✔]: no 

[25.1.2021 | 14:31:54] [Kokichi✔]: no 

[25.1.2021 | 14:31:57] [Kokichi✔]: no 

[25.1.2021 | 14:32:3] [Kokichi✔]: yes 

[25.1.2021 | 14:32:6] [Kokichi✔]: no 

[25.1.2021 | 14:32:11] [Kokichi✔]: ni 

[25.1.2021 | 14:32:13] [Kokichi✔]: no 

[25.1.2021 | 14:32:32] [Kokichi✔]: don'y know 

