[21.1.2021 | 11:13:37] [Stasiek]: no wiesz ty co 

[25.1.2021 | 10:41:44] [SOKOLEK]: XDD 

[25.1.2021 | 11:3:29] [👑 _PRYMEK_ 👑]: Elo 

[25.1.2021 | 11:3:31] [👑 _PRYMEK_ 👑]: XD 

[25.1.2021 | 11:3:38][᷇᷇᷇₩ℓ₳Ɒ₡₳‒₭₳₵₹Ἔ₭]: ten to ma poczucie chumoru xd [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803203422881972244/unknown.png] 

[25.1.2021 | 11:3:39] [᷇᷇᷇₩ℓ₳Ɒ₡₳‒₭₳₵₹Ἔ₭]: xd 

[25.1.2021 | 11:6:6][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: jaki ping [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803204043035377664/unknown.png] 

[25.1.2021 | 11:7:42][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: najlepsza muzyka świata xd [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803204444120547348/unknown.png] 

[25.1.2021 | 11:7:53] [XeeMee]: nope 

[25.1.2021 | 11:8:34][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xdddd [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803204664472502272/unknown.png] 

[25.1.2021 | 11:8:48][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803204719916875806/unknown.png] 

[25.1.2021 | 11:9:37] [XeeMee]: noserio? 

[25.1.2021 | 11:9:47] [XeeMee]: po co to robiłeś 

[25.1.2021 | 11:11:37] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: bo to jest beka xd 

[25.1.2021 | 11:13:5] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ale tego nie zrozumieliście on zje ci starą w robloxie kumacie? 

[25.1.2021 | 12:17:36][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: XD [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803222034406440967/unknown.png] 

[27.1.2021 | 13:4:58][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803958732136513536/unknown.png] 

[27.1.2021 | 13:5:0] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: lol 

[27.1.2021 | 13:5:15] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: nieskończność 

[27.1.2021 | 13:6:20][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612905/803959074756624454/unknown.png] 

