[24.1.2021 | 13:58:33] [SOKOLEK]: <@!687383063671734370> Jebać cie 

[24.1.2021 | 13:58:36] [SOKOLEK]: kurwa jebana 

[24.1.2021 | 13:58:41] [SOKOLEK]: popierdolony 

[24.1.2021 | 13:58:46] [SOKOLEK]: jesteś jak xkOx 

[24.1.2021 | 13:58:52] [SOKOLEK]: <@!500682123695620096> ty tak samo 

[24.1.2021 | 13:58:57] [SOKOLEK]: zjebie pierdolony 

[24.1.2021 | 13:59:13] [SOKOLEK]: <@!678244899367419936> ryj 

[24.1.2021 | 13:59:19] [SOKOLEK]: wypierdalaj z serwer 

[24.1.2021 | 13:59:26] [SOKOLEK]: bo cie kurwa zajebie na ip 

[24.1.2021 | 13:59:48] [SOKOLEK]: Popłacz się z śmiechu 

[24.1.2021 | 13:59:51] [SOKOLEK]: kurwo jebana 

[24.1.2021 | 14:0:9] [SOKOLEK]: p-wordzie pierdolona 

[24.1.2021 | 14:0:23] [SOKOLEK]: stara cie wyrobila z dupy na pedała 

[24.1.2021 | 14:0:43] [SOKOLEK]: <@!678244899367419936> jebany dzieciaku dziewczynko 

[24.1.2021 | 14:0:44] [SOKOLEK]: xD 

[24.1.2021 | 14:0:56] [Stasiek]: dziewczynką 

[24.1.2021 | 14:0:58] [Stasiek]: xd 

[24.1.2021 | 14:3:0] [SOKOLEK]: ten jebany sandwich 

[24.1.2021 | 14:3:5] [SOKOLEK]: że jest kanapka 

[24.1.2021 | 14:3:22] [Stasiek]: potwierdzam kanapkę nie dobrą 

