[18.1.2021 | 9:19:40] [👑 _PRYMEK_ 👑]: ! add-money <@772758787542351892> 25000 

[18.1.2021 | 16:8:3] [👑 _PRYMEK_ 👑]: ! add-money <@581373577404874752> 10000 

[18.1.2021 | 16:13:16] [Kokichi✔]: !add-money <@!790508375019356160> 65000 

[18.1.2021 | 16:14:4] [Kokichi✔]: !add-money <@!790508375019356160> 150000 

[19.1.2021 | 19:15:52] [👑 _PRYMEK_ 👑]: ! add-money <@695590947630743635> 100000 

[21.1.2021 | 9:32:6] [Kokichi✔]: !add-money <@!581373577404874752> 65000 

[22.1.2021 | 10:43:2] [Kokichi✔]: !add-money <@!790508375019356160> 100000 

[22.1.2021 | 12:15:2] [Kokichi✔]: !add-money <@!607951368413773824> 100000 

[22.1.2021 | 12:15:14] [Kokichi✔]: !add-money <@!581373577404874752> 35000 

[22.1.2021 | 12:26:45] [Kokichi✔]: !add-money <@!695590947630743635> 35000 

[23.1.2021 | 21:18:12] [👑 _PRYMEK_ 👑]: ! add-money <@689129555549618269> 25000 

[23.1.2021 | 21:18:43] [👑 _PRYMEK_ 👑]: ! add-money <@689129555549618269> 75000 

[23.1.2021 | 21:19:57] [👑 _PRYMEK_ 👑]: ! add-money <@689129555549618269> 25000 

[25.1.2021 | 12:37:21] [Kokichi✔]: !add-money <@!581373577404874752> 305000 

[25.1.2021 | 15:27:45] [Kokichi✔]: !add-money @|𝙿|Kokichi✓ 305000 

[25.1.2021 | 16:39:17] [👑 _PRYMEK_ 👑]: !add-money <@689129555549618269> 10000 

[26.1.2021 | 11:56:51] [👑 _PRYMEK_ 👑]: ! add-money <@801091172235477042> 10000 

[26.1.2021 | 11:59:45] [Kokichi✔]: !add-money <@!581373577404874752> 25000 

[26.1.2021 | 12:1:24] [Kokichi✔]: !add-money <@!801091172235477042> 10000 

[27.1.2021 | 19:29:41] [👑 _PRYMEK_ 👑]: !add-money bank <@801091172235477042> 100000 

[28.1.2021 | 9:52:40] [Kokichi✔]: !add-money <@!581373577404874752> 75000 

[28.1.2021 | 9:52:52] [Kokichi✔]: !add-money <@!790508375019356160> 100000 

[28.1.2021 | 12:14:37] [Kokichi✔]: !add-money <@!581373577404874752> 100000 

[28.1.2021 | 12:16:11] [👑 _PRYMEK_ 👑]: ! add-money <@689129555549618269> 35000 

[28.1.2021 | 19:20:39] [👑 _PRYMEK_ 👑]: ! add-money <@564061194907025448> 35000 

