[18.1.2021 | 8:35:25] [Stasiek]: siema 

[18.1.2021 | 8:35:27] [Stasiek]: a 

[18.1.2021 | 8:35:48] [Stasiek]: ale ty jesteś głupi 

[18.1.2021 | 8:35:50] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[18.1.2021 | 8:36:18] [👑 _PRYMEK_ 👑]: To nie chodzi o to że musisz tylko partnerstwa walić oczywiście też ale chodzi też o to że masz być aktywny na serwie 

[18.1.2021 | 8:36:28] [Stasiek]: po dobno jesteś najszybszym rozwijającym się botem 

[18.1.2021 | 8:37:23] [Stasiek]: wm ale ostatnio nie mam czasu bo np mój serw czy inny albo wo gule 

[18.1.2021 | 8:37:37] [Stasiek]: a co cie to 

[18.1.2021 | 8:37:50] [👑 _PRYMEK_ 👑]: A ile OSB masz na swoim serwie <@772758787542351892> ? 

[19.1.2021 | 11:53:32] [Boberełełe]: hej 

[19.1.2021 | 11:53:43] [Boberełełe]: bober 

[19.1.2021 | 11:53:58] [Boberełełe]: beaver 

[19.1.2021 | 11:54:9] [Boberełełe]: no 

[19.1.2021 | 11:55:7] [Boberełełe]: good, you? 

[19.1.2021 | 11:55:21] [Boberełełe]: why 

[19.1.2021 | 11:55:34] [Boberełełe]: tell me 

[19.1.2021 | 11:55:51] [Boberełełe]: why you want to know? 

[19.1.2021 | 11:56:29] [Boberełełe]: mhm 

[19.1.2021 | 11:57:24] [Boberełełe]: nie 

[19.1.2021 | 11:58:30] [Boberełełe]: bo nie -_- 

[19.1.2021 | 11:59:3] [Boberełełe]: ee sory ale mam kogoś 

[19.1.2021 | 11:59:39] [Boberełełe]: nie podrywałam ;-; 

[19.1.2021 | 12:0:34] [Boberełełe]: nie 

[19.1.2021 | 12:1:0] [Boberełełe]: bo cie nie chcem 

[19.1.2021 | 12:1:18] [Boberełełe]: fajnie 

[19.1.2021 | 12:1:33] [Boberełełe]: czemu 

[19.1.2021 | 12:1:52] [Boberełełe]: no ja też 

[19.1.2021 | 12:2:19] [Boberełełe]: hello 

[19.1.2021 | 12:5:34] [Boberełełe]: maybe 

[19.1.2021 | 12:5:44] [Boberełełe]: idk 

[19.1.2021 | 12:5:58] [Boberełełe]: i dont know him 

[19.1.2021 | 12:9:49] [Boberełełe]: idk 

[19.1.2021 | 12:11:3] [Boberełełe]: hm? 

[19.1.2021 | 12:16:5] [Stasiek]: S 

[19.1.2021 | 12:16:14] [Stasiek]: a 

[19.1.2021 | 12:16:22] [Stasiek]: b 

[19.1.2021 | 12:16:29] [Stasiek]: c 

[19.1.2021 | 12:16:38] [Stasiek]: d 

[19.1.2021 | 12:21:1] [Stasiek]: brawo 👏👏👏 

[21.1.2021 | 9:54:44] [Stasiek]: hollo 

[21.1.2021 | 9:55:6] [Stasiek]: siema 

[21.1.2021 | 9:55:22] [Stasiek]: EEEEEEEEEEEEEEEEEE 

[21.1.2021 | 9:55:34] [Stasiek]: NWMNWMNWMNWMNWM 

[21.1.2021 | 9:55:36] [Stasiek]: hiw; 

[21.1.2021 | 9:55:43] [Stasiek]: ( 

[27.1.2021 | 12:6:22] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: elo 

[27.1.2021 | 12:6:26] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: siema 

[27.1.2021 | 12:6:27] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: pa 

[27.1.2021 | 12:6:49] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xd 

[27.1.2021 | 12:6:53] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: co za gołąb 

[27.1.2021 | 12:7:0] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xddddd 

[28.1.2021 | 13:10:20] [XeeMee]: hm 

