[17.1.2021 | 20:44:58] [bart.bruk]: lol 

[20.1.2021 | 12:41:43][dokładnie tak]: Siema siema
Postanowiłam się pochwalić tutaj tym co zrobiłam

(Tło znalazłam na Pinterest xD) [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/801416163941810227/sketch-1611055636570.png] 

[20.1.2021 | 12:52:38] [👑 _PRYMEK_ 👑]: 8/10 

[20.1.2021 | 12:52:40] [👑 _PRYMEK_ 👑]: Najsik 

[20.1.2021 | 18:25:0] [Stasiek]: ale to twoja praca czy czyjaś 

[20.1.2021 | 18:33:31][🥵Lidzia❤]: undefined [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/801504699135557732/image0.jpg] 

[20.1.2021 | 22:9:39] [👑 _PRYMEK_ 👑]: 10/10 

[20.1.2021 | 22:16:21] [👑 _PRYMEK_ 👑]: A sam to robiłaś <@695590947630743635> ? 

[20.1.2021 | 22:19:53] [🥵Lidzia❤]: Tak 

[20.1.2021 | 22:21:55] [👑 _PRYMEK_ 👑]: No to 10/10 

[21.1.2021 | 10:40:35] [dokładnie tak]: Czyjejś bym nie wstawiła— 

[21.1.2021 | 10:47:9] [Stasiek]: ok 

[25.1.2021 | 11:17:11][Kokichi✔]: undefined [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803206830578204742/image0.jpg] 

[25.1.2021 | 11:18:49][Kokichi✔]: undefined [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803207243792252958/image0.jpg] 

[25.1.2021 | 11:20:20][Kokichi✔]: undefined [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803207623528284200/image0.jpg] 

[25.1.2021 | 11:24:2][Kokichi✔]: undefined [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803208554391011359/image0.jpg] 

[25.1.2021 | 11:24:19][Kokichi✔]: undefined [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803208625937317908/image0.jpg] 

[25.1.2021 | 11:25:24] [Kokichi✔]: i jak? ładne?? 

[25.1.2021 | 11:28:51][Kokichi✔]: Tu masz jeszcze z innego aparatu [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803209765215272960/image0.jpg] 

[25.1.2021 | 11:29:11] [Kokichi✔]: I jak? Ładne?? 

[25.1.2021 | 11:31:12] [XeeMee]: SUPER 🙂 

[25.1.2021 | 11:31:19] [👑 _PRYMEK_ 👑]: Ale kogo 

[25.1.2021 | 11:31:19] [👑 _PRYMEK_ 👑]: To 

[25.1.2021 | 11:31:22] [👑 _PRYMEK_ 👑]: Sam zrobiłeś? 

[25.1.2021 | 11:40:25] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: o to ty tam mieszkasz oooo widze tam w oddali siebie  xd 

[25.1.2021 | 11:40:38][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: o tam [Image Link:https://cdn.discordapp.com/attachments/719834787514286092/803212733993975828/unknown.png] 

[25.1.2021 | 11:41:6] [Kokichi✔]: tak wszystkie sam zrobiłem 

[25.1.2021 | 11:41:35] [Kokichi✔]: a i miałem to koledze wysłać 

[25.1.2021 | 11:41:39] [Kokichi✔]: a nie tu 

[25.1.2021 | 11:41:46] [Kokichi✔]: pomyliłem się loll 

[25.1.2021 | 11:41:48] [Kokichi✔]: llolol 

[25.1.2021 | 11:42:2] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: loll 

[25.1.2021 | 11:57:54] [SOKOLEK]: Bardzo ładne <:emoji_19:795196878131953694> 

[25.1.2021 | 11:58:4] [Kokichi✔]: dzięki 

