[16.1.2021 | 20:10:48] [🥵Lidzia❤]: <@&795694584894193683> 

[16.1.2021 | 20:10:55] [🥵Lidzia❤]: Rozpoczynamy walki 

[16.1.2021 | 20:11:11] [🥵Lidzia❤]: **Pierwsza Walka** 

[16.1.2021 | 20:11:32] [🥵Lidzia❤]: —battle <@!763675745951678474> & <@692757398795845663> 

[16.1.2021 | 20:12:50] [🥵Lidzia❤]: *Kolejna Walka* 

[16.1.2021 | 20:13:13] [🥵Lidzia❤]: —battle <@689129555549618269> & <@564061194907025448> 

[16.1.2021 | 20:14:1] [Free boy]: <:ff:797818002593546280> 

[16.1.2021 | 20:14:4] [🥵Lidzia❤]: **NASTĘPNA WALKA** 

[16.1.2021 | 20:14:23] [🥵Lidzia❤]: —battle <@!695590947630743635> & <@!790508375019356160> 

[16.1.2021 | 20:14:37] [skeleton]: No ja pierdole 

[16.1.2021 | 20:14:43] [skeleton]: Znowu przegrałem 

[16.1.2021 | 20:15:45] [🥵Lidzia❤]: *Ostatnia walka* 

[16.1.2021 | 20:16:12] [🥵Lidzia❤]: —battle <@741760785608605726> & <@!745537238640623616> 

[16.1.2021 | 20:18:18] [🥵Lidzia❤]: *Półfinały* 

[16.1.2021 | 20:18:41] [🥵Lidzia❤]: —battle <@689129555549618269> & <@692757398795845663> 

[16.1.2021 | 20:19:30] [🥵Lidzia❤]: —battle <@!695590947630743635> & <@741760785608605726> 

[16.1.2021 | 20:21:35] [🥵Lidzia❤]: **Finał** 

[16.1.2021 | 20:21:58] [🥵Lidzia❤]: —battle <@692757398795845663>  &<@741760785608605726> 

[16.1.2021 | 20:22:0] [👑 _PRYMEK_ 👑]: **NAJS** 

[16.1.2021 | 20:22:13] [👑 _PRYMEK_ 👑]: Chińczyk wygra 

[16.1.2021 | 20:22:20] [👑 _PRYMEK_ 👑]: Albo nie 

[16.1.2021 | 20:22:21] [👑 _PRYMEK_ 👑]: Xd 

[16.1.2021 | 23:12:40] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: --battle <@741760785608605726> 

[16.1.2021 | 23:13:3] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Ez ? 

[16.1.2021 | 23:13:11] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: --battle <@758320997429411842> 

[18.1.2021 | 21:14:33] [👑 _PRYMEK_ 👑]: <:emoji_17:788148184773820487> 

[18.1.2021 | 21:14:42] [👑 _PRYMEK_ 👑]: <@&795694584894193683> 
Chcecie walki? 

[18.1.2021 | 21:14:55] [👑 _PRYMEK_ 👑]: (teraz?) 

[18.1.2021 | 21:15:26] [👑 _PRYMEK_ 👑]: Dobra to zaczynamy 

[18.1.2021 | 21:15:31] [🥵Lidzia❤]: Yes 

[18.1.2021 | 21:15:45] [👑 _PRYMEK_ 👑]: **PIERWSZA WALKA** 

[18.1.2021 | 21:15:57] [👑 _PRYMEK_ 👑]: --battle <@692081730508685312> & <@772758787542351892> 

[18.1.2021 | 21:16:30] [👑 _PRYMEK_ 👑]: `DRUGA WALKA` 

[18.1.2021 | 21:16:47] [👑 _PRYMEK_ 👑]: --battle <@743410273645494322> & <@763675745951678474> 

[18.1.2021 | 21:17:25] [👑 _PRYMEK_ 👑]: **OKEJ** 

[18.1.2021 | 21:17:35] [👑 _PRYMEK_ 👑]: `TDZECIA WALKA` 

[18.1.2021 | 21:17:52] [👑 _PRYMEK_ 👑]: --battle <@607951368413773824> & <@695590947630743635> 

[18.1.2021 | 21:18:23] [👑 _PRYMEK_ 👑]: Uuuuuu 

[18.1.2021 | 21:18:27] [👑 _PRYMEK_ 👑]: 1hp 

[18.1.2021 | 21:18:39] [👑 _PRYMEK_ 👑]: **CZWARTA WALKA** 

[18.1.2021 | 21:18:50] [👑 _PRYMEK_ 👑]: --battle <@790508375019356160> 

[18.1.2021 | 21:19:0] [👑 _PRYMEK_ 👑]: <:pepeKnife:800709888866123837> 

[18.1.2021 | 21:19:17] [👑 _PRYMEK_ 👑]: <:emoji_10:781989954338816052> 

[18.1.2021 | 21:19:28] [👑 _PRYMEK_ 👑]: <:madrage:800767925572599818> 

