[18.1.2021 | 20:30:52] [arbuz lol 2]: szukam do mc bo chce live zrobić ale nei mam z kim 

[18.1.2021 | 20:33:4] [arbuz lol 2]: gra ktoś bo chce streama zrobić ale nie mam z kim 

[18.1.2021 | 20:33:10] [arbuz lol 2]: pisać pv 

[18.1.2021 | 20:35:22] [👑 _PRYMEK_ 👑]: Może <@772758787542351892> 

[18.1.2021 | 20:37:7] [Stasiek]: no może 

[18.1.2021 | 20:52:54] [arbuz lol 2]: gra ktoś bo chce streama zrobić ale nie mam z kim 

[18.1.2021 | 20:53:0] [arbuz lol 2]: pisać pv 

[18.1.2021 | 20:54:46] [arbuz lol 2]: gra ktoś bo chce streama zrobić ale nie mam z kim 

[23.1.2021 | 14:24:12] [Kacperek]: hej szukam graczy do fornite duoski wymagania:
max 14 lat 

[23.1.2021 | 14:25:26] [Katakuri]: `ja chce 

[23.1.2021 | 14:25:33] [Kacperek]: dobra dja nick 

[23.1.2021 | 14:25:47] [Katakuri]: XXmaniekKatakuriXX420 

