[7.1.2021 | 21:37:4] [Bupka]: ?verify 

[7.1.2021 | 21:38:10] [Bupka]: ?verify 

[7.1.2021 | 23:26:42] [Perocjusz]: ?verify 

[7.1.2021 | 23:33:24] [Creeperek]: ?verify 

[8.1.2021 | 13:57:3] [playek aу лол]: ?werify 

[10.1.2021 | 19:48:10] [Pati3456]: ?verify 

[11.1.2021 | 17:10:23] [!  Maciejos]: Y
?verify 

[11.1.2021 | 18:28:56] [SweetBoY]: ?verify 

[11.1.2021 | 18:30:9] [TheTomekXD]: ?verify 

[11.1.2021 | 18:32:14] [Tnuster]: No siema kurwa 

[11.1.2021 | 18:32:28] [Tnuster]: No siema ku rw.a 

[11.1.2021 | 18:32:51] [Tnuster]: ?verify 

[11.1.2021 | 18:32:59] [Cichy]: Otrzymałeś kod w wiadomości prywatnej. 

[11.1.2021 | 18:33:21] [Tnuster]: I co ? 

[11.1.2021 | 18:33:26] [Tnuster]: Dalej 

[11.1.2021 | 18:33:37] [Cichy]: Jeżeli chcesz, możesz się zweryfikować. 

[11.1.2021 | 18:33:46] [Tnuster]: A jak nie chce 

[11.1.2021 | 18:33:55] [Cichy]: To nic sie nie dzieje. 

[11.1.2021 | 18:34:3] [Tnuster]: Aaaaa 

[11.1.2021 | 18:34:10] [Tnuster]: To słabe idę elo 

[11.1.2021 | 18:53:33] [MaFFiOzO]: ?verify 

[11.1.2021 | 18:58:8] [Takai~]: ?verify 

[11.1.2021 | 19:5:45] [• Eᴍ¡ʟʏ •]: Hey 

[11.1.2021 | 19:5:52] [nekomi]: ?verify 

[11.1.2021 | 19:7:5] [𝙎𝙤𝙧𝙩𝙤𝙬𝙖𝙣𝙚 𝙈𝙮𝙙𝙡𝙤]: ?verify 

[11.1.2021 | 19:8:9] [!  Filipowicz konto partnerstwa]: ?verify 

[11.1.2021 | 19:15:25] [Mikasa Ackerman (Hekciak)]: ?verify 

[11.1.2021 | 19:15:34] [werciax]: ?verify 

[11.1.2021 | 19:21:31] [<_zjebana_>]: ?verify 

[11.1.2021 | 19:50:58] [𝑽𝒆𝒓𝒊𝒏𝒙]: ?verify 

[11.1.2021 | 22:36:57] [Dawid]: ?verify 

[11.1.2021 | 23:5:27] [Kli0]: ?verify 

[11.1.2021 | 23:14:5] [MF Tymek]: ?verify 

[11.1.2021 | 23:18:20] [nepnepnusz]: ?verify 

[12.1.2021 | 11:51:26] [hubiś]: ?verify 

[12.1.2021 | 14:4:17] [discord.adrian]: ?verify 

[12.1.2021 | 14:12:38] [!  Tobuś]: ?verify 

[12.1.2021 | 15:45:6] [Avocado™]: ?verify 

[12.1.2021 | 22:33:20] [Bran]: ?verify 

[12.1.2021 | 22:33:43] [Bran]: kr8p7 

[12.1.2021 | 22:33:58] [Cichy]: W wiadomości prywatnej bota. 

[13.1.2021 | 0:5:45] [𝙍𝙯𝙚𝙢𝙨]: ?verify 

[13.1.2021 | 1:2:56] [ARRO]: ?verify 

[13.1.2021 | 1:4:58] [! 𝖑𝖆𝖒𝖇𝖆𝖉𝖆𝖉𝖟𝖎𝖔𝖗]: ?verify 

[13.1.2021 | 13:10:13] [Veronss]: ?verify 

[13.1.2021 | 15:59:3] [Skrymian]: ?verify 

[13.1.2021 | 16:23:29] [justin bieber]: ?verify 

[13.1.2021 | 19:54:36] [ADIX🔥JD🥀]: ?verify 

[13.1.2021 | 22:17:32] [𝖇𝖚𝖇𝖇𝖑𝖞]: ?veryfy 

[13.1.2021 | 22:17:35] [𝖇𝖚𝖇𝖇𝖑𝖞]: ?verify 

[13.1.2021 | 22:17:54] [𝖇𝖚𝖇𝖇𝖑𝖞]: ?verify 

[13.1.2021 | 22:34:40] [_IneziQ_]: ?verify 

[13.1.2021 | 22:42:9] [Lou]: ?verify 

[13.1.2021 | 22:54:40] [LilixXD]: ?verify 

[14.1.2021 | 11:13:49] [lpastwa]: ?verify 

[14.1.2021 | 11:13:56] [lpastwa]: co 

[14.1.2021 | 11:14:5] [lpastwa]: chuja muja 

[14.1.2021 | 11:14:11] [lpastwa]: oh Godd 

[14.1.2021 | 12:2:55] [Bxrtz]: ?verify 

[14.1.2021 | 14:19:1] [Macius]: ?verify 

[14.1.2021 | 14:32:54] [Dominiś🥀🔪]: ?verify 

[14.1.2021 | 14:33:31] [Dominiś🥀🔪]: hqUFH 

[14.1.2021 | 14:46:2] [Invejosa]: W wiadomości prywatnej bota 

[14.1.2021 | 15:2:35] [Piotruś]: ?verify 

[14.1.2021 | 15:30:14] [Cichy]: W wiadomości prywatnej bota. 

[14.1.2021 | 22:34:10] [desai]: ?verify 

[14.1.2021 | 22:51:35] [PixXik]: ?veryfy 

[14.1.2021 | 22:51:46] [PixXik]: ?verify 

[14.1.2021 | 22:57:38] [Truczek]: ?verify 

[14.1.2021 | 22:59:33] [Cpun]: ?verify 

[14.1.2021 | 23:27:17] [Aleksandra]: ?verify 

[14.1.2021 | 23:35:2] [finxo]: ?verify 

[15.1.2021 | 0:14:46] [remu]: ?verify 

[15.1.2021 | 15:11:52] [!          𝖒𝖆𝖘𝖓𝖞 𝖜𝖕𝖎𝖊𝖗𝖉𝖔𝖑𝖔 🤍]: ?verify 

[15.1.2021 | 19:15:17] [Suuiryu]: ?verify 

[15.1.2021 | 19:18:31] [KenZii better]: ?verify 

[15.1.2021 | 19:30:27] [patrycja]: ?verify 

[15.1.2021 | 19:37:58] [Sayori]: ?verify 

[15.1.2021 | 19:41:15] [Xsialpen]: ?verify 

[15.1.2021 | 19:47:59] [DoubleDi.Happy]: ?verify 

[15.1.2021 | 19:58:2] [klau]: ?verify 

[15.1.2021 | 20:1:0] [Destrojj]: ?verify 

[15.1.2021 | 20:36:27] [Kαѕια]: ?verify 

[15.1.2021 | 20:46:9] [Teo]: ?verify 

[15.1.2021 | 21:58:41] [🔥MT.ARO TVP.🔥]: ?verify 

[15.1.2021 | 22:33:43] [HimeriX]: ?verify 

[15.1.2021 | 22:52:0] [Foksi]: ?verify 

[15.1.2021 | 23:35:48] [CBŚ (ReaPer)]: ?verify 

[16.1.2021 | 14:42:7] [♡Szczurek♡]: ?verify 

[16.1.2021 | 16:16:51] [Adan]: ?verify 

[16.1.2021 | 16:36:57] [!    Chyba Janek]: ?verify 

[16.1.2021 | 17:8:28] [Skajek]: ?veryfity 

[16.1.2021 | 17:8:37] [Skajek]: ?verify 

[16.1.2021 | 17:24:23] [Gib000n]: ?verify 

[16.1.2021 | 17:29:42] [ezka]: ?verify 

[16.1.2021 | 17:37:35] [Luckyy]: ?verify 

[16.1.2021 | 17:48:49] [Mower]: ?verify 

[16.1.2021 | 19:12:25] [Cień twoich błędów]: ?verify 

[16.1.2021 | 20:10:3] [Galaktyczna Wyspa - Partnerstwa]: ?verify 

[16.1.2021 | 20:24:43] [Krzysio]: ?verify 

[16.1.2021 | 20:59:4] [Lucasso]: ?verify 

[16.1.2021 | 22:39:35] [Wafelek]: ?verify 

[16.1.2021 | 22:39:52] [Wafelek]: ?verify 

[16.1.2021 | 22:57:31] [mojstarytonurek]: ?verify 

[16.1.2021 | 23:7:9] [Wafelek]: ?veryfity 

[16.1.2021 | 23:7:20] [Wafelek]: ?weryfy 

[16.1.2021 | 23:13:27] [NoOne]: `?verify` 

[17.1.2021 | 14:57:42] [!Patryk]: ?verify 

[17.1.2021 | 15:12:57] [Wilczuś]: ?verify 

[17.1.2021 | 22:27:5] [domisiek]: ?verify 

[18.1.2021 | 15:58:44] [RATATA]: Xd 

[18.1.2021 | 15:58:57] [RATATA]: ? Verify 

[18.1.2021 | 19:23:55] [Szendi]: ?verify 

[18.1.2021 | 21:56:12] [Kubovid19]: vVB2j 

[18.1.2021 | 21:56:29] [NoOne]: Wiadomość prywatna do bota 

[18.1.2021 | 22:28:8] [Paweł gra se w gry]: ?verify 

[18.1.2021 | 22:56:44] [Hubcio]: ?verify 

[19.1.2021 | 9:30:47] [Staris]: ?verify 

[19.1.2021 | 12:56:29] [𝓻𝓾𝓭𝔃𝓲𝓴]: ?verify 

[19.1.2021 | 20:16:58] [Tom0k455]: ?verify 

[19.1.2021 | 20:39:0] [ᴇ s™Bambol]: ?veryfi 

[19.1.2021 | 20:39:15] [ᴇ s™Bambol]: ?verify 

[19.1.2021 | 23:7:17] [112Sergio]: ?veryfi 

[19.1.2021 | 23:7:20] [112Sergio]: ?verify 

[20.1.2021 | 10:29:7] [! xLikonka]: ?verify 

[20.1.2021 | 11:29:21] [Mateuszek]: ?verify 

[20.1.2021 | 15:52:3] [Magiczny Zeszyt]: ?verify 

[20.1.2021 | 20:40:10] [Mr.BibleThump]: ?verify 

[20.1.2021 | 23:16:29] [Servi]: ?verify 

[20.1.2021 | 23:41:6] [HLV DaaVi]: ?verify 

[21.1.2021 | 10:33:30] [Erbi]: ?verify 

[21.1.2021 | 11:42:43] [Dicktor13PL]: ?verify 

[21.1.2021 | 13:24:30] [LiZaCzEkSkarbie]: ?verify 

[21.1.2021 | 13:30:29] [🐬 Bluenade_]: ?verify 

[21.1.2021 | 14:28:17] [zjemcikota]: ?verify 

[21.1.2021 | 15:12:24] [Krystianek]: ?verify 

[21.1.2021 | 17:47:18] [!        Tobiś v2]: ?verify 

[21.1.2021 | 17:47:36] [!        Tobiś v2]: ?verify 

[21.1.2021 | 22:33:31] [{LEKTOR}]: ?verify 

[21.1.2021 | 23:42:33] [ΛÐι.AK.kulwidolek]: ?verify 

[22.1.2021 | 10:0:30] [Papież Master]: ?verify 

[22.1.2021 | 10:8:41] [Anka]: ?verify 

[22.1.2021 | 10:14:54] [Elvgreen]: ?verify 

[22.1.2021 | 10:24:58] [X|GAMER ツ]: ?verify 

[22.1.2021 | 11:18:55] [✧☽ 𝒹 𝓇 𝑒 𝒶 𝓂 𝒾 𝓃 𝑔 ☾✧]: ?verify 

[22.1.2021 | 12:46:17] [( ˘ ³˘)♥]: ?verify 

[22.1.2021 | 13:11:27] [Michael afton]: ?verify 

[22.1.2021 | 17:7:52] [emcia]: ?verify 

[22.1.2021 | 20:44:44] [🐶PAN PIESEŁ🐶]: SkjhK 

[22.1.2021 | 20:44:59] [NoOne]: W wiadomości prywatnej bota 

[22.1.2021 | 20:45:29] [🐶PAN PIESEŁ🐶]: A gdzie to wpisać ten kot 

[22.1.2021 | 20:45:34] [🐶PAN PIESEŁ🐶]: Kod* 

[22.1.2021 | 20:45:49] [Cichy]: Jeżeli nie potrafią sie zweryfikować, oznacz mnie. 

[22.1.2021 | 20:45:55] [Cichy]: Zweryfikuje ich ręcznie. 

[22.1.2021 | 22:23:48] [TrionZero]: ?verify 

[22.1.2021 | 22:23:55] [TrionZero]: Nie 

[23.1.2021 | 13:17:14] [Freestyle]: !verify 

[23.1.2021 | 13:43:41] [Wumpus]: !verify 

[23.1.2021 | 22:36:43] [Chmielewski002]: Mam problem z weryfikacją 

[23.1.2021 | 22:36:49] [Chmielewski002]: Nie otrzymałem kodu 

[23.1.2021 | 22:37:0] [NoOne]: Wpisz komendę ?verify 

[23.1.2021 | 22:37:0] [Chmielewski002]: !verify 

[23.1.2021 | 22:37:5] [Chmielewski002]: ?verify 

[23.1.2021 | 22:37:11] [Chmielewski002]: Dalej nie otrzymalem 

[23.1.2021 | 22:37:49] [NoOne]: Wiadomość od bota? 

