[16.1.2021 | 20:34:23] [👑 _PRYMEK_ 👑]: @here 
Zapraszamy na serwer 

[16.1.2021 | 22:29:56] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone **Zapraszam na serwer i sorki za ping jak będę miał konta to dam** 

[18.1.2021 | 10:19:16] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone **Wbijcie fajny gen nordvpn** https://discord.gg/sGtnhRA2Gc 

[18.1.2021 | 19:43:44] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:43:45] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:43:50] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:43:57] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Kto nie wbije nie dostaje konta 

[18.1.2021 | 19:45:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:35] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:39] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:41] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:41] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:42] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:44] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:45] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:48] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:49] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:50] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:52] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:45:56] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @every 

[18.1.2021 | 19:45:59] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:1] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:3] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:5] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:9] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:11] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:13] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:16] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:19] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:39] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:41] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:41] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:44] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:46] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:47] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:49] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:59] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:59] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:49:0] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:49:19] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:21] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:22] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:49:23] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:49:25] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:27] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:28] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:49:33] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:49:43] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: !ban 

[18.1.2021 | 19:49:48] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:51] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:53] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:55] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:57] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:49:59] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:50:1] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:50:8] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:10] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:26] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:50:32] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:35] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:35] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:35] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:50:40] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:50:41] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:50:44] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @here 

[18.1.2021 | 19:50:45] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @here 

[18.1.2021 | 19:50:54] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

