[7.1.2021 | 19:26:32] [EdytorskiYT]: :c 

[7.1.2021 | 21:47:22] [HappiniuYT]: <@!539134528959021106> 

[7.1.2021 | 21:47:26] [HappiniuYT]: Wez dodaj mn do znaj 

[7.1.2021 | 21:47:27] [HappiniuYT]: Pls 

[7.1.2021 | 21:47:30] [HappiniuYT]: I nie usuwaj 😦 

[7.1.2021 | 21:47:33] [HappiniuYT]: :c 

[7.1.2021 | 21:47:55] [HappiniuYT]: Chce ci cos wyslac 

[7.1.2021 | 21:47:59] [HappiniuYT]: @here 

[7.1.2021 | 21:48:57] [⛄ERYPEK⛄]: po co? 

[7.1.2021 | 21:49:15] [⛄ERYPEK⛄]: no 

[7.1.2021 | 22:15:43] [HappiniuYT]: No spoko chlopie fajnie ze napisales siema co chcesz i mnie zablokowales 

[7.1.2021 | 22:17:3] [HappiniuYT]: <@!539134528959021106> 

[7.1.2021 | 22:17:8] [HappiniuYT]: @here 

[7.1.2021 | 22:17:14] [HappiniuYT]: Wyslij mi zPro do znaj nie moge pisac 

[7.1.2021 | 22:17:40] [HappiniuYT]: Chcialem ci pogratulowac 70 subow 

[7.1.2021 | 22:17:46] [HappiniuYT]: Wbilem tego nednego 🙂 

[7.1.2021 | 22:17:51] [HappiniuYT]: Z 69 na 70 

[7.1.2021 | 22:17:52] [HappiniuYT]: 😄 

[7.1.2021 | 22:32:47] [HappiniuYT]: ERYK 

[7.1.2021 | 22:32:55] [HappiniuYT]: NAGRAJ UPDATE STANOWISKA 

[7.1.2021 | 22:32:59] [HappiniuYT]: Ten nowy komp 

[7.1.2021 | 22:33:35] [HappiniuYT]: I odrazu jak podajesz te wszystkie np kamerka, mikrofon to oblicz to pozniej 

[7.1.2021 | 22:33:55] [HappiniuYT]: Bo np. Nie moge znalezc fotela fury avengers s nie wiem skad ty taki masz XD 

[7.1.2021 | 22:34:16] [HappiniuYT]: Jak myslisz 

[7.1.2021 | 22:34:23] [⛄ERYPEK⛄]: moze 

[7.1.2021 | 22:34:26] [HappiniuYT]: A i dodaj do znaj tutaj bo ja nie moge 😦 

[7.1.2021 | 22:34:27] [⛄ERYPEK⛄]: ale fotel nwn 

[7.1.2021 | 22:34:33] [⛄ERYPEK⛄]: bo to 2019 kupowalem 

[7.1.2021 | 22:34:36] [HappiniuYT]: Albo podeslij mi wszystko ja ci wylicze 

[7.1.2021 | 22:34:37] [⛄ERYPEK⛄]: na wakacjach 😄 

[7.1.2021 | 22:34:47] [HappiniuYT]: Lapka, podzespoly w kompie itp 

[7.1.2021 | 22:34:50] [HappiniuYT]: A oki 

[7.1.2021 | 22:34:59] [HappiniuYT]: Spoko jak chcesz moge ci to wyliczyc 

[7.1.2021 | 22:35:18] [⛄ERYPEK⛄]: ale teraz fotel warty nwn 150 zł bo jest zniszczony ale tyle zaplacilem 

[7.1.2021 | 22:35:32] [HappiniuYT]: No spoko spoko 

[7.1.2021 | 22:35:48] [HappiniuYT]: Spoko dodaj 

[7.1.2021 | 22:35:49] [HappiniuYT]: Do znaj 

[7.1.2021 | 22:36:2] [HappiniuYT]: I napisz cos wtedy 

[7.1.2021 | 22:36:39] [HappiniuYT]: <@!539134528959021106> 

[7.1.2021 | 22:36:46] [HappiniuYT]: @here 

[8.1.2021 | 12:43:34] [_Mitsu_]: @here będzie reaktywacja serwera i mc i discord 

[8.1.2021 | 12:43:48] [Barteczko]: po co 

[8.1.2021 | 12:44:8] [_Mitsu_]: aby mieć proste zdrowe zęby 

[8.1.2021 | 12:44:18] [_Mitsu_]: !clear 10000 

[8.1.2021 | 12:44:24] [_Mitsu_]: .clear 50 

[8.1.2021 | 12:44:31] [_Mitsu_]: .clear 3 

[8.1.2021 | 12:44:38] [_Mitsu_]: @here będzie reaktywacja serwera i mc i discord 

[8.1.2021 | 12:44:52] [_Mitsu_]: nastepujące zmiany będą takiego koniec z wioskami 

[8.1.2021 | 12:44:57] [_Mitsu_]: wioski zostaną usunięte 

[8.1.2021 | 12:45:7] [_Mitsu_]: tak samo z rolami 

[8.1.2021 | 12:45:28] [_Mitsu_]: na serwie discord pojawią się też inne rzeczy 

[8.1.2021 | 12:45:38] [_Mitsu_]: a jeśli chodzi o serw minecraft 

[8.1.2021 | 12:45:56] [_Mitsu_]: ip zostanie zmienione oraz serw będzie trwał 24 h 

[8.1.2021 | 12:46:11] [_Mitsu_]: P.S oczywiście jak znajdę to tego strone 

[8.1.2021 | 12:49:0] [⛄ERYPEK⛄]: super 

[8.1.2021 | 12:52:59] [HappiniuYT]: a dacie mi ta range VIP? czy sie nie doczekam? 

[8.1.2021 | 12:53:5] [HappiniuYT]: mialem dostac 2 miesiace temu!!!!!! 

[8.1.2021 | 12:56:37] [Barteczko]: bedzie reset swiata? 

[8.1.2021 | 13:2:32] [⛄ERYPEK⛄]: co? 

[8.1.2021 | 13:2:37] [⛄ERYPEK⛄]: za co? 

[8.1.2021 | 13:6:2] [HappiniuYT]: edi powiedzial ze dostabne VIPA 

[8.1.2021 | 13:6:7] [HappiniuYT]: WIEC DAWAC MI ALE JUZ 

[8.1.2021 | 13:13:6] [_Mitsu_]: będzie nowy serwer 

[8.1.2021 | 13:13:14] [_Mitsu_]: żadnego save nie będzi 

[8.1.2021 | 13:13:24] [_Mitsu_]: rangi będę pewnie płatn 

[8.1.2021 | 13:28:24] [⛄ERYPEK⛄]: a kiedy?? 

[8.1.2021 | 13:49:1] [_Mitsu_]: Tak dokładnie nie wiem 

[8.1.2021 | 13:49:24] [_Mitsu_]: Można liczyć że 10 stycznia 

[8.1.2021 | 13:58:24] [EdytorskiYT]: Ok a kiedy go Kamil rb? 

[8.1.2021 | 13:59:34] [_Mitsu_]: no właściwie tu jest problem 

[8.1.2021 | 13:59:39] [_Mitsu_]: bo nie mogę znaleźć strony 

[8.1.2021 | 14:7:2] [_Mitsu_]: dobra nie ważne znalazłem 

[8.1.2021 | 14:16:14] [EdytorskiYT]: Ok 

[8.1.2021 | 17:59:39] [_Mitsu_]: tylko serw będzię tylko premium 

[8.1.2021 | 18:29:9] [⛄ERYPEK⛄]: szkoda 😦 

[8.1.2021 | 18:33:3] [Jany.]: Podejme sie uslug montazu w pelnym profesjonalizmie
montazu filmow z gier jak i vlogów 
piszcie priv 

[8.1.2021 | 18:33:28] [Jany.]: moge wam ogarnac server 

[8.1.2021 | 18:33:31] [Jany.]: jaki chcecie 

[8.1.2021 | 18:33:40] [Jany.]: 10 ziko i zrobie wam 

[8.1.2021 | 18:33:58] [Jany.]: survival dzialki, gildie ,drop z kamienia,skyblock co chcecie 

[8.1.2021 | 18:34:4] [Jany.]: i to bedzie dopracowany i kox server 

[8.1.2021 | 18:34:11] [Jany.]: 10 ziko i podejme sie tej pracy 

[8.1.2021 | 20:6:46] [Happiniuツ]: To ja jesCze sie lapie na ta darmowa ty scamerze mialem miec dawno temu kurwa range 

[8.1.2021 | 20:7:9] [Happiniuツ]: Bardzo dobrE 

[8.1.2021 | 20:7:27] [Happiniuツ]: JURWAAA 

[8.1.2021 | 20:7:34] [Happiniuツ]: <@!673610445965492224> <@!510854786975793158> 

[8.1.2021 | 20:7:37] [_Mitsu_]: .warn <@!598899440933273602> bluzgi 

[8.1.2021 | 20:7:38] [Happiniuツ]: DAJCIE MI VIPA 

[8.1.2021 | 20:7:41] [Happiniuツ]: Mialem@dostac 

[8.1.2021 | 20:7:45] [Happiniuツ]: Dawno temu 

[8.1.2021 | 20:7:57] [Happiniuツ]: MITSU 

[8.1.2021 | 20:7:58] [Happiniuツ]: Kurse 

[8.1.2021 | 20:8:2] [Happiniuツ]: DLACZEGO NIE ODPISUJESZ 

[8.1.2021 | 20:8:5] [Happiniuツ]: MACIE GOWNO SERWRR 

[8.1.2021 | 20:8:9] [Happiniuツ]: NIE CHCE MI DAC VIPA 

[8.1.2021 | 20:8:16] [Happiniuツ]: NAWET NIE ODPISZESZ 

[8.1.2021 | 20:8:20] [Happiniuツ]: BO JESTES PIPKA GAMING 

[8.1.2021 | 20:8:35] [Happiniuツ]: PIPKA JESTES 

[8.1.2021 | 21:14:0] [_Mitsu_]: .warn <@!598899440933273602> wyzywanie administracji 

[8.1.2021 | 21:28:31] [Happiniuツ]: daj moze warna za to ze zyje 

[8.1.2021 | 21:28:35] [Happiniuツ]: daj kurwa daj 

[8.1.2021 | 21:28:43] [Happiniuツ]: pokaz kurwa jakim jestes pojebe, 

[8.1.2021 | 21:28:49] [Happiniuツ]: pokaz 

[8.1.2021 | 21:28:50] [Happiniuツ]: kurwa 

[8.1.2021 | 22:3:31] [_Mitsu_]: .warn <@!598899440933273602> normalnie chyba coś ci się pokićkało 

[8.1.2021 | 22:3:40] [_Mitsu_]: .ban <@!598899440933273602> 

[8.1.2021 | 22:3:57] [_Mitsu_]: .clear 50 

[8.1.2021 | 22:4:10] [_Mitsu_]: .clear 5 

[9.1.2021 | 0:1:55] [_Mitsu_]: @here wbijcie https://www.youtube.com/watch?v=BqPzM0atVY8 

[9.1.2021 | 16:48:45] [⛄ERYPEK⛄]: https://www.youtube.com/watch?v=qSQ8T72M5sQ 

[9.1.2021 | 16:48:50] [⛄ERYPEK⛄]: @here https://www.youtube.com/watch?v=qSQ8T72M5sQ 

[9.1.2021 | 16:49:33] [_Mitsu_]: .clear 2 

[12.1.2021 | 11:2:42] [⛄ERYPEK⛄]: kiedy ten serwer 

[12.1.2021 | 11:7:27] [⛄ERYPEK⛄]: undefined 

[12.1.2021 | 11:51:38] [_Mitsu_]: są problemy 

[12.1.2021 | 11:57:10] [hubiś]: mozna partnerstwo 

[12.1.2021 | 18:56:40] [hubiś]: 15 xd 

[12.1.2021 | 22:13:33] [EdytorskiYT]: pv pisz 

[13.1.2021 | 17:33:56] [_Mitsu_]: Hi ktoś tu żje 

[13.1.2021 | 17:34:6] [EdytorskiYT]: Tak 

[13.1.2021 | 17:34:9] [EdytorskiYT]: Ja 

[13.1.2021 | 18:21:33] [⛄ERYPEK⛄]: tak ja 

[14.1.2021 | 11:18:29] [⛄ERYPEK⛄]: https://www.youtube.com/watch?v=MI2dva5kAP8 

[14.1.2021 | 14:12:27] [_Mitsu_]: .warn <@!539134528959021106> promowanie sie drugi raz 

[14.1.2021 | 14:49:46] [⛄ERYPEK⛄]: ? drugi raz co? 

[14.1.2021 | 14:50:2] [_Mitsu_]: no 

[14.1.2021 | 14:50:7] [_Mitsu_]: promujesz 

[14.1.2021 | 14:50:8] [_Mitsu_]: się 

[14.1.2021 | 14:50:13] [⛄ERYPEK⛄]: .warn <@!510854786975793158>  promowanie live 

[14.1.2021 | 14:50:21] [⛄ERYPEK⛄]: tak samo jie promowales 

[14.1.2021 | 14:50:25] [_Mitsu_]: ale wiesz że to mój serw 

[14.1.2021 | 14:51:4] [⛄ERYPEK⛄]: noi co masz takie same prawa jak gracze 

[14.1.2021 | 14:51:56] [_Mitsu_]: myśl chłopie tu jest kanał Filmiki 

[14.1.2021 | 14:57:53] [⛄ERYPEK⛄]: kiedy ten serw 

[14.1.2021 | 16:18:47] [Adan]: siema 

[14.1.2021 | 18:29:39] [EdytorskiYT]: siema 

[15.1.2021 | 11:38:6] [Adan]: ten serwer umarl 

[15.1.2021 | 11:59:7] [_Mitsu_]: @here jaki ma być serwer mc czyli jaki ma być tam tryb 

[15.1.2021 | 12:0:10] [Sad Barteczko]: mega drop, survival, skyblock, bedwars, skywars, bridge 

[15.1.2021 | 12:0:29] [_Mitsu_]: chodziło mi o jeden -_- 

[15.1.2021 | 12:0:32] [Sad Barteczko]: qa 

[15.1.2021 | 12:0:33] [Sad Barteczko]: a 

[15.1.2021 | 12:0:37] [Sad Barteczko]: to survival 

[15.1.2021 | 12:0:48] [_Mitsu_]: z działkami czy bez 

[15.1.2021 | 12:0:54] [Sad Barteczko]: bez 

[15.1.2021 | 12:1:7] [Sad Barteczko]: bedziemy howac ity 

[15.1.2021 | 12:1:11] [_Mitsu_]: dobra 

[15.1.2021 | 12:1:26] [_Mitsu_]: później ogarnę bo mam lekcje 

[15.1.2021 | 12:1:27] [_Mitsu_]: siema 

[15.1.2021 | 12:1:36] [Sad Barteczko]: ok 

[15.1.2021 | 12:1:38] [Sad Barteczko]: elo 

[19.1.2021 | 10:12:10] [𝓚𝓪𝓬𝔃𝓾𝓼𝔃𝓴𝓪]: .kopnij <@&780734582949412885> 

[19.1.2021 | 10:12:16] [𝓚𝓪𝓬𝔃𝓾𝓼𝔃𝓴𝓪]: xd 

[19.1.2021 | 10:12:45] [𝓚𝓪𝓬𝔃𝓾𝓼𝔃𝓴𝓪]: .kopnij <@&780734582949412885><@!773175982965260289> 

[19.1.2021 | 17:58:58] [Sad_Mitsu_Podczas]: @everyone ze względu że ten serwer umarł zostanie zrobiony nowy serwer bedwars 

[19.1.2021 | 17:59:21] [Sad Barteczko]: aha 

[19.1.2021 | 17:59:37] [Sad Barteczko]: i bende miec top 1 win i kill 

[19.1.2021 | 18:11:43] [KosmetologKubixon24]: .kopnij <@!510854786975793158> 

